"age","edu"
56,"SECONDARY"
30,"POST-SECONDARY OR HIGHER"
22,"SECONDARY"
74,"VOCATIONAL/GRAMMAR"
17,"VOCATIONAL/GRAMMAR"
37,"POST-SECONDARY OR HIGHER"
37,"SECONDARY"
43,"PRIMARY/NO EDUCATION"
36,"POST-SECONDARY OR HIGHER"
30,"VOCATIONAL/GRAMMAR"
65,"POST-SECONDARY OR HIGHER"
52,"VOCATIONAL/GRAMMAR"
61,"PRIMARY/NO EDUCATION"
66,"PRIMARY/NO EDUCATION"
31,"SECONDARY"
35,"POST-SECONDARY OR HIGHER"
41,"SECONDARY"
36,"POST-SECONDARY OR HIGHER"
26,"VOCATIONAL/GRAMMAR"
43,"VOCATIONAL/GRAMMAR"
75,"PRIMARY/NO EDUCATION"
64,"POST-SECONDARY OR HIGHER"
38,"SECONDARY"
33,"SECONDARY"
53,"SECONDARY"
67,"SECONDARY"
61,"PRIMARY/NO EDUCATION"
37,"VOCATIONAL/GRAMMAR"
20,"SECONDARY"
53,"SECONDARY"
65,"SECONDARY"
72,"PRIMARY/NO EDUCATION"
68,"POST-SECONDARY OR HIGHER"
65,"PRIMARY/NO EDUCATION"
68,"PRIMARY/NO EDUCATION"
40,"VOCATIONAL/GRAMMAR"
38,"VOCATIONAL/GRAMMAR"
81,"POST-SECONDARY OR HIGHER"
61,"VOCATIONAL/GRAMMAR"
79,"VOCATIONAL/GRAMMAR"
62,"POST-SECONDARY OR HIGHER"
65,"VOCATIONAL/GRAMMAR"
55,"SECONDARY"
26,"POST-SECONDARY OR HIGHER"
36,"SECONDARY"
58,"SECONDARY"
65,"VOCATIONAL/GRAMMAR"
54,"SECONDARY"
64,"VOCATIONAL/GRAMMAR"
52,"PRIMARY/NO EDUCATION"
57,"VOCATIONAL/GRAMMAR"
33,"SECONDARY"
67,"POST-SECONDARY OR HIGHER"
53,"SECONDARY"
65,"SECONDARY"
65,"VOCATIONAL/GRAMMAR"
21,"SECONDARY"
56,"SECONDARY"
58,"SECONDARY"
64,"SECONDARY"
26,"PRIMARY/NO EDUCATION"
24,"SECONDARY"
70,"PRIMARY/NO EDUCATION"
35,"SECONDARY"
65,"VOCATIONAL/GRAMMAR"
34,"PRIMARY/NO EDUCATION"
60,"SECONDARY"
48,"VOCATIONAL/GRAMMAR"
66,"POST-SECONDARY OR HIGHER"
27,"SECONDARY"
29,"VOCATIONAL/GRAMMAR"
64,"VOCATIONAL/GRAMMAR"
38,"VOCATIONAL/GRAMMAR"
48,"SECONDARY"
46,"SECONDARY"
28,"POST-SECONDARY OR HIGHER"
68,"PRIMARY/NO EDUCATION"
58,"POST-SECONDARY OR HIGHER"
51,"VOCATIONAL/GRAMMAR"
19,"VOCATIONAL/GRAMMAR"
50,"SECONDARY"
51,"VOCATIONAL/GRAMMAR"
49,"SECONDARY"
71,"SECONDARY"
41,"VOCATIONAL/GRAMMAR"
26,"VOCATIONAL/GRAMMAR"
56,"PRIMARY/NO EDUCATION"
38,"VOCATIONAL/GRAMMAR"
60,"SECONDARY"
24,"SECONDARY"
52,"POST-SECONDARY OR HIGHER"
81,"PRIMARY/NO EDUCATION"
40,"VOCATIONAL/GRAMMAR"
72,"PRIMARY/NO EDUCATION"
49,"PRIMARY/NO EDUCATION"
47,"VOCATIONAL/GRAMMAR"
54,"SECONDARY"
65,"PRIMARY/NO EDUCATION"
45,"PRIMARY/NO EDUCATION"
64,"VOCATIONAL/GRAMMAR"
57,"VOCATIONAL/GRAMMAR"
88,"SECONDARY"
34,"POST-SECONDARY OR HIGHER"
34,"SECONDARY"
52,"PRIMARY/NO EDUCATION"
64,"PRIMARY/NO EDUCATION"
56,"SECONDARY"
25,"SECONDARY"
63,"SECONDARY"
46,"SECONDARY"
86,"PRIMARY/NO EDUCATION"
35,"VOCATIONAL/GRAMMAR"
53,"POST-SECONDARY OR HIGHER"
24,"SECONDARY"
30,"POST-SECONDARY OR HIGHER"
18,"VOCATIONAL/GRAMMAR"
24,"SECONDARY"
38,"SECONDARY"
65,"VOCATIONAL/GRAMMAR"
29,"SECONDARY"
45,"VOCATIONAL/GRAMMAR"
55,"POST-SECONDARY OR HIGHER"
45,"SECONDARY"
77,"PRIMARY/NO EDUCATION"
79,"PRIMARY/NO EDUCATION"
27,"SECONDARY"
19,"VOCATIONAL/GRAMMAR"
27,"SECONDARY"
65,"POST-SECONDARY OR HIGHER"
78,"PRIMARY/NO EDUCATION"
38,"VOCATIONAL/GRAMMAR"
81,"PRIMARY/NO EDUCATION"
45,"VOCATIONAL/GRAMMAR"
37,"VOCATIONAL/GRAMMAR"
71,"PRIMARY/NO EDUCATION"
46,"POST-SECONDARY OR HIGHER"
18,"VOCATIONAL/GRAMMAR"
54,"PRIMARY/NO EDUCATION"
57,"POST-SECONDARY OR HIGHER"
36,"POST-SECONDARY OR HIGHER"
57,"SECONDARY"
18,"VOCATIONAL/GRAMMAR"
81,"SECONDARY"
66,"PRIMARY/NO EDUCATION"
33,"VOCATIONAL/GRAMMAR"
31,"PRIMARY/NO EDUCATION"
46,"VOCATIONAL/GRAMMAR"
70,"SECONDARY"
30,"VOCATIONAL/GRAMMAR"
45,"VOCATIONAL/GRAMMAR"
58,"PRIMARY/NO EDUCATION"
46,"SECONDARY"
63,"SECONDARY"
33,"SECONDARY"
31,"VOCATIONAL/GRAMMAR"
52,"POST-SECONDARY OR HIGHER"
42,"SECONDARY"
63,"VOCATIONAL/GRAMMAR"
59,"SECONDARY"
36,"POST-SECONDARY OR HIGHER"
52,"PRIMARY/NO EDUCATION"
52,"VOCATIONAL/GRAMMAR"
45,"POST-SECONDARY OR HIGHER"
32,"SECONDARY"
78,"SECONDARY"
83,"VOCATIONAL/GRAMMAR"
62,"PRIMARY/NO EDUCATION"
25,"SECONDARY"
23,"SECONDARY"
26,"SECONDARY"
77,"POST-SECONDARY OR HIGHER"
38,"VOCATIONAL/GRAMMAR"
42,"VOCATIONAL/GRAMMAR"
48,"POST-SECONDARY OR HIGHER"
89,"VOCATIONAL/GRAMMAR"
27,"SECONDARY"
79,"SECONDARY"
44,"VOCATIONAL/GRAMMAR"
29,"POST-SECONDARY OR HIGHER"
60,"PRIMARY/NO EDUCATION"
69,"VOCATIONAL/GRAMMAR"
19,"VOCATIONAL/GRAMMAR"
35,"POST-SECONDARY OR HIGHER"
