"age","height","weight","income","MALE","SMOKE","POST-SECONDARY OR HIGHER","PRIMARY/NO EDUCATION","SECONDARY","VOCATIONAL/GRAMMAR"
1,-0.0848585977594374,0.124129847202698,-0.0516779114739245,-0.151951557578137,0.0857740469445385,-0.126168527964,0.203229354228791,-0.136820113638177,0.0847162378970349
-0.0848585977594374,1,0.294588108492191,0.0965333669877681,0.248551837898972,0.116293721334556,-0.0138428170518879,-0.162560089453949,-0.00921809476328418,0.147918103589273
0.124129847202698,0.294588108492191,1,0.0678709937570788,0.295936414445786,0.115847773835209,-0.0976349499551093,-0.10062698437966,-0.0661047859217676,0.224641592387588
-0.0516779114739245,0.0965333669877681,0.0678709937570788,1,0.0266776348868233,-0.0749923613601641,0.151494093261876,-0.122577503275732,0.00551396364477685,-0.0266129080926944
-0.151951557578137,0.248551837898972,0.295936414445786,0.0266776348868233,1,-0.0793346125881126,-0.0924701599066609,-0.0530149412432126,-0.0494967888027932,0.16585909254281
0.0857740469445385,0.116293721334556,0.115847773835209,-0.0749923613601641,-0.0793346125881126,1,-0.141282992376247,0.0401674094285305,-0.0319481748366688,0.111642108945589
-0.126168527964,-0.0138428170518879,-0.0976349499551093,0.151494093261876,-0.0924701599066609,-0.141282992376247,1,-0.174339872470656,-0.340019934631352,-0.269188233219332
0.203229354228791,-0.162560089453949,-0.10062698437966,-0.122577503275732,-0.0530149412432126,0.0401674094285305,-0.174339872470656,1,-0.34822337468344,-0.275682762830806
-0.136820113638177,-0.00921809476328418,-0.0661047859217676,0.00551396364477685,-0.0494967888027932,-0.0319481748366688,-0.340019934631352,-0.34822337468344,1,-0.537671811205944
0.0847162378970349,0.147918103589273,0.224641592387588,-0.0266129080926944,0.16585909254281,0.111642108945589,-0.269188233219332,-0.275682762830806,-0.537671811205944,1
