"age","height","weight","income","MALE","SMOKE","POST-SECONDARY OR HIGHER","PRIMARY/NO EDUCATION","SECONDARY","VOCATIONAL/GRAMMAR"
1,-0.28701313599777,0.162553039040439,-0.130993984846252,-0.0531261448965308,-0.032206681610245,-0.105461299446868,0.39190240366782,-0.074548367592269,-0.170086869123598
-0.28701313599777,1,0.477141156470851,0.214521466179562,0.668286036183821,0.0551468945761003,0.0330817135611142,-0.187168758859837,0.00684028881213867,0.123731613638712
0.162553039040439,0.477141156470851,1,0.119005258173126,0.482873436648106,-0.0098976315520635,-0.0390256527008735,-0.00787477103287827,0.00133383013303338,0.0378359727618863
-0.130993984846252,0.214521466179562,0.119005258173126,1,0.196643643503651,0.0279095830473733,0.321584391395477,-0.234724822322331,0.0225525233114174,-0.0881716580844602
-0.0531261448965308,0.668286036183821,0.482873436648106,0.196643643503651,1,0.0890996337383066,-0.067765451065956,-0.0778650027778422,-0.0354262769607559,0.157156961343345
-0.032206681610245,0.0551468945761003,-0.0098976315520635,0.0279095830473733,0.0890996337383066,1,-0.0363496405530613,-0.0227199958780239,-0.0611061690380637,0.109589781305618
-0.105461299446868,0.0330817135611142,-0.0390256527008735,0.321584391395477,-0.067765451065956,-0.0363496405530613,1,-0.23351194051353,-0.313631226420805,-0.328055267166723
0.39190240366782,-0.187168758859837,-0.00787477103287827,-0.234724822322331,-0.0778650027778422,-0.0227199958780239,-0.23351194051353,1,-0.320676921995263,-0.335424997440157
-0.074548367592269,0.00684028881213867,0.00133383013303338,0.0225525233114174,-0.0354262769607559,-0.0611061690380637,-0.313631226420805,-0.320676921995263,1,-0.450511237618134
-0.170086869123598,0.123731613638712,0.0378359727618863,-0.0881716580844602,0.157156961343345,0.109589781305618,-0.328055267166723,-0.335424997440157,-0.450511237618134,1
