"specks","variables","data","copies","parents","privacy"
0.00599999999999999,"sex","sd2011_clean_small",5,0,0
0.0138,"age","sd2011_clean_small",5,0,0
0.0154,"placesize","sd2011_clean_small",5,0,0
0.0232,"region","sd2011_clean_small",5,0,0
0.00379999999999999,"edu","sd2011_clean_small",5,0,0
0.0234,"eduspec","sd2011_clean_small",5,0,0
0.0114,"socprof","sd2011_clean_small",5,0,0
0.311199999999998,"unempdur","sd2011_clean_small",5,0,0
0.257200000000004,"income","sd2011_clean_small",5,0,0
0.0104,"marital","sd2011_clean_small",5,0,0
0.270000000000003,"mmarr","sd2011_clean_small",5,0,0
0.264000000000004,"ymarr","sd2011_clean_small",5,0,0
0.859999999999938,"msepdiv","sd2011_clean_small",5,0,0
0.854999999999938,"ysepdiv","sd2011_clean_small",5,0,0
0.00899999999999999,"ls","sd2011_clean_small",5,0,0
0.022,"depress","sd2011_clean_small",5,0,0
0.0138,"trust","sd2011_clean_small",5,0,0
0.0062,"trustfam","sd2011_clean_small",5,0,0
0.00359999999999999,"trustneigh","sd2011_clean_small",5,0,0
0.016,"sport","sd2011_clean_small",5,0,0
0.140000000000002,"nofriend","sd2011_clean_small",5,0,0
0.00359999999999999,"smoke","sd2011_clean_small",5,0,0
0.74739999999995,"nociga","sd2011_clean_small",5,0,0
0.0014,"alcabuse","sd2011_clean_small",5,0,0
0.0164,"alcsol","sd2011_clean_small",5,0,0
0.0876000000000005,"workab","sd2011_clean_small",5,0,0
0.974999999999925,"wkabdur","sd2011_clean_small",5,0,0
0.0072,"wkabint","sd2011_clean_small",5,0,0
0.939399999999929,"wkabintdur","sd2011_clean_small",5,0,0
0.942799999999929,"emcc","sd2011_clean_small",5,0,0
0.0124,"englang","sd2011_clean_small",5,0,0
0.0958000000000007,"height","sd2011_clean_small",5,0,0
0.0858000000000004,"weight","sd2011_clean_small",5,0,0
0.01024,"sex","sd2011_clean_small",5,1,0
0.0184,"age","sd2011_clean_small",5,1,0
0.01064,"placesize","sd2011_clean_small",5,1,0
0.02428,"region","sd2011_clean_small",5,1,0
0.00335999999999999,"edu","sd2011_clean_small",5,1,0
0.02324,"eduspec","sd2011_clean_small",5,1,0
0.01948,"socprof","sd2011_clean_small",5,1,0
0.311199999999998,"unempdur","sd2011_clean_small",5,1,0
0.257200000000004,"income","sd2011_clean_small",5,1,0
0.01032,"marital","sd2011_clean_small",5,1,0
0.270000000000003,"mmarr","sd2011_clean_small",5,1,0
0.264000000000004,"ymarr","sd2011_clean_small",5,1,0
0.859999999999938,"msepdiv","sd2011_clean_small",5,1,0
0.854999999999938,"ysepdiv","sd2011_clean_small",5,1,0
0.0116,"ls","sd2011_clean_small",5,1,0
0.01836,"depress","sd2011_clean_small",5,1,0
0.0156,"trust","sd2011_clean_small",5,1,0
0.0046,"trustfam","sd2011_clean_small",5,1,0
0.00939999999999999,"trustneigh","sd2011_clean_small",5,1,0
0.01172,"sport","sd2011_clean_small",5,1,0
0.137400000000002,"nofriend","sd2011_clean_small",5,1,0
0.00607999999999999,"smoke","sd2011_clean_small",5,1,0
0.74739999999995,"nociga","sd2011_clean_small",5,1,0
0.00292,"alcabuse","sd2011_clean_small",5,1,0
0.0124,"alcsol","sd2011_clean_small",5,1,0
