type,rows,cols,n,duration,epochs,batch_size
ctgan,100000,15,1,1080.6727397441864,10,500.0
ctgan,100000,15,1,917.2727279663086,10,1000.0
ctgan,100000,15,1,507.41636776924133,10,5000.0
ctgan,100000,15,1,912.3523030281067,10,10000.0
ctgan,100000,15,1,1076.3465061187744,20,500.0
ctgan,100000,15,1,758.1388690471649,20,1000.0
ctgan,100000,15,1,590.8655881881714,20,5000.0
ctgan,100000,15,1,371.9103510379791,20,10000.0
ctgan,100000,15,1,910.9034388065338,30,500.0
ctgan,100000,15,1,670.3549461364746,30,1000.0
ctgan,100000,15,1,805.8156218528748,30,5000.0
ctgan,100000,15,1,729.1852889060974,30,10000.0
ctgan,100000,15,1,936.2823181152344,40,500.0
ctgan,100000,15,1,697.3594350814819,40,1000.0
ctgan,100000,15,1,481.5015387535095,40,5000.0
ctgan,100000,15,1,466.60764479637146,40,10000.0
ctgan,100000,15,1,1447.1737761497498,50,500.0
ctgan,100000,15,1,902.218747138977,50,1000.0
ctgan,100000,15,1,479.522540807724,50,5000.0
ctgan,100000,15,1,872.1630883216858,50,10000.0
ctgan,100000,15,1,1241.9943928718567,75,500.0
ctgan,100000,15,1,1156.5842430591583,75,1000.0
ctgan,100000,15,1,808.141951084137,75,5000.0
ctgan,100000,15,1,705.492390871048,75,10000.0
ctgan,100000,15,1,1432.6464438438416,100,500.0
ctgan,100000,15,1,1062.1148538589478,100,1000.0
ctgan,100000,15,1,716.9682128429413,100,5000.0
ctgan,100000,15,1,563.1984052658081,100,10000.0
