type,rows,cols,n,duration,epochs,batch_size
ctgan,50000,15,1,322.59296321868896,10,500.0
ctgan,50000,15,1,224.9481008052826,10,1000.0
ctgan,50000,15,1,259.0059583187103,10,5000.0
ctgan,50000,15,1,114.06152415275574,10,10000.0
ctgan,50000,15,1,192.74021100997925,20,500.0
ctgan,50000,15,1,174.63386917114258,20,1000.0
ctgan,50000,15,1,147.65461826324463,20,5000.0
ctgan,50000,15,1,413.47091007232666,20,10000.0
ctgan,50000,15,1,259.13117480278015,30,500.0
ctgan,50000,15,1,223.97187685966492,30,1000.0
ctgan,50000,15,1,425.52409505844116,30,5000.0
ctgan,50000,15,1,161.3839988708496,30,10000.0
ctgan,50000,15,1,375.2511239051819,40,500.0
ctgan,50000,15,1,434.46699118614197,40,1000.0
ctgan,50000,15,1,170.93323278427124,40,5000.0
ctgan,50000,15,1,145.25167083740234,40,10000.0
ctgan,50000,15,1,315.89720392227173,50,500.0
ctgan,50000,15,1,361.1509938240051,50,1000.0
ctgan,50000,15,1,196.29433798789978,50,5000.0
ctgan,50000,15,1,218.19995212554932,50,10000.0
ctgan,50000,15,1,580.3237361907959,75,500.0
ctgan,50000,15,1,333.42216205596924,75,1000.0
ctgan,50000,15,1,179.24738931655884,75,5000.0
ctgan,50000,15,1,165.5253939628601,75,10000.0
ctgan,50000,15,1,354.6899209022522,100,500.0
ctgan,50000,15,1,974.3635468482971,100,1000.0
ctgan,50000,15,1,1906.7466578483582,100,5000.0
ctgan,50000,15,1,1651.445732831955,100,10000.0
