type,rows,cols,n,duration,epochs,batch_size
ctgan,50000,10,1,1460.4366104602814,10,500.0
ctgan,50000,10,1,178.48795104026794,10,1000.0
ctgan,50000,10,1,501.7512044906616,10,5000.0
ctgan,50000,10,1,316.9951651096344,10,10000.0
ctgan,50000,10,1,1573.2724397182465,20,500.0
ctgan,50000,10,1,1745.0670506954193,20,1000.0
ctgan,50000,10,1,908.2931416034698,20,5000.0
ctgan,50000,10,1,546.0941197872162,20,10000.0
ctgan,50000,10,1,2990.221438407898,30,500.0
ctgan,50000,10,1,2451.753337621689,30,1000.0
ctgan,50000,10,1,1153.3404154777527,30,5000.0
ctgan,50000,10,1,716.8442494869232,30,10000.0
ctgan,50000,10,1,4552.588756084442,40,500.0
ctgan,50000,10,1,3249.021779537201,40,1000.0
ctgan,50000,10,1,1222.212651014328,40,5000.0
ctgan,50000,10,1,1106.3291895389557,40,10000.0
ctgan,50000,10,1,4921.887043714523,50,500.0
ctgan,50000,10,1,2843.8855319023132,50,1000.0
ctgan,50000,10,1,1761.7089629173279,50,5000.0
ctgan,50000,10,1,292.50862860679626,50,10000.0
ctgan,50000,10,1,7075.859689950943,75,500.0
ctgan,50000,10,1,5009.455979585648,75,1000.0
ctgan,50000,10,1,1744.9239115715027,75,5000.0
ctgan,50000,10,1,1697.6189272403717,75,10000.0
ctgan,50000,10,1,10354.291676044464,100,500.0
ctgan,50000,10,1,6631.950692653656,100,1000.0
ctgan,50000,10,1,2593.0963339805603,100,5000.0
ctgan,50000,10,1,1675.2138743400574,100,10000.0
