type,rows,cols,n,duration,epochs,batch_size
ctgan,200000,10,1,590.0485770702362,10,500.0
ctgan,200000,10,1,247.6043622493744,10,1000.0
ctgan,200000,10,1,415.7052228450775,10,5000.0
ctgan,200000,10,1,229.52654910087585,10,10000.0
ctgan,200000,10,1,539.584267616272,20,500.0
ctgan,200000,10,1,568.4164779186249,20,1000.0
ctgan,200000,10,1,778.5158820152283,20,5000.0
ctgan,200000,10,1,454.70244002342224,20,10000.0
ctgan,200000,10,1,1061.2749540805817,30,500.0
ctgan,200000,10,1,902.8438131809235,30,1000.0
ctgan,200000,10,1,1116.5025370121002,30,5000.0
ctgan,200000,10,1,950.0296590328217,30,10000.0
ctgan,200000,10,1,1460.0107851028442,40,500.0
ctgan,200000,10,1,832.7253937721252,40,1000.0
ctgan,200000,10,1,1051.2624180316925,40,5000.0
ctgan,200000,10,1,680.6383559703827,40,10000.0
ctgan,200000,10,1,1474.9848937988281,50,500.0
ctgan,200000,10,1,1061.173506975174,50,1000.0
ctgan,200000,10,1,673.0284578800201,50,5000.0
ctgan,200000,10,1,839.0482852458954,50,10000.0
ctgan,200000,10,1,1458.842730998993,75,500.0
ctgan,200000,10,1,1293.1317389011383,75,1000.0
ctgan,200000,10,1,874.0432569980621,75,5000.0
ctgan,200000,10,1,727.9382898807526,75,10000.0
ctgan,200000,10,1,1713.9379568099976,100,500.0
ctgan,200000,10,1,1780.4514827728271,100,1000.0
ctgan,200000,10,1,1570.5627510547638,100,5000.0
ctgan,200000,10,1,859.500351190567,100,10000.0
