type,rows,cols,n,duration,epochs,batch_size
ctgan,200000,20,1,760.5696079730988,10,500.0
ctgan,200000,20,1,619.2126069068909,10,1000.0
ctgan,200000,20,1,287.121200799942,10,5000.0
ctgan,200000,20,1,275.65515089035034,10,10000.0
ctgan,200000,20,1,1042.7975282669067,20,500.0
ctgan,200000,20,1,446.8628730773926,20,1000.0
ctgan,200000,20,1,385.0483548641205,20,5000.0
ctgan,200000,20,1,364.17899107933044,20,10000.0
ctgan,200000,20,1,684.9619839191437,30,500.0
ctgan,200000,20,1,588.899512052536,30,1000.0
ctgan,200000,20,1,495.85542035102844,30,5000.0
ctgan,200000,20,1,462.0297119617462,30,10000.0
ctgan,200000,20,1,862.0726480484009,40,500.0
ctgan,200000,20,1,716.7229261398315,40,1000.0
ctgan,200000,20,1,598.1630709171295,40,5000.0
ctgan,200000,20,1,537.164314031601,40,10000.0
ctgan,200000,20,1,978.366888999939,50,500.0
ctgan,200000,20,1,804.5946080684662,50,1000.0
ctgan,200000,20,1,715.8137800693512,50,5000.0
ctgan,200000,20,1,645.7349171638489,50,10000.0
ctgan,200000,20,1,1277.8927540779114,75,500.0
ctgan,200000,20,1,1073.8403429985046,75,1000.0
ctgan,200000,20,1,934.0812113285065,75,5000.0
ctgan,200000,20,1,842.8691997528076,75,10000.0
ctgan,200000,20,1,1651.8300528526306,100,500.0
ctgan,200000,20,1,1320.2850601673126,100,1000.0
ctgan,200000,20,1,1158.7899782657623,100,5000.0
ctgan,200000,20,1,1053.8319518566132,100,10000.0
