var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
a,g,k,e,f,e,b,g,b,i,k,l,l,m,d,e,g,k,o,a
j,o,d,n,j,d,a,i,n,c,g,a,b,c,o,k,e,i,f,k
l,d,k,e,b,c,f,g,k,e,h,i,f,d,i,l,e,n,o,g
k,f,b,o,a,b,f,d,o,n,f,o,i,b,e,k,d,k,j,h
n,a,b,n,f,k,o,e,g,j,n,f,k,m,i,i,m,a,a,l
b,a,n,c,m,n,d,e,g,c,e,e,i,k,k,k,d,a,m,m
h,i,g,d,n,o,j,k,a,h,o,j,l,g,m,b,l,i,k,n
c,l,f,l,f,b,e,c,h,j,i,e,j,e,c,b,b,d,i,h
e,l,d,k,n,c,c,b,h,k,a,j,j,b,l,b,k,a,d,a
h,c,h,e,n,i,i,g,m,e,e,i,i,l,i,n,j,k,o,f
a,a,i,n,c,h,e,j,o,l,f,g,l,j,i,g,b,f,d,n
c,f,f,l,g,b,a,m,k,l,n,d,j,i,o,b,h,f,d,d
d,a,d,l,m,g,f,n,h,a,m,l,d,b,l,h,h,c,i,o
c,j,n,a,e,a,b,f,g,b,h,l,o,e,n,g,o,j,c,c
f,l,g,f,l,d,f,n,i,b,g,m,e,n,a,j,e,d,h,b
c,o,j,e,a,o,o,a,i,c,n,a,n,f,c,o,l,l,k,n
n,d,k,d,l,f,h,l,b,i,e,i,l,m,a,h,d,m,b,o
b,d,f,a,a,i,n,o,d,h,l,o,g,g,k,o,n,b,h,a
i,l,h,j,l,o,f,l,f,k,g,g,h,g,n,e,k,k,h,n
c,o,i,a,i,k,i,g,h,g,f,k,i,o,e,d,l,e,m,j
l,a,c,j,i,k,c,e,f,b,f,j,a,f,e,l,m,l,i,h
n,f,n,c,i,d,k,e,k,a,j,e,c,f,o,k,e,a,b,k
l,j,j,l,g,g,i,n,l,a,o,m,g,f,m,h,j,e,f,d
n,k,j,l,i,o,m,n,m,l,h,l,n,o,m,m,n,d,j,j
i,c,o,l,c,c,g,c,f,g,k,o,e,d,e,m,n,a,n,n
k,g,h,h,c,i,c,j,j,f,e,m,o,h,n,n,o,m,m,l
m,l,h,f,o,h,k,d,i,l,o,l,n,j,a,e,d,e,h,m
n,j,i,d,g,o,a,e,k,i,h,c,e,d,h,j,a,l,g,n
f,i,d,i,l,j,c,d,h,i,j,e,f,g,h,e,f,b,e,k
m,g,f,d,e,h,d,i,h,o,b,a,f,n,d,b,n,l,d,c
d,j,g,h,b,e,o,i,m,m,d,a,k,h,g,b,i,b,n,m
o,b,n,j,j,i,h,o,f,l,a,i,o,l,h,g,l,a,m,l
c,f,a,j,j,g,l,g,n,f,i,e,c,o,h,g,k,d,e,o
h,a,n,e,l,a,m,e,m,b,f,k,e,a,e,m,n,k,c,c
g,l,g,n,f,k,o,m,a,l,o,d,e,h,k,m,m,g,c,e
k,k,j,e,b,n,g,a,h,a,m,a,e,n,l,m,b,d,i,i
c,l,n,h,o,g,a,m,e,k,h,g,g,h,d,d,b,k,d,i
i,e,g,k,b,j,h,h,h,m,k,o,g,m,k,b,f,m,i,e
d,i,o,n,o,g,l,d,i,l,d,m,n,j,g,b,m,j,c,b
h,c,k,k,g,c,f,m,o,b,e,l,j,n,n,e,k,n,l,h
i,a,h,b,l,j,b,d,f,h,e,h,i,g,m,o,m,o,e,f
l,h,l,m,n,c,o,i,d,a,c,e,c,o,d,f,d,d,f,g
k,o,m,e,a,d,f,m,i,a,n,n,g,m,b,h,f,c,c,f
f,g,a,g,m,g,a,i,h,g,h,g,b,a,o,e,i,j,b,j
j,k,k,n,m,f,a,d,c,l,m,a,c,j,a,l,g,o,c,m
c,f,e,l,n,m,m,d,l,f,b,f,b,h,n,g,h,j,c,m
d,l,c,i,f,n,b,o,g,j,n,k,e,k,m,n,c,j,l,m
d,j,j,l,n,h,j,n,j,d,c,e,f,c,a,m,o,i,i,o
a,k,f,c,o,k,k,d,n,l,c,m,d,m,j,l,i,o,g,o
g,j,g,b,j,c,j,b,e,k,h,o,e,b,c,c,f,i,m,f
d,g,e,g,a,j,l,o,l,f,k,f,m,h,e,h,j,o,h,c
m,k,l,c,a,o,h,f,i,k,c,n,m,k,f,b,k,d,j,d
g,l,k,i,j,k,g,c,b,d,e,e,m,j,n,m,b,m,m,c
g,g,g,b,o,b,o,i,l,h,k,l,h,k,g,l,f,m,g,a
d,k,f,c,m,g,i,o,e,a,l,e,m,h,m,a,j,h,m,h
