var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
m,g,m,b,b,f,r,d,a,r,g,k,f,b,t,c,c,r,o,e
c,b,d,g,o,f,g,d,a,c,d,b,m,c,k,s,s,n,r,l
a,b,i,p,b,f,e,r,n,q,g,i,t,o,r,m,h,m,o,j
n,o,b,m,n,i,r,t,l,r,b,k,q,h,p,g,s,l,b,s
p,d,d,q,l,q,p,q,p,h,r,j,b,r,e,c,o,r,q,r
l,c,e,g,e,h,k,o,p,p,b,f,i,h,c,c,f,d,q,t
r,b,d,h,i,h,g,o,l,s,n,r,a,q,l,f,i,g,f,l
e,l,m,h,e,i,s,f,t,e,j,h,g,f,m,h,e,t,g,d
k,i,e,h,q,j,c,h,r,a,q,o,j,c,q,b,p,c,j,l
j,t,j,i,j,t,r,i,a,a,f,h,b,s,s,m,g,h,e,o
k,m,c,o,c,k,m,q,l,t,o,m,l,l,h,g,t,g,k,d
b,f,a,i,c,p,j,h,h,e,r,t,a,i,j,f,j,r,r,q
i,o,t,r,q,t,b,e,l,g,i,r,o,i,q,a,i,e,q,d
c,n,e,c,p,j,o,q,n,o,c,e,q,h,g,t,r,o,d,c
b,l,t,c,g,i,h,n,d,o,e,r,p,k,r,c,h,p,m,b
b,j,l,k,r,s,c,a,r,l,h,e,i,h,t,l,d,o,g,h
c,e,c,r,b,r,s,n,l,f,o,d,e,i,p,r,m,n,j,o
k,m,t,h,o,l,q,a,p,s,g,c,b,k,l,h,r,q,a,i
n,t,b,m,m,o,f,q,c,e,m,m,s,a,g,e,b,k,s,d
a,e,h,b,o,i,e,f,f,n,f,o,r,o,c,j,j,p,m,t
n,j,a,l,l,e,s,p,e,f,g,o,s,p,j,g,g,f,f,f
h,n,q,n,t,n,j,m,n,h,a,j,h,f,m,r,l,r,l,o
t,b,l,e,k,e,o,e,c,p,h,n,k,m,n,a,o,a,r,c
s,d,f,l,g,s,m,j,o,d,d,o,q,r,c,t,j,s,q,d
g,s,i,c,f,b,i,e,g,h,p,g,d,d,t,b,d,o,c,c
f,k,g,s,c,p,b,j,d,q,t,g,l,g,p,j,f,m,g,l
k,h,h,f,s,p,c,l,b,g,d,r,i,o,l,d,r,s,g,q
m,e,s,d,r,l,t,l,a,g,k,i,s,h,h,c,d,d,r,a
c,i,j,k,r,r,o,j,k,c,h,a,q,g,n,g,b,g,d,q
d,o,e,j,r,s,o,h,h,k,r,h,n,l,t,j,c,o,r,a
n,j,j,e,h,r,h,o,h,t,s,s,n,i,o,i,i,q,t,a
f,n,o,c,b,d,n,d,b,o,a,d,o,c,a,k,l,f,r,r
i,j,h,s,r,s,j,m,l,d,f,d,t,s,s,n,j,g,c,g
t,h,r,a,p,n,t,l,k,a,r,k,k,f,t,o,i,f,i,l
i,s,i,q,m,m,q,c,d,t,m,d,b,t,j,d,d,j,b,c
d,d,q,c,d,n,a,n,o,b,n,j,o,q,d,a,b,m,o,f
q,l,p,s,f,a,a,k,q,h,q,e,m,b,o,k,b,r,s,f
c,n,i,j,k,g,r,c,c,b,o,m,a,i,b,s,t,s,k,s
l,i,h,o,c,j,g,l,b,e,r,q,p,o,d,o,k,l,q,a
a,f,m,c,n,g,n,n,g,r,d,i,j,h,q,m,e,m,f,t
f,f,g,j,h,n,f,l,p,l,e,k,l,o,o,k,f,f,l,t
i,l,m,p,h,o,f,p,n,p,i,m,e,o,t,f,p,i,b,f
e,r,j,p,m,m,q,c,f,a,l,g,h,d,d,g,b,e,h,j
t,h,n,d,m,b,h,h,h,k,c,g,n,n,i,h,j,d,r,r
o,e,i,h,n,k,f,k,s,k,g,o,i,h,d,r,r,e,k,s
t,e,a,t,e,j,f,m,j,b,t,n,b,s,g,q,r,q,c,i
s,o,c,j,g,r,q,f,t,i,n,p,c,r,f,q,b,m,r,m
s,e,m,m,i,p,a,b,o,b,t,t,d,i,j,g,b,m,g,d
r,s,m,a,e,a,g,k,f,r,p,b,a,k,k,r,p,s,r,p
k,n,d,g,b,i,m,r,d,m,c,m,o,p,l,g,h,c,f,m
c,h,l,r,p,h,l,j,e,t,s,r,b,s,g,p,c,h,c,c
i,l,r,n,r,t,h,k,l,g,t,d,c,k,t,n,b,e,i,p
t,i,s,a,p,q,h,j,q,k,i,m,q,f,n,r,r,l,h,m
i,r,c,c,l,o,f,f,i,d,q,q,h,h,m,e,d,d,l,r
n,j,e,f,g,s,q,e,f,f,b,h,q,k,t,n,q,q,m,o
k,k,q,o,p,n,g,c,k,b,q,f,k,k,d,j,i,h,q,k
r,r,d,q,o,d,t,b,o,h,t,t,d,t,a,i,i,q,e,a
l,b,g,c,f,r,b,k,a,f,h,e,o,c,q,s,k,d,c,c
o,q,k,q,d,r,n,o,l,j,f,j,n,c,m,p,h,r,p,n
j,d,f,f,j,d,e,r,e,d,d,f,j,s,a,a,h,p,p,o
q,g,g,d,n,b,g,o,p,n,h,f,o,n,q,t,a,l,h,t
d,o,g,n,p,d,n,d,e,o,c,h,q,f,k,j,k,s,c,p
t,b,a,r,o,q,t,a,t,q,i,b,b,j,t,b,p,h,s,r
h,i,c,c,k,g,a,n,f,h,s,c,a,o,o,h,m,e,j,g
n,o,k,a,i,c,l,k,a,d,i,l,i,s,k,b,r,l,j,h
p,s,i,c,d,i,j,r,r,h,f,k,r,p,q,j,p,j,d,h
k,i,a,r,k,l,k,t,o,j,k,m,o,m,n,s,p,t,l,p
s,g,c,h,k,b,r,m,d,q,n,a,e,a,n,c,m,c,k,r
e,j,a,h,q,g,e,l,k,h,g,s,j,j,m,n,p,f,r,h
b,n,j,s,h,k,i,l,o,e,c,f,a,i,b,l,b,k,a,a
h,k,q,n,g,i,l,s,s,n,e,t,j,f,i,k,l,n,i,i
h,d,k,i,c,d,q,e,m,o,m,e,j,e,g,e,a,d,o,m
l,l,t,i,c,g,o,d,e,n,i,d,q,o,q,h,t,b,s,b
m,s,t,t,h,k,h,q,l,s,s,b,a,g,n,c,s,l,c,f
l,i,c,i,d,i,r,q,d,q,o,q,c,a,m,q,g,d,p,l
r,g,g,n,h,f,n,l,d,m,c,m,g,f,o,s,r,h,l,m
m,s,e,p,l,c,b,q,n,i,n,n,d,c,g,i,n,l,b,c
e,m,d,h,r,r,q,p,a,l,m,h,j,b,m,p,q,p,l,h
f,f,p,l,r,n,g,m,j,s,j,s,i,g,l,j,t,t,p,f
o,e,c,p,f,e,e,l,d,c,t,b,d,m,q,i,d,p,f,h
j,t,n,a,p,p,b,e,r,i,o,j,p,h,f,t,i,m,b,n
d,s,h,t,q,t,t,a,i,p,r,e,e,q,o,e,k,k,s,k
g,b,p,d,f,e,d,n,d,c,k,i,o,i,p,c,p,i,j,p
j,e,f,m,e,f,n,o,e,d,l,a,m,r,c,b,t,o,j,s
b,l,l,j,h,q,l,k,t,q,e,g,r,q,t,p,d,n,d,e
s,c,r,f,s,o,n,q,l,o,e,c,h,j,q,n,m,t,d,o
q,n,d,h,l,a,d,h,t,g,h,f,b,t,a,q,s,j,b,e
p,k,b,r,t,j,k,m,r,d,p,p,q,l,n,r,h,b,j,r
o,b,k,b,p,i,m,i,r,e,k,j,t,l,b,e,b,r,m,f
o,b,l,p,g,k,m,d,q,a,t,n,j,p,t,p,q,p,s,q
g,o,o,r,i,b,n,g,t,e,h,q,l,d,g,n,t,f,c,k
r,q,t,h,f,s,r,t,g,a,m,b,b,b,m,b,e,t,r,l
q,o,b,n,d,e,r,s,t,p,p,r,m,k,h,k,m,b,n,d
q,a,o,c,s,e,c,k,j,s,t,q,b,b,k,o,i,g,e,s
o,p,t,j,e,j,f,a,t,a,o,h,b,i,p,o,k,h,h,b
m,b,o,k,h,l,i,c,t,i,i,p,c,p,p,m,l,q,n,k
p,p,k,h,q,o,i,b,e,e,a,c,c,s,q,g,n,l,p,h
n,s,o,b,e,b,s,k,t,r,p,l,o,p,f,f,m,p,i,g
p,b,h,h,e,l,j,k,d,f,m,k,r,o,j,a,r,s,t,m
t,t,h,c,s,k,c,t,a,q,a,o,h,l,h,a,t,h,f,e
s,e,e,c,e,n,g,d,d,i,k,r,d,p,i,g,c,g,r,l
n,f,h,c,n,a,k,n,s,i,c,r,k,o,f,r,s,b,g,o
a,p,g,g,l,b,t,o,q,s,l,k,i,g,q,d,h,q,d,h
b,p,e,q,i,o,t,a,c,g,g,p,a,l,h,p,o,g,t,g
k,n,s,l,t,q,i,t,b,n,h,l,c,i,c,e,b,o,j,f
a,g,g,g,a,s,j,p,l,f,e,g,j,a,k,d,q,i,m,c
f,q,p,a,n,l,b,k,i,n,d,s,g,t,l,d,p,d,p,r
t,b,n,j,j,r,o,g,o,s,i,b,q,f,c,b,b,s,a,c
p,p,m,f,t,b,a,n,g,d,p,n,q,n,d,c,j,p,s,k
k,o,s,r,o,k,n,o,e,q,f,f,r,t,n,p,l,m,p,s
q,f,e,k,g,q,k,l,l,m,l,t,j,k,t,i,l,r,b,g
d,t,l,s,f,m,m,t,b,n,i,b,m,d,t,e,p,h,k,b
p,n,o,s,f,d,q,h,n,m,q,l,t,b,s,q,g,d,a,n
b,l,f,h,a,h,s,h,s,d,n,p,e,a,j,b,o,s,q,a
q,e,g,d,g,q,e,m,b,l,k,k,f,i,r,e,e,b,g,a
j,d,d,q,l,d,h,o,o,q,f,g,l,t,i,l,i,q,h,a
h,i,j,i,e,l,o,n,a,h,j,m,r,o,m,e,m,b,j,a
j,m,b,n,p,k,d,l,a,m,e,k,r,b,b,b,a,i,j,o
b,d,a,s,e,r,d,c,n,n,i,q,r,s,r,p,a,n,j,t
t,f,r,i,n,l,m,f,h,c,l,h,e,q,f,s,g,b,i,h
o,t,d,r,h,l,e,t,a,e,l,l,i,q,m,r,q,l,o,m
s,g,o,s,m,e,l,n,c,f,d,i,f,r,c,l,k,p,d,m
b,d,o,h,m,e,a,l,e,m,r,o,e,a,j,r,j,j,q,d
