var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
t,l,b,l,k,m,g,i,a,p
n,t,q,g,g,e,b,a,p,o
d,k,e,c,n,f,k,a,g,h
f,d,l,c,p,s,g,d,k,d
q,t,p,d,j,a,a,l,s,p
g,t,i,k,o,c,b,r,h,i
h,l,f,a,r,g,h,n,h,a
f,s,r,p,t,e,p,c,k,k
e,c,d,i,b,h,r,d,b,j
k,b,g,s,s,b,s,d,o,s
p,r,t,j,j,p,d,r,c,f
l,p,p,g,m,p,p,d,d,r
d,t,l,q,c,o,r,q,e,o
e,s,c,q,t,r,l,a,q,b
b,l,j,f,e,m,n,n,f,i
n,c,j,g,b,n,b,l,q,n
n,g,p,n,i,t,k,e,n,s
c,r,l,n,j,n,e,k,h,r
c,n,m,o,e,a,a,o,o,c
j,b,q,n,k,t,c,t,t,d
r,j,d,j,t,a,e,i,e,j
q,l,o,j,q,c,b,s,q,s
n,f,k,j,k,b,h,g,l,s
k,m,q,b,d,q,a,e,p,a
g,m,h,i,e,e,l,h,q,l
i,m,f,d,i,r,a,p,k,e
t,t,h,q,m,h,l,b,g,t
d,p,l,o,o,q,e,m,g,g
t,b,i,c,a,c,m,g,i,c
h,c,n,s,d,s,a,e,n,n
e,f,j,t,n,j,l,g,n,d
a,s,o,s,r,m,e,j,r,m
b,l,t,h,e,r,i,h,l,m
f,c,a,k,l,b,h,o,q,e
m,n,r,k,m,c,a,p,f,f
b,j,o,p,h,m,s,j,o,e
k,o,k,j,s,s,h,e,p,r
b,k,m,f,g,r,i,f,f,d
d,l,o,e,p,b,r,r,h,g
b,t,a,b,t,d,e,k,c,s
a,a,b,r,p,i,p,e,q,t
a,a,h,j,h,i,h,f,i,c
p,e,b,f,a,i,h,s,m,a
d,i,m,o,d,h,a,e,f,a
i,i,l,j,n,h,q,f,p,l
q,r,e,f,f,n,h,b,d,q
j,l,o,s,h,b,e,k,l,j
p,s,l,e,b,p,g,d,e,j
p,j,e,o,l,e,a,o,r,q
k,p,r,j,h,p,n,g,k,q
k,f,m,n,t,e,d,n,i,l
t,e,n,q,q,o,m,b,n,f
k,i,d,p,q,o,a,s,c,j
n,b,d,j,k,m,a,s,m,b
n,i,m,l,s,r,r,i,n,c
d,t,c,k,l,m,t,l,c,r
t,o,b,p,l,r,b,d,l,a
a,i,t,k,l,l,s,p,q,p
c,f,k,f,m,c,o,t,r,h
q,t,t,s,t,q,j,m,k,q
b,b,i,f,q,f,i,f,d,n
b,s,l,m,p,c,r,p,s,b
n,h,q,c,s,q,e,t,h,e
r,h,n,e,c,j,r,f,f,b
c,p,n,c,m,m,g,a,s,s
p,j,b,q,t,k,h,q,q,p
e,r,s,n,p,d,h,t,f,j
s,q,n,o,n,b,d,m,g,b
l,p,f,b,f,j,r,t,f,m
q,j,i,m,o,j,p,e,i,r
k,h,r,p,a,r,p,l,g,j
f,c,b,h,b,o,q,r,c,b
m,r,a,n,g,t,a,d,j,b
m,m,a,h,c,n,m,o,m,q
m,b,k,j,r,t,c,a,p,s
l,f,g,t,n,n,p,r,n,i
k,a,c,r,c,r,l,p,g,c
k,t,b,g,j,r,e,m,d,a
k,t,k,c,l,f,g,d,r,r
f,d,s,h,a,a,h,a,p,d
k,q,f,n,p,o,o,l,n,l
a,c,b,o,t,i,r,o,i,p
i,m,g,o,a,g,s,s,e,k
p,o,m,i,a,k,l,h,g,s
p,f,g,p,h,k,g,d,q,l
i,e,m,r,d,q,c,h,f,s
n,q,r,c,t,t,d,g,e,o
d,t,a,t,o,g,e,r,l,k
b,n,b,f,n,b,l,e,e,k
q,g,d,b,m,n,q,n,c,j
p,g,t,s,p,e,k,h,l,e
f,n,q,j,b,o,j,l,l,t
q,a,d,k,p,j,q,n,h,h
b,n,f,n,n,e,d,j,r,b
n,o,l,q,a,a,p,g,k,d
m,a,r,d,l,n,c,h,h,g
l,t,e,k,l,a,o,d,d,b
i,e,t,h,p,t,p,l,f,i
g,j,k,m,h,c,c,a,c,l
h,l,r,t,h,n,k,f,s,p
f,e,n,o,a,p,f,g,i,l
o,q,j,k,g,m,p,l,n,s
g,r,c,q,i,a,c,k,d,b
g,t,t,e,k,m,t,o,q,k
r,h,j,s,k,m,j,e,t,p
k,b,i,m,g,j,e,s,t,g
q,q,g,m,g,i,n,i,m,g
s,d,r,a,e,k,d,l,b,t
a,t,s,j,b,d,a,k,m,i
