var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
d,f,h,b,d,a,d,l,o,a,m,a,n,c,a
c,n,e,d,j,a,b,d,l,a,g,b,n,d,n
a,c,d,k,a,l,i,o,c,b,k,g,h,i,j
b,f,o,d,l,d,e,i,i,h,h,g,a,o,b
o,k,o,c,e,g,e,n,k,i,c,n,e,l,e
n,c,i,i,e,n,g,i,f,c,n,h,m,e,a
l,i,g,j,h,j,g,m,g,c,i,d,e,o,g
h,a,n,c,m,b,o,h,d,g,e,i,a,m,j
b,o,j,h,l,b,g,h,n,d,j,k,i,g,e
k,k,g,i,h,i,k,o,o,n,e,o,b,o,b
c,f,i,a,d,b,k,l,o,b,j,l,a,e,a
k,i,h,k,i,d,o,h,h,b,j,l,e,f,b
l,f,e,k,m,d,i,c,k,f,h,a,a,a,g
i,j,l,b,i,e,a,o,o,h,b,g,k,h,o
g,k,m,i,h,n,g,d,h,d,i,d,j,c,i
l,g,k,j,i,f,b,h,a,a,i,a,e,g,d
m,l,j,i,k,h,l,e,k,m,m,c,h,j,a
l,j,l,d,c,b,b,l,n,f,n,h,i,l,o
i,m,e,c,i,k,e,c,k,i,e,j,j,j,h
g,b,n,i,c,j,i,d,f,o,n,c,b,c,h
j,a,k,i,a,k,e,g,l,h,h,b,h,h,o
n,o,c,m,g,h,f,h,g,f,e,c,f,e,b
l,e,i,c,b,n,i,k,f,l,b,j,o,a,e
g,l,e,j,j,b,f,i,d,c,k,m,j,e,c
d,b,g,d,d,o,f,c,i,l,m,g,k,n,k
g,c,f,l,i,j,k,c,h,h,f,f,n,e,g
d,b,n,d,f,k,h,f,j,b,h,o,b,f,k
h,m,n,c,a,n,h,a,b,b,a,h,c,m,d
k,g,h,b,a,k,g,d,k,c,f,i,n,d,e
j,b,h,l,o,k,o,c,n,a,n,j,j,j,d
o,l,l,a,l,j,k,k,b,n,e,h,h,j,e
g,l,h,b,h,f,k,n,i,l,l,h,a,g,g
n,b,c,n,b,o,c,e,o,e,a,j,k,f,b
o,n,m,k,d,n,n,f,m,n,h,g,m,e,b
m,o,k,l,l,o,k,j,c,n,j,l,c,e,b
f,c,e,m,h,b,e,g,b,h,h,b,c,h,a
g,a,k,i,k,j,l,b,n,h,h,h,d,c,f
f,b,h,o,g,a,e,f,a,i,h,c,o,n,h
l,o,c,e,l,a,a,d,l,i,m,g,e,a,d
h,l,f,l,e,f,o,e,o,c,n,a,m,i,a
m,l,c,i,e,g,b,a,e,c,o,k,a,i,n
a,d,g,l,m,h,j,c,a,e,e,c,l,m,h
c,o,n,a,m,f,d,l,l,d,h,n,a,b,o
b,e,l,c,i,g,l,e,m,b,n,b,f,c,g
c,e,m,m,c,e,f,l,f,c,e,c,o,g,m
m,o,k,a,l,l,e,d,i,l,a,j,m,k,n
d,m,j,l,b,c,k,d,k,a,h,o,a,o,l
o,j,j,g,h,f,l,n,b,h,d,e,j,g,j
f,h,o,b,h,m,g,k,b,h,k,k,j,h,i
l,a,d,o,j,l,a,l,n,e,l,g,l,n,g
e,e,d,e,f,j,n,j,e,o,k,g,g,h,c
f,i,b,o,i,n,c,k,l,h,k,o,n,a,a
m,h,c,f,c,j,m,n,a,l,d,o,k,h,o
m,f,c,n,f,h,n,g,d,i,l,e,l,m,o
m,o,d,i,h,i,b,d,n,i,k,e,b,b,g
h,h,l,h,l,j,o,g,d,b,f,i,i,m,f
h,n,d,k,k,j,h,c,m,h,g,i,k,a,g
d,a,j,j,d,n,o,n,b,b,i,h,j,f,e
l,k,g,l,b,l,j,h,k,g,l,d,d,m,o
g,i,i,b,h,m,l,g,e,g,c,m,g,d,g
i,h,c,j,k,l,g,d,e,n,k,j,l,c,c
h,j,m,k,g,h,j,e,g,e,l,h,o,j,n
f,l,d,h,e,m,l,d,e,h,g,n,i,f,o
