var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
q,b,f,a,l,s,c,n,j,q,p,n,f,s,s
p,o,a,l,p,n,p,d,a,m,e,h,i,a,o
h,n,d,p,a,n,k,f,e,e,i,j,d,s,i
e,d,n,d,a,i,l,c,o,e,h,i,g,d,n
h,n,j,e,g,c,q,k,e,f,b,h,r,g,p
f,h,t,a,j,f,d,n,t,e,o,d,p,d,h
a,o,h,o,l,d,a,d,l,q,l,b,l,t,r
o,g,m,g,e,s,p,n,i,a,s,q,a,q,h
p,a,f,d,t,b,b,f,e,m,o,a,g,o,d
a,j,j,i,f,t,b,l,f,n,j,o,e,r,g
e,h,e,p,h,o,n,r,s,q,d,r,g,o,n
d,n,p,t,n,o,b,f,n,f,s,p,l,n,e
k,t,k,k,i,h,c,b,f,s,q,p,h,s,k
b,j,b,h,n,g,j,i,p,m,n,o,d,r,p
n,o,s,h,p,i,q,k,r,p,j,o,l,p,s
k,f,m,c,a,q,j,s,l,o,s,g,j,p,p
o,n,n,r,n,o,o,t,a,g,g,j,g,i,c
p,k,g,i,p,r,f,l,j,q,b,f,m,f,i
n,n,p,e,m,l,g,d,i,g,n,k,e,o,h
o,e,g,f,r,k,n,l,f,i,a,s,h,t,h
p,e,p,e,n,t,m,g,i,b,f,l,n,d,k
j,o,t,g,b,j,h,q,e,d,b,l,j,l,r
o,j,c,n,i,p,n,l,h,j,d,i,n,l,c
j,n,f,n,p,e,a,a,l,i,r,g,j,r,e
f,c,h,d,r,a,c,b,b,h,s,j,o,r,h
j,s,n,b,n,s,s,r,q,l,t,m,c,g,s
p,j,f,r,g,f,e,d,d,m,q,f,g,q,i
s,t,g,m,o,b,k,a,c,e,c,t,k,f,o
b,l,d,n,r,p,s,r,g,i,i,g,g,k,b
d,p,n,h,c,l,p,e,k,h,a,e,b,t,o
o,n,o,s,s,d,q,f,g,m,l,p,i,h,m
n,l,q,q,m,c,k,k,q,g,s,n,i,r,c
f,s,s,h,n,p,q,q,o,m,e,g,c,f,n
n,r,f,m,g,n,m,k,g,p,f,b,i,l,j
o,c,d,i,f,a,c,a,q,k,k,s,q,l,p
d,g,t,s,s,d,o,b,s,r,o,h,p,f,f
e,a,f,d,l,p,b,p,s,q,q,e,h,g,c
