var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
j,i,s,a,l,m,j,s,j,n,i,j,p,l,j,i,b,c,f,n
g,j,n,q,q,m,m,n,d,c,e,n,j,i,f,a,m,p,t,f
g,q,k,r,o,a,s,m,e,c,n,n,f,p,e,r,n,l,o,b
b,m,i,j,m,m,l,e,f,l,g,h,c,f,i,c,r,o,i,s
s,l,c,h,o,e,r,o,n,d,c,k,f,h,p,o,l,p,f,o
n,o,p,n,q,n,k,r,n,e,h,k,d,k,q,m,p,g,e,i
q,i,t,q,r,r,q,c,f,o,k,l,a,s,c,q,d,s,r,m
n,e,t,p,h,i,d,m,d,n,e,r,d,a,a,t,e,a,q,k
g,e,h,q,t,n,i,l,h,p,c,a,r,l,t,q,d,h,r,a
r,n,m,n,i,a,t,d,g,n,a,m,f,o,j,e,h,n,k,d
p,a,d,q,i,o,d,t,a,b,c,h,h,c,c,f,a,j,c,e
n,j,s,n,n,j,s,b,l,k,l,c,s,c,e,g,f,r,c,n
h,t,r,n,d,o,d,o,a,t,c,h,q,h,e,d,n,e,d,m
l,r,k,c,c,l,i,o,m,q,l,c,r,h,n,m,h,e,g,o
r,a,l,o,g,a,i,m,r,d,m,p,b,j,c,d,o,p,a,a
i,f,k,p,i,r,t,a,o,n,k,d,g,o,j,d,b,t,r,q
c,n,d,b,k,e,r,d,k,q,q,i,f,n,k,h,d,b,a,e
d,e,a,i,f,s,g,f,l,i,b,a,o,p,m,p,t,e,a,n
k,k,i,h,b,a,d,k,e,k,g,r,c,p,e,s,h,r,k,m
d,d,q,k,g,m,k,p,k,t,b,t,i,s,s,g,t,k,r,h
g,o,h,j,e,f,i,i,d,e,t,f,k,p,p,t,j,s,k,h
o,r,m,e,t,s,d,m,n,t,g,p,s,k,f,f,s,p,j,c
f,r,r,b,m,i,f,m,s,s,l,p,j,r,f,t,j,d,e,e
c,h,a,o,k,d,k,p,j,p,g,g,o,o,j,g,m,s,h,q
n,a,e,s,t,t,p,p,o,f,f,c,b,s,c,i,g,j,q,l
e,r,p,g,a,e,d,k,n,c,r,p,s,p,d,n,k,h,f,h
l,i,e,i,h,j,p,h,c,a,d,a,g,p,e,l,c,f,a,b
t,d,j,m,f,r,i,s,g,m,o,c,c,c,t,k,a,c,f,n
r,l,p,d,b,g,s,b,i,i,o,l,r,q,b,f,k,g,p,l
c,f,l,h,h,s,r,s,g,i,r,p,n,m,m,t,b,i,c,c
m,d,m,h,k,c,q,h,p,s,r,t,s,m,f,c,s,d,l,e
t,k,n,k,p,g,e,e,m,i,a,o,q,e,h,l,l,g,l,c
q,g,g,p,a,d,h,f,n,a,s,p,h,i,d,o,f,n,i,r
c,h,n,i,c,d,p,t,n,d,e,e,h,j,m,s,g,n,b,i
h,c,b,a,h,h,j,e,m,o,s,i,t,p,m,q,d,e,c,r
