var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
e,i,d,k,o,f,n,h,k,i,c,m,i,k,b
b,b,i,d,m,l,h,a,h,l,o,c,l,o,n
k,m,c,g,m,f,n,g,d,j,e,e,o,n,j
d,e,d,m,i,h,e,g,l,c,e,i,n,o,e
i,d,n,f,c,l,m,b,h,b,o,d,h,a,i
b,d,j,m,c,n,n,h,l,g,c,g,k,o,n
a,f,m,h,b,a,j,d,d,i,e,h,g,n,h
j,k,m,n,b,k,k,d,c,j,a,b,n,k,n
i,h,i,o,o,n,f,n,b,c,b,m,o,a,a
m,h,g,o,j,f,k,l,f,k,d,b,g,c,m
o,c,b,d,j,i,a,j,j,g,h,e,c,n,c
m,h,a,a,n,k,o,m,h,d,i,h,a,k,n
c,d,o,e,h,l,i,h,l,e,g,b,m,b,j
l,a,l,o,h,l,k,i,e,a,o,d,f,l,e
m,n,m,c,a,m,f,k,c,a,m,m,l,n,o
b,d,d,d,n,a,c,b,m,h,c,m,a,m,k
f,j,e,i,e,i,d,d,o,j,g,a,d,c,g
j,m,f,m,o,m,b,o,i,g,b,f,j,d,j
a,o,f,e,d,b,b,g,f,b,o,b,l,m,k
m,o,m,a,j,m,l,l,a,b,h,b,l,o,f
o,f,b,g,o,n,o,n,d,n,l,d,h,m,o
k,j,j,c,o,l,k,f,l,m,g,h,j,l,l
c,j,n,d,e,l,i,a,k,m,m,h,e,h,j
c,k,a,o,e,c,f,a,h,b,c,c,j,k,g
o,n,k,n,o,j,a,d,f,b,i,f,k,i,b
c,a,g,m,m,c,l,d,k,n,a,f,n,c,c
a,m,d,o,h,m,k,i,a,m,d,d,h,f,h
h,l,d,f,o,j,a,b,g,d,n,i,g,a,g
j,d,b,o,e,n,j,h,h,b,m,g,j,c,g
j,k,i,c,g,i,o,f,i,n,m,n,j,n,a
o,j,h,h,l,f,c,i,c,f,f,j,i,g,o
f,k,f,g,m,o,n,i,o,l,g,j,e,h,f
c,l,e,g,g,n,a,b,o,l,a,h,b,k,n
e,g,e,j,f,l,l,m,i,d,d,k,b,n,b
a,h,o,l,h,k,l,o,e,b,b,d,i,j,d
g,c,f,m,n,k,i,b,f,m,m,e,b,e,h
