var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
f,i,d,g,g,d,e,e,i,d,i,j,e,f,h
b,g,b,c,e,i,c,i,g,g,e,c,e,f,b
h,c,g,b,d,i,j,g,g,a,i,j,i,d,b
e,b,e,f,g,a,c,c,e,c,g,f,c,a,a
d,e,i,j,e,h,d,b,i,j,c,f,g,i,b
e,f,i,b,h,j,d,c,d,j,e,j,g,h,j
b,g,g,c,g,c,a,j,h,f,c,c,g,e,e
c,g,i,c,f,c,a,c,e,h,j,j,g,e,d
h,i,b,i,h,e,a,b,h,h,e,i,a,a,b
a,b,e,h,g,g,a,e,d,a,j,d,i,h,e
h,b,i,f,a,j,j,g,c,g,f,b,b,e,f
d,f,i,e,c,e,j,j,b,a,b,f,f,g,d
b,d,g,b,i,f,f,d,d,d,f,b,d,a,e
h,e,b,h,c,g,h,i,f,j,c,d,e,i,e
c,c,d,h,c,b,e,b,a,j,b,d,b,c,d
d,f,f,c,g,a,c,g,c,j,i,c,b,f,h
f,i,h,c,g,d,a,h,c,j,j,d,d,j,a
e,f,h,i,c,h,a,a,g,j,c,d,d,h,b
e,g,b,c,c,a,f,j,d,a,h,c,e,f,b
a,i,h,e,i,g,a,f,f,g,f,c,f,g,g
c,i,e,i,c,g,e,e,g,j,e,f,j,g,h
e,h,e,c,g,g,c,f,i,i,g,b,e,d,d
h,f,d,h,j,a,b,g,f,b,d,g,c,h,d
f,g,j,d,i,f,f,e,e,a,d,j,e,h,g
f,c,c,h,c,d,c,b,c,h,i,a,d,j,j
d,j,i,h,g,b,c,a,c,f,a,h,g,e,j
f,d,g,c,d,h,a,h,b,g,c,d,j,c,j
a,j,d,i,f,h,j,g,c,g,f,e,f,j,f
e,g,g,i,i,e,g,g,b,d,f,d,e,g,e
i,d,g,b,h,c,a,a,d,e,d,c,f,h,g
i,e,i,h,a,c,i,g,e,f,j,g,b,g,j
d,g,a,h,e,d,e,b,d,g,f,b,i,h,b
i,i,c,d,g,b,a,b,c,j,a,j,f,h,j
a,j,i,h,a,e,e,d,d,c,i,h,d,h,b
e,f,i,b,d,g,h,j,g,c,a,j,f,e,g
c,i,g,i,g,b,g,c,f,h,d,j,e,h,g
e,d,b,h,h,b,h,c,d,a,e,j,f,i,a
i,i,d,h,h,c,f,e,c,j,c,d,b,d,h
b,j,d,a,g,a,c,c,a,h,g,a,d,c,d
f,e,b,i,a,c,c,d,c,b,d,j,h,h,j
d,f,d,d,a,c,h,g,j,h,f,c,f,d,h
d,i,e,j,j,d,h,b,d,f,j,a,f,d,d
d,g,i,g,j,j,g,j,i,j,j,a,a,b,b
i,e,g,g,g,c,c,c,h,j,j,c,d,g,g
e,c,i,c,g,g,g,b,b,j,c,f,e,g,c
e,a,a,f,g,b,b,h,g,a,f,f,c,g,f
d,e,i,e,c,b,e,g,c,i,j,h,d,b,d
d,f,i,c,i,c,b,b,c,e,b,j,e,j,f
d,c,b,a,a,b,d,b,d,c,i,d,e,i,h
i,e,b,h,b,d,f,b,c,i,i,j,j,h,b
e,c,a,h,j,g,b,a,d,d,a,h,d,h,f
f,i,a,g,f,c,a,h,g,e,e,d,g,i,e
e,i,c,h,f,j,b,j,c,b,j,d,e,e,e
j,f,e,b,g,i,d,j,c,j,c,i,d,d,g
g,j,d,j,g,c,f,c,d,e,f,c,e,h,g
d,g,d,d,c,b,b,b,e,j,e,d,f,g,h
g,f,e,d,a,e,c,h,c,j,d,j,b,d,e
e,e,d,g,a,h,j,b,i,a,g,h,i,f,h
a,i,b,j,g,c,c,h,i,j,c,f,i,h,a
d,e,e,b,a,h,c,b,e,g,d,i,c,c,e
h,i,e,i,g,e,h,i,c,a,j,e,h,j,d
b,g,c,c,g,f,d,b,e,g,f,b,d,g,g
j,i,b,c,h,b,c,f,a,g,a,f,e,g,c
j,e,g,b,g,g,c,a,c,i,f,f,d,d,b
g,j,a,f,h,a,g,g,g,a,c,e,h,d,g
e,c,i,b,e,d,c,c,d,e,a,g,f,g,f
c,g,e,i,i,j,i,a,j,h,f,f,j,h,b
d,e,e,i,j,f,d,a,d,h,b,f,e,g,d
a,h,i,g,a,d,f,c,d,d,f,g,c,h,h
e,j,b,f,h,b,e,h,i,g,f,c,g,g,e
c,e,e,c,h,f,f,e,e,f,j,f,e,h,d
j,g,f,h,i,c,a,h,d,h,b,j,c,h,g
d,a,c,h,i,b,f,g,d,d,g,f,d,g,b
d,j,f,c,c,c,i,e,i,c,c,f,e,h,c
e,g,g,b,e,g,f,c,h,j,c,a,b,g,g
a,i,e,c,i,h,a,a,d,d,h,c,j,c,e
d,e,g,d,h,g,d,d,j,g,g,a,d,j,j
i,b,b,d,a,h,f,a,d,i,g,d,d,h,h
d,f,g,f,b,j,c,a,i,j,f,e,f,j,e
g,g,h,f,a,a,b,h,d,i,c,a,c,h,e
e,c,d,i,g,f,a,j,e,j,g,f,d,c,f
j,i,e,d,h,c,a,g,i,b,f,d,g,b,a
e,j,e,h,j,b,f,b,f,j,i,d,c,e,g
e,e,i,h,e,i,b,c,d,j,a,a,j,h,e
a,d,i,a,e,f,c,j,i,a,c,f,e,h,d
f,e,c,j,d,f,e,e,c,f,f,j,e,a,d
e,c,b,g,g,i,a,c,c,d,i,f,e,f,b
a,e,i,j,h,c,a,h,i,a,f,c,d,b,f
c,f,f,f,i,c,g,f,e,j,b,c,j,e,j
i,a,d,b,i,e,a,c,d,j,a,h,d,c,j
d,j,b,d,j,c,a,b,d,c,c,h,e,g,c
c,i,f,c,g,g,i,c,h,i,j,f,h,g,b
d,c,e,e,e,b,f,g,c,g,e,i,c,c,g
g,c,g,c,c,j,e,g,f,d,j,d,e,e,g
a,g,d,c,g,c,c,a,g,a,j,c,e,h,d
c,f,h,b,b,g,a,g,c,j,g,d,f,a,b
d,c,e,c,g,g,d,e,j,c,f,d,g,g,f
j,d,e,d,b,g,a,f,g,h,f,i,i,c,c
e,e,e,a,g,g,d,c,g,j,h,c,i,h,e
a,f,h,d,j,h,c,j,a,h,f,a,j,e,b
e,g,c,i,h,d,i,d,b,h,g,b,e,h,c
i,g,c,e,g,c,e,e,b,a,a,c,f,h,e
d,j,b,i,e,b,f,e,i,c,c,g,b,a,c
d,j,b,b,f,c,b,c,c,g,a,c,f,i,h
e,g,c,h,h,j,c,e,h,g,g,i,j,b,h
e,i,j,c,a,g,j,a,h,j,g,c,g,g,f
a,j,e,e,d,c,f,c,c,a,a,j,d,e,f
b,d,e,f,e,h,g,e,c,j,e,j,e,j,g
e,i,e,g,j,a,e,d,d,a,i,g,d,d,h
g,i,c,i,h,b,b,h,i,b,g,f,f,f,e
d,f,e,j,d,b,d,a,g,a,c,c,f,h,h
e,e,b,b,d,h,g,g,e,e,g,b,j,h,c
