var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
o,t,i,g,j,g,n,a,l,p,e,a,b,t,b
i,e,h,q,r,b,a,m,b,k,e,q,g,n,p
j,m,f,q,p,k,s,p,e,f,k,c,k,q,p
r,s,n,t,e,d,p,s,s,k,t,j,o,m,s
j,l,j,l,g,d,k,d,l,m,m,l,q,b,s
r,i,e,o,n,m,d,b,e,o,q,i,q,f,h
d,t,p,d,d,e,i,h,t,l,q,a,q,o,m
j,e,a,e,t,e,e,d,b,g,a,n,d,c,n
t,j,q,j,r,r,g,q,k,r,r,j,q,t,i
j,m,d,k,b,q,f,b,m,m,k,d,m,n,s
r,o,e,o,f,r,i,f,a,h,m,g,s,e,d
d,o,h,m,q,j,h,t,f,t,h,p,g,l,o
o,a,a,p,c,b,p,s,p,e,k,a,l,f,m
o,q,q,f,k,s,c,o,t,q,l,g,s,k,t
c,t,f,n,d,m,f,s,h,k,i,q,p,f,p
f,s,c,d,q,a,k,t,p,b,p,a,q,g,q
h,b,d,f,a,s,i,q,s,c,p,m,g,o,c
b,l,g,t,h,j,i,a,n,n,m,r,m,e,d
f,j,f,r,q,j,m,t,a,t,e,s,t,f,m
d,q,e,e,g,e,t,p,m,j,a,n,b,d,k
f,t,r,d,c,f,k,a,r,i,a,r,k,n,b
a,f,m,q,l,k,h,r,k,a,r,i,d,l,t
t,f,k,n,o,o,q,q,e,c,h,b,q,o,n
q,e,h,o,b,i,p,l,i,l,m,g,f,c,c
m,p,e,q,h,n,o,q,a,l,a,o,k,c,t
n,e,l,m,b,q,c,q,a,q,h,j,r,j,g
e,h,r,a,h,k,n,q,d,d,m,m,n,g,o
e,q,d,k,g,n,q,a,k,g,q,q,c,i,c
t,s,e,p,k,c,k,d,b,b,n,o,d,t,m
c,o,e,e,s,j,a,t,o,t,i,f,k,e,c
i,i,j,o,r,o,o,i,q,i,i,h,b,b,h
e,t,d,r,e,a,s,n,o,o,s,j,a,i,h
g,e,c,e,h,r,e,k,k,g,l,n,o,h,i
k,o,k,s,j,e,j,l,n,q,s,n,k,l,p
j,i,c,k,d,g,p,s,n,n,n,b,q,a,g
f,g,b,a,o,h,o,s,n,o,r,e,d,t,p
h,g,d,l,b,l,q,r,e,k,r,s,r,n,j
j,l,t,t,p,b,c,h,i,k,i,l,m,s,j
p,b,s,n,j,t,a,g,i,c,r,q,m,c,p
n,c,t,c,f,n,l,f,h,p,o,i,n,o,m
q,o,n,j,f,e,p,r,j,b,a,f,l,a,m
g,e,c,m,q,o,h,k,f,r,t,a,m,a,k
d,h,j,p,d,s,l,i,n,t,r,h,r,i,n
j,p,e,f,i,o,q,m,l,o,q,m,k,e,p
k,b,d,c,q,g,n,s,p,h,a,t,c,c,p
l,j,n,l,j,h,s,d,l,l,g,f,q,f,j
j,q,d,k,b,k,i,s,e,i,l,b,a,m,i
s,o,m,j,o,i,f,j,i,m,r,p,a,p,h
