var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
e,c,j,f,h,c,g,e,b,b
j,f,a,j,f,f,f,b,d,g
d,g,e,e,b,f,f,e,g,a
c,i,e,h,d,c,h,g,a,h
g,a,j,a,b,h,b,b,c,j
g,j,g,j,c,f,b,i,b,e
j,j,b,a,a,e,a,i,h,c
h,e,g,b,g,e,c,h,a,j
f,f,i,i,a,d,j,b,f,j
i,j,d,c,a,e,e,e,d,a
j,j,d,d,e,b,a,h,a,d
e,i,d,f,i,d,b,c,h,a
a,b,a,f,b,i,i,g,b,f
c,d,j,d,j,j,j,b,g,e
d,a,e,f,j,c,g,c,i,e
c,e,c,f,e,e,j,c,d,f
d,g,i,e,h,g,a,i,b,a
h,j,b,i,e,h,h,e,a,d
d,j,i,c,j,c,f,b,g,a
b,h,b,i,g,h,d,i,d,j
b,b,d,i,e,f,e,a,g,a
h,b,i,g,j,b,a,c,c,g
a,e,g,h,h,e,d,f,d,i
e,i,f,b,i,i,f,d,d,a
e,h,h,f,j,d,h,j,a,f
a,h,g,c,h,g,i,e,e,c
e,g,e,b,h,h,a,a,h,h
a,d,i,i,g,h,j,f,f,h
b,b,h,i,d,h,c,f,h,b
a,a,a,f,c,j,f,e,h,f
e,d,b,c,e,e,e,f,d,h
j,g,j,h,d,j,f,f,d,d
f,h,i,f,c,a,a,g,c,f
j,a,d,c,e,d,b,j,c,h
a,h,a,h,f,j,a,i,g,h
b,h,a,b,a,d,c,d,j,a
f,h,j,c,d,c,j,h,j,b
j,j,e,c,c,e,i,e,d,j
d,j,g,i,a,b,c,h,f,f
j,d,j,i,g,c,h,f,e,i
g,f,b,f,e,b,j,f,a,c
j,h,f,b,h,g,j,g,j,j
g,c,g,b,j,b,b,i,b,i
f,i,d,i,b,e,g,e,f,e
g,b,g,i,i,j,c,h,g,f
i,i,c,i,f,a,f,a,g,a
h,d,e,g,e,a,g,j,a,g
a,a,h,e,i,e,j,g,e,f
h,c,h,a,e,b,b,g,g,j
f,d,h,j,h,g,d,c,a,h
a,j,f,a,g,e,d,j,i,d
h,i,j,j,g,h,g,h,d,f
b,e,h,h,g,e,c,g,g,i
d,j,d,h,a,f,b,e,c,c
a,f,f,b,f,g,f,h,b,f
g,f,i,d,j,a,c,a,a,d
a,j,d,g,e,g,h,e,e,f
a,d,e,j,e,h,j,g,j,g
b,h,b,b,g,f,a,j,c,c
c,h,d,d,i,e,a,g,b,h
c,j,c,i,b,d,b,b,e,j
j,c,h,d,a,i,b,g,g,a
i,i,j,e,e,a,b,c,i,d
d,h,a,d,e,j,f,c,c,i
e,j,j,d,c,c,c,j,g,c
g,j,d,h,d,f,c,a,c,b
c,i,h,a,i,c,e,d,b,c
g,f,d,b,e,b,e,d,j,g
b,b,g,j,j,g,f,h,f,b
h,f,g,d,d,f,g,a,e,d
b,j,d,e,c,i,e,e,f,c
j,j,f,c,i,f,b,d,g,j
h,i,h,b,c,g,f,b,c,a
j,f,f,e,d,f,e,e,h,g
c,d,a,h,d,c,g,g,b,c
d,d,e,e,i,h,c,d,d,c
b,d,i,j,c,g,c,b,b,f
b,e,c,f,e,e,j,d,i,g
c,e,d,d,b,b,e,d,g,h
a,j,b,d,c,c,d,a,j,g
h,j,i,d,a,i,f,i,a,h
d,h,d,f,g,h,a,f,j,i
h,j,e,a,h,j,d,g,d,a
h,d,b,c,d,b,e,d,c,b
b,h,b,a,d,i,c,f,b,a
e,d,g,b,a,i,g,e,d,c
j,f,e,j,a,c,a,h,d,h
a,e,f,b,c,b,a,a,b,g
b,e,a,i,j,b,c,f,h,f
b,i,d,h,g,d,d,f,d,e
a,f,f,f,h,h,a,g,b,j
h,j,f,e,h,j,e,h,f,c
a,g,d,h,j,a,f,f,e,g
a,a,a,i,j,b,e,c,d,b
b,c,g,d,e,e,h,d,i,a
i,e,b,b,f,g,a,c,g,f
c,g,e,i,j,j,i,e,c,b
g,a,d,g,b,j,h,c,h,j
h,j,i,a,a,h,c,j,f,e
b,e,i,f,e,i,g,j,i,j
h,h,e,i,c,f,e,j,h,j
f,h,d,d,i,j,g,e,h,a
d,f,h,i,d,b,i,e,j,h
c,f,c,c,g,a,d,h,f,d
h,f,f,f,h,b,h,e,f,d
d,h,g,c,e,j,i,d,f,b
d,i,d,i,b,f,f,h,f,i
g,a,j,e,d,h,b,a,b,i
h,h,f,g,h,d,c,j,g,i
a,d,h,i,c,a,b,e,b,i
g,c,d,b,j,c,b,c,g,j
h,g,c,f,f,h,g,h,b,f
h,b,i,i,a,a,h,a,i,e
i,a,d,f,j,d,d,i,h,c
c,a,d,g,d,b,h,g,i,f
g,h,h,d,i,b,e,e,g,h
h,j,a,j,e,g,d,b,a,c
f,i,i,i,i,b,e,b,b,e
g,e,c,j,e,b,d,d,d,i
a,j,i,i,c,i,e,a,f,h
g,f,e,f,c,i,e,b,h,d
h,b,c,e,b,g,b,g,d,h
a,d,e,i,f,b,i,h,d,h
e,i,f,f,i,e,i,c,e,b
d,e,j,a,g,j,a,h,c,g
h,j,i,f,e,g,f,f,d,c
b,i,j,d,e,j,a,e,c,d
g,a,c,f,g,d,d,a,h,a
g,g,j,d,j,j,d,i,b,g
b,j,e,h,c,c,a,b,j,h
c,i,g,g,h,a,g,i,f,c
a,h,i,i,a,g,h,b,f,c
b,g,h,c,b,b,f,i,j,i
h,h,j,g,a,e,a,h,h,a
h,c,g,f,b,i,a,h,i,b
c,e,d,g,h,j,j,j,a,e
f,f,j,a,c,c,c,c,e,i
g,j,i,e,h,f,e,d,e,b
i,g,i,h,b,j,d,d,f,f
e,c,j,j,a,f,c,i,a,a
d,g,d,i,g,g,a,e,i,d
c,c,f,g,d,e,d,c,f,g
g,j,b,i,d,d,d,i,d,e
g,b,g,b,g,g,f,i,j,g
d,j,e,g,g,d,h,d,a,d
g,j,j,g,i,h,e,f,d,g
c,g,c,a,g,f,g,h,e,b
