var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
m,e,p,n,b,p,n,t,j,h,i,q,h,n,j,n,k,f,j,g
n,o,e,o,r,s,b,h,g,k,j,e,h,f,b,e,o,o,d,t
k,s,q,o,j,h,l,f,l,n,t,s,m,i,b,a,l,m,g,m
r,t,b,n,r,g,h,n,s,k,l,c,g,o,s,i,f,f,t,h
c,o,g,d,p,m,d,c,o,l,h,r,a,p,c,h,e,p,b,b
c,j,e,j,d,i,m,f,d,m,h,b,j,a,g,i,s,i,h,p
g,e,l,n,t,h,i,g,i,j,g,j,e,o,r,a,r,j,j,a
l,b,t,k,e,p,a,d,d,r,o,q,h,h,p,p,l,f,f,k
d,i,n,g,t,e,n,k,e,a,t,c,i,s,p,a,a,d,b,h
l,q,t,q,m,h,f,h,h,d,m,f,j,f,b,q,a,j,r,j
f,m,e,r,a,s,i,q,p,p,r,n,b,g,i,f,o,m,m,o
b,b,o,m,n,b,s,d,q,o,p,f,c,e,m,s,h,f,o,d
m,s,t,b,o,s,h,o,k,f,t,q,a,a,d,n,o,k,r,q
p,p,h,g,c,q,q,o,i,a,e,n,o,o,n,a,g,m,b,k
a,e,q,p,c,i,f,n,b,m,a,e,q,a,b,f,o,n,a,p
q,t,f,i,o,r,c,o,b,t,c,q,e,l,b,g,a,j,q,t
p,b,d,g,a,q,n,k,s,s,c,b,s,b,h,r,n,b,g,p
n,o,a,n,l,b,i,p,m,p,n,g,s,m,f,j,f,b,b,s
f,j,q,c,j,b,a,b,t,o,j,i,f,e,l,c,d,j,m,o
d,i,e,k,q,a,c,l,h,d,p,m,h,p,a,g,i,l,g,o
f,a,r,t,o,n,d,j,l,h,t,r,t,f,p,j,i,t,s,n
n,d,k,o,s,k,n,b,i,e,r,b,q,e,n,m,s,d,n,n
i,d,j,p,t,h,c,c,d,f,l,d,n,o,a,r,h,a,k,d
e,g,o,p,t,k,q,j,c,a,d,n,i,k,e,n,e,t,l,p
e,c,e,o,r,g,j,h,s,j,t,b,e,k,n,m,c,p,q,c
m,s,h,m,m,j,c,k,s,c,p,n,b,b,c,c,i,j,i,e
g,i,m,j,s,b,n,j,l,e,r,o,b,e,s,g,d,f,b,d
q,j,n,q,r,h,k,t,q,t,f,e,k,q,p,g,c,f,g,p
o,n,e,b,i,j,d,m,s,t,i,j,t,s,r,r,s,c,b,t
a,a,e,b,g,b,t,i,a,o,l,g,d,g,e,c,l,f,s,j
c,r,g,j,r,b,j,a,m,n,n,m,h,p,g,o,r,i,r,e
g,e,s,b,a,r,l,c,a,m,t,c,c,q,g,n,c,m,b,o
k,l,f,p,a,k,a,o,q,r,e,f,g,t,s,g,i,t,b,i
n,a,j,q,b,a,r,b,j,c,i,b,d,e,b,s,d,c,i,j
a,r,f,q,f,h,h,n,g,p,i,f,e,j,n,l,c,m,n,n
f,t,d,j,t,r,f,n,k,m,f,h,i,s,b,r,c,e,c,f
e,p,n,d,m,q,b,b,f,k,m,i,q,f,r,d,q,t,c,c
h,o,m,n,j,s,c,g,e,k,n,r,r,m,q,r,r,r,s,a
h,b,s,p,b,f,g,o,f,s,f,e,r,k,b,q,l,p,i,i
o,l,l,e,h,e,t,g,b,h,t,b,t,o,r,s,f,h,m,h
