var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
o,i,d,l,a,s,c,s,l,q
n,f,g,j,e,l,b,f,o,t
n,g,g,j,f,b,n,s,s,f
g,g,s,k,d,r,n,f,l,i
l,b,a,k,s,r,e,b,q,s
h,m,g,f,e,k,h,s,h,a
m,h,n,e,i,n,q,h,e,r
h,f,h,m,n,s,e,r,t,n
a,b,b,k,i,e,h,e,e,l
q,r,h,p,l,a,r,t,l,q
g,o,t,i,m,a,d,k,j,o
h,d,p,b,r,q,r,b,l,o
n,g,g,f,e,i,i,a,m,p
n,p,e,k,k,b,m,a,e,n
f,h,t,n,e,k,p,p,l,m
d,j,o,i,e,m,h,q,s,e
n,h,c,r,p,s,e,a,a,k
t,n,a,f,j,q,n,e,l,j
m,a,s,l,m,q,r,n,l,a
q,n,a,g,h,i,j,m,l,n
m,r,e,r,q,o,e,e,r,q
f,o,j,j,g,f,c,j,e,t
e,l,b,q,i,h,k,h,t,n
n,e,t,n,e,m,q,o,l,j
f,s,n,j,j,o,t,q,s,n
t,a,g,b,l,i,a,q,b,j
i,p,f,d,j,q,k,q,l,a
i,e,n,p,g,c,s,n,n,q
n,p,h,h,m,d,e,b,a,k
p,j,r,h,t,q,m,r,k,k
p,e,a,d,d,s,r,r,l,e
i,d,h,h,s,f,g,h,l,k
m,h,o,h,j,b,k,j,e,d
f,o,p,i,a,e,s,c,s,j
q,l,g,p,h,a,a,p,l,k
m,d,k,d,s,n,i,d,l,a
q,d,f,e,e,m,f,j,t,a
f,n,s,b,n,o,r,b,m,q
k,p,r,d,a,j,f,a,p,h
n,s,k,a,q,o,m,p,c,q
n,o,i,g,m,d,h,j,h,o
r,e,o,a,e,h,r,b,p,l
h,m,t,i,l,b,m,r,l,b
n,b,m,k,g,h,f,m,f,o
k,p,j,o,m,s,k,n,a,t
l,d,e,k,m,b,a,m,f,r
t,t,n,p,l,o,q,j,l,r
l,s,g,f,i,m,p,o,p,a
t,e,c,j,e,a,e,s,i,d
d,k,g,e,d,a,j,n,t,k
c,o,c,p,e,j,f,g,r,o
s,o,g,a,n,d,h,m,p,h
d,o,m,j,s,n,d,f,s,a
m,o,k,p,t,c,r,n,e,q
n,c,s,n,m,q,j,e,l,a
s,f,h,e,j,l,r,e,j,s
d,h,n,q,e,l,e,h,e,o
p,e,t,r,i,d,k,d,m,t
f,k,h,f,i,i,l,b,e,h
n,f,s,q,i,q,r,j,b,r
a,h,g,g,m,k,o,m,q,k
h,d,f,f,j,i,g,e,g,a
a,b,j,k,g,i,s,j,a,j
a,h,m,k,c,s,j,l,j,b
s,h,h,i,m,q,e,s,r,o
e,k,s,p,s,k,a,e,p,a
i,f,r,g,n,k,e,h,j,i
l,p,n,r,c,q,a,f,b,j
k,k,e,p,a,q,i,f,h,a
n,r,a,q,d,t,o,j,c,c
t,d,g,k,o,e,r,c,p,p
o,t,t,l,r,m,t,c,e,s
p,p,g,e,g,s,p,j,l,o
q,b,n,h,q,n,h,m,m,t
n,s,q,k,e,a,b,s,a,h
h,m,o,h,b,o,t,c,a,a
b,i,n,f,q,s,k,a,a,t
t,b,l,r,c,j,i,k,p,f
b,o,g,o,h,s,s,f,p,h
e,f,d,l,g,h,k,n,p,p
g,n,t,r,t,k,m,h,e,o
b,b,e,n,r,q,e,a,p,k
t,e,m,q,o,q,d,c,t,o
t,a,q,f,a,l,n,h,h,a
j,p,q,f,h,q,j,l,e,q
f,o,d,j,l,a,k,f,s,g
a,f,l,m,t,k,n,s,q,n
l,o,q,h,f,m,r,j,c,p
t,r,g,r,b,s,e,i,p,p
f,t,b,h,n,e,r,o,c,e
o,k,f,k,t,q,f,q,m,r
