var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
j,k,b,e,l,j,a,m,q,d,i,b,n,c,m,l,k,k,q,r
q,a,b,c,b,l,t,j,k,m,h,d,n,s,g,d,r,r,d,i
q,d,e,c,i,i,b,p,a,f,o,e,j,c,g,t,g,l,r,g
r,t,i,e,g,b,f,t,p,m,j,t,h,h,n,s,g,a,l,r
n,j,q,d,t,b,n,n,o,f,g,c,o,r,q,m,d,e,o,e
g,a,j,l,j,a,d,r,a,g,e,n,s,n,s,s,m,t,n,t
i,n,d,e,f,n,h,g,t,r,i,d,o,p,e,t,o,r,q,o
q,j,m,i,r,q,c,s,a,n,l,b,n,f,i,b,g,e,e,p
t,j,t,q,f,t,a,h,r,p,o,t,a,a,n,s,i,q,f,r
q,b,d,h,k,n,e,c,g,a,f,l,s,s,g,q,i,i,c,b
r,a,c,p,s,i,h,b,f,h,g,f,d,e,l,m,r,l,a,g
i,j,j,j,o,c,c,s,g,q,d,l,k,g,a,n,h,k,f,m
j,d,m,a,q,j,f,o,c,t,o,b,r,n,o,l,r,b,t,o
j,f,b,q,n,e,p,o,t,t,b,f,b,p,d,t,h,l,o,p
b,k,k,r,j,a,e,t,s,g,r,d,c,n,g,m,g,p,a,g
j,n,a,p,o,s,q,o,r,k,q,b,o,o,j,c,i,i,i,b
n,j,n,l,s,i,a,h,p,o,q,n,i,l,p,a,q,m,r,o
l,q,h,e,m,c,h,m,j,e,r,g,l,q,r,h,l,m,m,s
n,f,l,b,i,c,i,l,d,l,h,h,p,n,c,i,t,i,g,k
q,g,e,i,t,k,q,p,g,a,d,l,n,i,h,i,p,d,k,k
h,p,g,f,i,g,n,k,b,d,o,g,f,s,g,h,d,a,j,j
h,m,o,c,a,o,k,j,t,p,g,b,c,l,d,r,m,g,h,j
t,m,i,r,f,d,q,i,a,o,l,i,o,p,h,g,n,e,c,m
p,i,j,b,q,o,c,k,d,n,e,f,f,j,r,b,d,a,h,t
p,l,c,c,m,i,i,h,p,r,l,m,o,j,d,r,b,e,r,d
