var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
f,g,e,d,j,f,f,e,j,d,i,e,b,g,h
b,j,b,g,d,i,c,i,f,g,e,i,e,f,b
h,c,j,c,d,i,j,e,e,a,i,j,i,d,b
b,b,a,b,d,d,j,c,e,b,g,i,a,a,a
d,e,b,h,f,h,d,i,i,j,h,f,g,i,f
c,j,i,b,h,i,d,a,e,j,j,j,g,b,j
b,b,h,c,g,c,a,j,a,f,g,c,b,e,e
c,i,i,c,f,c,g,c,e,h,j,d,j,e,d
i,j,d,c,h,e,h,c,h,h,a,i,a,a,g
a,b,e,h,g,c,a,e,f,a,g,d,i,b,f
h,j,e,f,a,j,j,g,e,g,f,g,e,e,c
d,f,d,b,i,e,j,e,b,a,b,d,b,g,g
d,b,a,d,b,f,d,d,e,d,h,b,a,a,i
h,b,h,f,c,i,h,g,f,j,b,d,e,h,e
j,c,d,h,c,a,e,c,j,j,b,i,b,b,d
h,f,f,e,a,c,c,g,f,c,i,b,b,g,b
g,i,h,c,h,f,a,e,j,j,j,d,j,b,a
e,f,j,i,c,h,a,g,a,b,c,b,d,e,b
c,f,d,c,b,a,f,i,g,d,h,c,j,b,b
c,i,h,g,c,i,a,f,f,j,j,h,a,g,g
c,i,e,d,c,h,j,e,g,f,i,a,b,a,d
d,i,e,c,c,g,c,f,i,i,c,b,e,d,d
h,f,d,c,j,a,c,g,f,b,a,g,c,e,b
f,i,e,j,i,f,f,h,e,a,d,j,e,g,e
f,c,c,d,c,e,c,d,e,i,i,b,d,b,d
e,j,i,b,b,d,c,a,c,e,a,f,g,e,g
f,d,g,j,c,h,a,h,b,c,c,d,h,c,j
j,j,d,i,d,h,d,c,h,g,e,g,a,d,c
a,c,g,i,h,h,g,g,b,d,f,c,b,g,e
g,d,g,h,h,i,a,g,d,e,b,c,f,g,h
f,b,h,h,b,c,i,g,e,f,a,f,d,g,j
c,c,a,b,e,g,c,g,b,g,h,b,i,h,e
i,i,d,d,h,g,a,b,b,e,a,e,a,f,d
a,j,a,d,a,e,d,d,d,c,i,c,d,h,b
c,j,g,b,d,g,h,j,g,c,a,j,f,b,h
c,i,h,j,h,e,g,c,f,g,d,j,e,b,g
f,c,b,d,e,a,h,h,d,d,e,h,h,i,a
b,b,j,h,h,c,j,e,c,e,c,f,b,d,a
b,b,i,i,a,g,a,c,a,f,g,e,d,h,e
b,e,d,i,c,a,c,d,e,b,d,j,h,h,j
i,j,d,d,b,c,a,g,e,f,f,e,c,d,h
b,c,e,j,j,d,h,b,c,f,h,a,i,d,d
c,g,i,j,b,j,d,j,d,e,j,b,a,g,d
i,a,e,g,b,c,e,h,h,j,d,e,e,g,a
d,c,i,c,i,g,g,i,i,j,h,f,e,g,g
h,a,b,a,g,b,e,h,b,j,f,e,c,g,b
e,e,j,e,b,b,g,g,e,i,j,f,d,b,d
b,f,i,c,h,c,d,b,f,e,b,h,a,i,i
e,c,b,e,a,j,d,j,g,h,e,d,h,i,b
i,j,b,c,b,c,a,b,e,h,h,j,a,i,b
f,f,j,h,j,h,b,g,c,g,a,a,i,i,e
f,a,i,g,f,h,a,d,g,e,h,c,a,a,b
e,j,c,b,f,c,f,b,g,h,j,g,i,e,e
j,f,f,b,j,i,d,e,h,f,d,c,j,d,b
f,j,d,j,f,d,f,c,h,e,h,c,e,g,h
j,j,d,j,c,i,g,b,e,g,e,d,b,g,h
g,f,e,f,a,e,c,e,c,j,d,j,b,d,g
e,e,i,g,e,h,f,b,c,j,b,h,i,f,h
a,i,d,j,c,c,a,h,i,f,c,j,i,f,a
h,i,e,b,d,c,c,g,e,d,d,j,b,e,e
d,b,e,i,j,e,d,i,c,d,i,e,i,j,d
i,g,c,f,g,f,d,b,e,g,f,h,j,g,d
c,e,b,c,h,b,c,e,b,g,a,e,e,g,e
j,i,g,b,j,g,c,e,a,i,f,f,h,f,f
d,b,a,f,h,a,g,d,g,f,e,e,i,b,e
d,c,j,b,e,i,c,i,b,d,a,g,b,g,e
h,i,i,i,i,c,d,a,j,a,c,f,j,g,e
