var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
k,d,p,i,t,g,e,n,h,k,h,h,f,k,c
h,i,c,t,g,n,s,i,e,o,q,a,s,a,l
h,s,c,b,d,d,b,o,a,l,j,k,t,b,i
p,e,p,i,o,g,e,n,c,k,m,a,c,e,i
l,s,a,b,i,c,k,q,k,i,b,j,s,m,o
p,l,g,j,a,e,a,d,s,m,t,m,s,s,r
q,q,d,j,f,e,o,t,p,i,g,q,k,t,b
i,i,t,k,d,i,f,t,q,r,h,e,k,t,n
l,n,f,s,q,c,i,o,l,t,s,f,c,c,k
m,a,p,d,g,c,j,q,f,h,s,r,b,b,a
j,d,r,d,t,l,h,e,s,p,j,r,t,m,d
o,g,k,k,c,m,l,h,s,k,l,f,n,e,q
b,f,h,j,g,p,g,o,e,k,h,b,d,n,c
q,m,g,k,n,c,o,q,n,s,m,e,c,c,q
h,r,g,f,o,b,a,g,a,b,j,g,k,t,f
d,h,s,g,j,a,g,l,b,b,s,o,q,i,h
m,m,r,l,a,n,e,k,s,a,o,k,m,s,e
s,k,d,g,k,p,l,o,q,q,e,c,g,q,a
j,o,j,g,j,r,b,k,r,p,k,r,e,f,n
e,o,g,r,b,g,p,p,l,r,i,g,j,r,o
p,l,c,m,p,a,m,k,c,t,c,o,n,e,c
n,c,a,c,i,m,t,h,t,p,k,s,h,n,e
h,n,s,m,t,m,o,s,r,i,l,g,m,b,q
a,t,r,j,a,t,n,t,r,p,a,b,a,j,d
m,t,h,h,e,j,f,e,b,c,p,d,b,i,r
m,o,f,p,l,b,n,c,l,m,q,p,j,d,o
a,p,m,e,e,s,j,s,n,c,f,p,r,f,r
q,s,i,n,p,a,p,p,a,s,r,r,t,n,i
n,c,c,i,e,q,f,q,c,j,s,q,p,p,a
p,s,c,k,a,p,e,f,i,h,q,b,f,c,n
n,h,d,c,e,d,r,a,c,f,q,r,q,e,q
t,o,d,p,j,e,o,c,i,p,o,c,b,i,l
f,j,d,b,t,c,g,i,i,i,l,t,n,j,i
p,q,p,p,n,k,g,f,c,k,c,a,j,t,c
e,a,p,j,r,a,t,i,n,a,l,p,d,p,a
s,l,r,f,d,e,q,g,i,l,c,s,n,o,c
h,l,p,b,r,d,n,e,n,l,c,s,n,e,n
a,a,j,b,r,s,r,e,b,l,m,j,a,k,i
e,o,e,a,q,k,r,q,o,s,j,m,f,a,e
h,o,p,d,b,c,j,c,g,n,j,j,j,r,o
k,r,p,e,r,m,j,c,m,g,n,k,q,r,h
a,c,d,c,j,d,r,a,l,i,g,q,b,f,g
c,n,i,n,k,s,p,p,k,n,o,i,f,o,m
d,t,l,g,b,a,i,c,c,b,a,o,q,o,j
c,b,c,m,p,d,q,k,k,m,n,f,l,d,a
t,f,c,s,i,m,q,c,j,n,h,k,p,i,k
g,q,l,m,s,n,h,b,n,e,p,b,q,g,h
e,k,c,f,a,b,l,r,q,c,r,n,c,p,t
h,s,s,e,d,t,j,g,a,g,e,b,g,n,q
n,p,b,c,n,e,m,d,l,g,d,h,b,m,i
t,k,t,l,q,l,r,o,a,k,l,o,r,f,p
d,h,f,s,i,j,i,i,t,i,i,m,r,s,r
a,e,n,o,a,i,f,d,i,t,k,n,p,c,o
q,e,t,e,n,m,e,d,c,b,r,k,r,e,g
d,q,g,f,h,r,e,e,e,e,m,g,g,r,l
b,a,h,h,i,j,f,a,i,c,b,d,b,f,e
t,e,g,n,f,j,d,t,i,m,l,g,a,q,p
e,l,f,r,e,o,d,b,o,e,s,q,f,o,e
f,n,t,a,t,c,i,j,r,i,p,g,m,d,q
f,e,r,c,i,p,l,n,g,e,c,d,p,r,p
k,j,c,h,c,p,i,f,h,c,f,b,k,b,i
h,i,q,q,m,r,j,t,k,c,f,n,d,o,t
n,h,g,j,g,q,j,j,e,m,h,g,i,t,l
b,d,b,f,c,d,b,m,q,c,g,j,t,b,e
s,f,h,c,g,e,g,m,a,d,k,e,j,e,l
c,t,s,l,b,a,h,q,b,g,c,i,g,q,t
o,p,f,l,i,t,t,f,d,q,g,i,i,f,b
l,a,n,f,f,f,h,p,m,b,b,d,e,t,s
q,c,d,j,n,e,q,c,s,q,l,n,n,n,o
c,h,g,m,i,k,h,f,e,b,d,h,a,g,g
s,a,h,c,m,e,g,m,t,t,e,l,f,e,s
d,g,d,n,t,c,b,h,c,i,p,f,h,c,m
j,a,a,b,m,k,r,m,l,t,g,r,o,q,s
p,t,i,f,e,m,n,r,k,l,s,p,b,t,r
p,a,t,o,c,j,b,c,k,o,i,g,t,l,l
a,i,e,q,g,a,c,t,c,a,c,o,m,c,n
e,p,q,i,r,s,e,m,q,f,r,p,l,n,j
l,h,m,g,p,a,c,t,e,c,g,p,l,d,s
h,j,h,n,a,m,q,t,g,f,m,l,c,f,c
m,g,s,e,d,o,f,p,m,c,g,b,j,q,g
i,l,n,i,i,b,h,f,j,g,i,c,s,s,b
p,j,n,o,a,h,b,e,q,h,c,b,r,j,n
g,e,e,e,n,d,r,a,f,b,i,s,r,p,g
b,f,k,f,i,p,d,k,l,n,f,q,h,f,q
c,f,m,b,g,h,b,r,a,k,e,g,s,h,c
t,n,m,i,s,r,h,i,h,f,l,q,a,e,h
k,q,m,f,r,h,o,o,q,k,g,h,m,d,g
m,q,h,m,g,m,d,e,q,b,s,k,a,t,o
c,b,j,p,j,j,f,h,e,l,m,j,e,c,m
t,d,n,j,e,a,e,d,r,s,q,s,i,m,f
m,a,o,p,o,g,q,t,l,g,s,o,k,b,b
d,p,n,q,i,r,b,g,m,n,i,r,f,h,k
h,c,m,a,m,t,a,n,s,c,f,p,l,e,t
a,s,i,e,k,t,j,s,t,o,g,q,g,a,d
i,t,a,d,g,c,p,q,b,f,s,i,b,a,r
i,g,l,e,f,j,b,q,f,d,g,m,l,p,o
s,p,m,s,j,e,q,n,g,l,s,o,t,h,b
a,o,n,r,j,r,c,j,l,a,c,i,j,p,o
q,k,d,b,j,l,k,i,q,q,l,n,m,g,l
i,b,d,o,b,s,m,j,j,a,d,h,t,j,g
h,o,p,d,k,l,j,q,d,n,j,j,j,k,m
s,t,k,k,l,m,l,h,e,f,s,m,q,i,g
a,d,k,p,l,f,e,g,a,o,n,o,a,h,a
l,k,c,p,s,a,a,k,g,t,e,o,j,n,k
f,i,m,d,e,a,d,h,k,e,b,j,d,b,t
c,q,s,m,i,l,e,e,o,l,f,o,q,g,h
p,f,a,q,h,f,n,i,i,l,g,f,p,p,o
f,q,c,l,h,b,h,g,c,k,e,p,r,m,i
g,q,b,m,h,c,j,s,e,e,n,t,g,g,l
n,s,k,j,l,b,b,s,s,t,c,d,h,f,c
f,c,d,b,b,d,i,k,m,i,l,t,n,e,o
q,c,p,t,l,f,e,a,i,q,p,h,f,t,s
e,k,h,h,p,j,f,a,i,n,h,l,n,h,b
q,r,q,j,h,i,i,t,g,f,c,n,p,c,n
f,t,d,k,f,o,f,n,r,q,p,l,b,n,s
p,j,n,d,g,t,c,s,s,h,c,b,r,l,a
g,k,i,l,f,g,n,m,j,r,q,k,s,e,j
a,c,a,t,k,n,p,a,a,l,c,d,f,k,b
t,r,m,c,r,r,p,p,l,r,b,d,c,q,l
j,f,s,m,k,m,e,s,m,n,n,c,r,f,m
a,e,c,o,m,c,m,l,r,o,n,o,e,i,t
h,b,k,i,j,m,a,q,d,j,k,f,o,a,m
l,m,q,p,n,e,d,s,g,t,i,o,j,e,g
k,f,n,r,p,e,c,j,o,m,l,a,e,d,f
l,r,o,s,t,j,l,o,q,i,p,m,r,s,m
p,b,o,h,m,l,g,o,c,l,s,p,p,t,o
o,r,m,k,k,k,k,f,b,a,i,q,q,n,m
s,j,n,e,e,d,h,r,l,f,q,m,b,i,q
i,o,q,g,m,g,m,f,i,m,a,k,b,l,l
f,s,j,m,i,n,b,f,q,f,g,a,i,n,a
a,p,b,m,i,p,j,s,c,l,j,o,q,n,q
a,n,p,j,f,d,s,q,c,i,m,h,k,c,a
g,i,p,m,m,n,p,d,i,c,e,t,s,p,m
f,o,g,g,i,h,o,e,o,f,i,m,b,p,b
j,t,g,j,o,q,j,j,e,k,e,h,l,n,b
f,h,b,m,i,m,i,e,m,l,a,o,q,r,h
d,p,r,g,i,i,e,a,l,l,r,h,j,g,h
s,s,h,k,s,o,n,m,d,m,k,o,o,k,k
h,o,c,h,b,k,t,f,r,m,l,l,e,g,i
l,m,o,q,n,b,t,c,j,i,q,l,h,t,p
g,f,s,f,p,c,b,l,e,r,d,i,b,b,b
s,a,t,e,o,p,c,d,l,g,p,d,t,b,b
l,p,r,a,p,n,q,p,l,i,h,r,f,c,l
s,p,o,a,p,t,a,f,r,r,a,l,e,d,t
h,c,b,k,t,k,m,i,b,q,h,n,r,c,o
f,b,m,g,q,a,c,q,l,n,j,j,r,f,h
h,e,s,h,k,a,q,b,l,b,l,g,o,h,h
c,l,l,a,m,b,d,d,g,s,b,g,a,o,m
i,f,s,o,b,i,b,c,p,o,o,i,g,p,n
h,n,c,m,m,h,m,k,c,t,n,o,n,t,e
g,e,k,m,h,n,t,g,n,c,h,l,j,r,a
g,t,k,f,g,d,e,n,i,r,d,i,b,i,m
b,k,e,f,k,j,d,e,r,c,s,e,o,m,a
f,s,g,m,d,k,o,e,r,l,d,a,d,i,a
g,a,a,i,l,m,k,s,o,c,p,q,q,r,c
a,a,s,h,m,a,q,k,l,q,q,m,a,a,j
r,e,j,m,o,c,f,q,c,q,c,m,q,n,q
j,q,t,a,r,d,m,t,m,k,o,k,m,o,g
g,l,p,l,i,q,k,n,a,h,q,a,e,i,s
e,e,g,d,n,k,p,b,k,b,d,h,a,h,c
r,h,k,q,a,p,k,j,o,n,h,b,b,s,n
g,p,j,s,p,d,b,p,n,i,i,c,r,p,j
g,s,k,q,c,k,h,n,g,o,k,k,c,m,n
