var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
o,j,l,p,k,p,k,g,a,f
e,h,o,n,e,h,t,s,i,p
d,q,m,t,n,j,e,l,s,b
a,m,l,m,f,d,t,h,s,r
k,j,i,p,p,o,n,o,h,h
m,p,n,l,g,n,f,n,t,o
r,n,j,g,b,s,b,t,e,c
c,n,s,g,e,h,h,b,j,i
e,p,t,j,k,g,d,k,e,r
r,o,h,p,j,j,h,s,h,n
m,t,q,d,p,q,i,g,m,a
q,n,l,e,p,j,a,c,a,r
s,c,l,d,a,t,e,g,b,t
f,p,s,s,c,p,r,i,m,p
r,s,b,n,g,i,e,m,m,c
r,a,b,g,i,k,e,b,d,f
b,s,a,p,e,j,h,s,j,n
j,a,q,d,a,c,q,r,j,o
d,o,p,e,o,i,s,m,q,h
i,e,r,l,m,d,d,c,q,n
k,b,t,m,m,o,j,t,r,a
n,c,q,o,r,d,j,b,q,e
k,b,j,a,n,t,h,q,i,r
p,k,p,m,b,g,n,r,o,b
g,h,c,g,p,m,k,q,j,r
h,s,n,a,a,r,h,f,p,q
r,n,c,j,i,h,h,m,a,k
l,g,t,b,j,s,q,p,d,k
h,o,k,f,d,n,n,j,h,a
p,h,i,p,b,h,p,o,l,d
f,s,f,c,l,f,o,f,q,p
l,p,p,f,e,r,m,q,s,j
s,i,j,i,g,p,h,a,e,n
s,h,l,e,h,t,e,h,j,r
d,b,a,a,o,r,j,n,r,a
b,h,m,q,t,n,i,d,l,t
q,j,m,k,h,t,j,l,o,d
i,f,m,n,r,s,h,k,j,q
g,j,t,k,o,j,e,q,a,n
g,o,n,j,s,j,k,k,f,c
q,k,h,g,r,t,l,n,m,o
c,t,j,k,g,o,s,p,c,m
t,e,o,l,t,h,g,h,l,p
p,h,b,m,f,c,f,q,t,m
t,l,n,f,n,a,r,b,q,i
l,q,n,a,p,d,h,n,n,k
g,s,e,e,n,j,o,p,m,t
g,h,c,l,j,m,k,q,k,h
j,l,g,a,o,r,k,m,k,b
j,n,h,c,i,d,a,d,a,f
m,j,l,d,q,s,e,n,d,g
o,p,j,s,r,l,b,p,j,o
m,p,t,r,l,h,h,e,q,b
m,c,c,t,l,a,e,t,g,c
j,l,e,j,n,e,n,k,l,q
b,f,d,f,r,h,p,o,m,k
g,r,n,n,j,p,r,b,h,i
b,f,e,g,h,p,h,j,b,q
f,t,j,s,a,r,o,p,l,q
g,b,e,n,s,j,j,o,t,m
d,e,d,q,o,c,s,q,e,h
e,h,c,t,n,o,g,r,n,p
j,j,n,n,o,s,h,b,i,q
k,p,c,m,a,e,f,o,p,r
n,n,d,n,c,r,g,g,f,n
e,n,h,a,o,p,h,d,n,k
e,a,q,f,d,b,a,l,p,f
p,h,c,q,k,h,d,r,p,c
o,d,q,n,n,k,a,p,f,d
k,b,c,q,c,g,l,r,o,p
j,q,t,k,o,j,e,q,b,n
s,i,j,l,m,p,n,c,e,k
k,l,t,b,p,a,g,l,j,s
e,q,m,r,q,r,g,n,d,r
d,a,p,q,n,h,m,o,c,r
t,m,a,b,c,i,q,o,k,j
k,j,f,j,s,e,r,c,o,k
k,j,c,k,l,i,i,j,r,a
h,f,f,b,k,p,c,i,k,l
l,n,c,q,g,o,d,t,a,s
s,b,g,m,q,f,e,g,r,h
o,b,i,g,n,s,l,m,e,k
p,r,b,d,e,p,a,q,i,o
r,s,o,d,r,p,c,p,c,l
b,f,l,n,q,g,e,f,e,c
o,f,f,l,r,k,l,c,a,t
q,j,k,n,q,o,c,r,t,f
a,i,b,l,l,m,p,a,n,b
i,g,l,m,a,e,f,h,d,r
q,m,s,t,t,q,p,q,r,k
f,c,g,c,j,b,a,b,b,d
c,s,n,a,l,d,n,n,h,s
r,h,c,r,t,h,t,f,k,m
m,c,o,a,c,t,k,b,d,t
o,a,f,g,p,s,k,c,m,t
p,g,d,b,l,q,i,r,b,a
f,d,m,p,b,d,a,o,e,k
d,b,a,d,k,r,g,n,s,r
c,a,q,r,g,h,o,s,p,p
j,d,a,d,c,d,h,j,c,b
f,d,n,j,p,q,k,b,b,q
c,k,f,m,a,d,t,b,j,r
d,t,p,f,j,h,m,f,h,r
a,p,t,j,n,g,o,i,e,d
a,h,e,n,c,e,p,o,j,i
b,n,m,a,j,e,g,l,n,e
o,f,m,d,q,b,d,a,p,c
o,f,l,n,q,p,a,e,e,a
