var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
f,f,f,j,c,a,i,i,e,h,j,g,j,c,c
c,h,b,i,c,j,c,f,g,h,h,b,a,j,e
b,f,j,g,g,j,e,h,g,d,i,c,i,b,h
a,f,d,j,h,c,i,d,e,j,b,b,a,a,j
a,e,e,e,g,j,j,j,i,a,a,d,e,e,g
h,g,j,c,h,i,a,d,a,g,g,e,g,a,c
f,e,a,h,a,f,c,c,c,g,g,e,c,b,e
b,j,b,c,h,d,f,a,j,g,b,b,d,f,d
e,j,j,b,j,a,j,h,a,d,g,e,b,a,f
g,d,c,j,i,i,b,c,e,h,d,f,a,g,a
c,h,i,j,i,g,h,a,h,d,c,f,i,f,g
i,f,d,b,g,a,d,h,e,b,b,b,f,e,f
f,f,j,f,j,a,e,c,c,d,e,f,g,d,e
g,j,c,d,d,i,d,c,c,i,b,f,a,i,c
j,a,a,g,g,c,g,c,i,a,e,i,e,d,i
g,a,b,b,c,j,g,h,a,b,f,e,a,g,a
d,a,f,f,f,h,e,b,g,h,a,c,e,e,a
g,i,b,e,a,c,e,g,j,a,h,j,g,f,c
b,h,i,h,f,c,g,g,d,c,i,c,b,h,i
c,i,i,e,e,b,a,b,h,d,g,i,i,j,a
a,j,a,b,h,g,b,i,d,c,h,b,j,c,d
h,h,e,j,f,d,g,d,b,j,f,d,c,c,c
e,e,e,h,g,g,e,h,d,f,b,j,f,c,i
h,h,i,h,b,g,f,j,e,j,f,d,c,f,f
g,b,b,g,b,j,c,h,c,h,f,c,j,f,c
h,g,a,b,a,d,d,j,d,e,j,c,h,c,f
g,b,f,b,b,c,i,f,h,b,j,c,g,a,g
f,j,i,f,h,e,g,g,j,j,h,i,b,f,b
e,f,j,e,f,g,i,e,h,a,d,e,g,d,e
e,e,f,j,d,d,i,a,b,a,b,h,j,d,h
c,c,j,d,a,c,e,f,b,h,b,c,d,b,d
d,h,h,h,h,j,d,d,c,d,f,c,j,h,f
b,e,i,e,g,e,j,h,a,i,d,c,j,f,f
j,f,g,j,i,a,d,g,c,g,c,f,i,c,g
a,a,c,b,a,i,c,h,i,j,b,a,g,g,a
e,f,i,h,f,c,h,g,h,h,e,i,h,d,g
f,f,c,d,c,d,g,e,i,f,j,h,d,h,g
g,f,b,e,a,g,f,c,b,a,g,i,f,j,h
c,j,j,d,j,e,a,b,a,i,g,f,b,f,e
i,g,d,b,d,g,h,e,a,a,e,h,b,a,j
c,d,e,d,g,g,h,b,c,d,j,b,b,h,j
a,e,a,j,f,h,g,j,j,e,h,j,c,j,j
h,g,d,d,h,e,i,d,i,e,j,c,e,c,c
e,a,a,h,f,f,b,j,d,b,h,d,a,a,a
d,g,h,e,e,i,a,i,d,i,d,j,f,e,e
i,g,h,e,a,g,a,f,i,a,g,h,e,e,g
e,c,h,f,h,j,i,b,f,h,f,d,e,d,i
j,b,f,f,j,f,c,g,b,f,i,e,e,h,j
a,d,b,d,c,f,c,a,j,g,j,b,c,d,b
i,d,d,h,g,h,b,f,g,i,h,e,j,b,f
b,f,h,h,b,i,e,i,b,c,d,f,g,b,i
c,e,a,i,e,i,f,a,i,b,a,f,a,b,b
h,j,a,i,c,g,e,j,c,a,b,a,i,h,h
h,b,c,j,j,c,g,h,j,d,a,c,b,c,e
j,c,h,f,g,b,b,c,c,i,c,g,g,b,b
d,b,e,h,e,j,i,e,e,h,j,e,i,e,e
i,g,g,h,d,g,d,b,f,b,h,a,h,j,f
h,c,j,f,h,h,i,g,g,i,g,e,h,b,i
b,e,e,e,h,d,j,c,i,d,b,i,j,j,i
e,c,c,f,c,a,c,g,d,i,g,b,d,g,i
c,b,j,d,d,j,d,a,b,b,g,f,i,h,i
j,b,d,j,e,a,b,b,h,a,f,a,b,h,g
b,g,i,b,i,e,e,i,c,f,a,h,j,d,f
f,b,a,d,b,g,f,j,h,j,b,f,i,a,d
c,c,c,j,e,c,f,g,h,b,i,i,a,a,a
b,d,d,h,g,e,j,g,h,i,i,b,b,j,g
a,i,d,h,b,j,d,i,c,a,g,c,d,f,a
c,b,h,d,f,i,i,j,d,e,b,e,a,i,e
i,i,a,a,g,b,d,j,e,c,c,e,g,d,h
i,b,g,e,h,e,j,b,a,g,g,f,j,f,c
b,j,b,j,d,f,a,e,e,j,d,h,c,g,h
h,e,b,c,h,d,f,d,f,f,j,a,f,c,f
c,j,i,i,j,j,f,j,e,i,g,h,g,g,e
f,f,f,g,j,a,g,h,g,i,a,e,b,j,g
j,h,i,b,f,e,e,c,a,d,e,e,c,d,d
f,a,g,j,g,b,d,i,h,e,j,f,i,j,j
g,d,i,e,b,c,i,b,j,i,b,g,d,j,i
i,b,a,g,c,c,c,e,f,d,i,i,g,h,i
j,d,d,c,i,i,i,g,b,d,c,b,a,f,j
e,b,b,f,j,h,c,d,f,d,a,e,g,f,e
f,d,a,j,e,d,b,c,e,i,g,b,d,h,c
i,e,i,a,e,f,h,d,j,f,g,f,c,f,g
c,a,h,i,i,e,i,e,c,a,h,c,e,d,g
a,g,j,b,h,f,h,h,c,e,e,h,h,e,i
a,f,b,e,g,c,d,f,j,g,f,g,b,a,h
h,c,c,i,c,b,j,h,h,b,c,d,e,c,e
i,f,e,h,h,j,j,g,f,j,e,b,e,h,g
e,a,j,j,g,h,f,c,j,f,d,e,a,j,i
e,f,e,d,h,c,i,h,f,d,b,i,c,i,i
c,j,i,b,d,c,f,b,g,i,f,c,i,d,d
c,d,i,e,h,d,c,i,d,g,d,j,d,c,i
f,g,j,j,c,c,i,i,b,j,d,j,a,e,g
i,b,b,h,g,f,f,c,i,h,j,a,e,j,d
c,h,d,d,i,d,b,a,c,j,g,i,i,j,e
d,d,d,f,c,j,e,e,b,h,h,i,j,c,a
g,b,f,i,a,b,h,b,h,g,e,h,j,f,d
f,f,a,g,a,a,j,j,e,c,h,f,i,g,j
g,a,j,f,f,e,h,c,a,g,e,a,c,f,b
d,i,i,d,g,a,a,h,b,c,f,a,d,h,j
c,a,d,e,a,a,f,e,e,a,g,b,i,h,a
i,g,a,b,d,a,h,h,j,g,f,f,h,i,a
f,c,b,h,b,a,f,h,c,g,e,g,d,c,h
c,h,f,d,i,d,d,f,c,e,h,j,i,f,i
a,j,f,h,j,d,c,j,a,i,h,c,g,h,g
f,c,i,f,e,b,g,g,c,e,h,i,j,h,h
j,f,c,j,c,d,c,i,f,b,j,b,f,j,i
b,f,f,j,i,c,h,i,c,i,g,h,d,h,g
h,f,f,j,i,h,i,g,c,h,f,e,h,g,j
j,c,e,d,a,b,c,j,f,e,b,b,j,d,e
g,j,a,g,d,j,j,b,b,j,a,e,j,h,d
c,e,h,b,j,i,h,g,a,f,g,g,g,c,h
h,i,a,h,b,a,e,b,b,d,g,d,j,a,g
e,g,g,b,a,g,g,j,a,b,j,d,a,j,g
e,d,h,a,g,j,j,h,d,a,a,g,i,h,f
g,i,i,h,j,i,c,c,g,g,h,h,c,c,c
e,e,h,j,h,h,h,j,h,b,a,g,g,i,g
c,i,i,d,e,j,j,a,a,d,j,d,a,a,a
h,f,g,g,e,i,i,e,g,d,e,c,h,b,h
h,i,h,c,g,b,a,j,c,j,a,b,e,h,a
e,g,a,e,a,c,c,d,h,g,h,j,c,f,a
f,h,a,h,d,a,c,d,b,h,a,e,j,b,j
i,e,a,b,g,b,j,e,a,h,c,h,c,e,a
d,j,e,c,i,g,i,e,a,a,g,b,h,g,d
f,g,a,g,h,i,g,h,a,a,i,j,b,j,b
j,e,i,c,g,c,g,j,d,a,e,d,d,d,b
f,f,f,b,a,c,i,e,g,i,b,g,j,c,e
d,a,c,h,f,c,j,j,e,e,i,g,e,b,a
c,d,h,e,a,g,g,f,i,e,j,e,e,f,g
i,g,b,d,d,a,h,d,b,i,e,g,b,i,f
a,d,i,d,f,e,g,e,a,g,j,b,a,a,i
h,f,a,f,e,d,j,g,e,j,i,g,h,b,j
b,e,c,h,j,f,b,d,d,e,a,e,b,j,h
h,b,i,b,b,h,d,j,g,c,d,j,d,c,c
e,d,d,e,a,a,e,i,c,b,j,i,h,h,c
i,f,d,a,i,d,b,g,j,i,a,g,d,f,j
e,f,j,b,f,b,h,i,a,g,e,a,b,h,d
i,f,d,d,e,d,j,h,a,a,d,b,h,h,g
j,g,f,b,i,h,a,g,e,a,e,f,f,d,g
e,g,i,g,h,h,g,g,f,b,c,e,g,b,c
d,e,c,a,i,i,j,e,j,i,f,e,d,h,i
j,j,d,b,h,i,g,d,a,d,e,g,b,c,j
b,d,g,h,g,c,h,f,e,c,c,f,g,d,j
d,e,a,e,c,c,c,a,h,j,i,i,c,d,d
f,j,f,d,b,f,b,e,b,h,e,h,g,b,e
b,i,h,f,j,g,c,d,g,f,g,h,g,g,h
a,g,e,h,i,f,j,b,e,d,j,a,e,b,d
c,b,g,j,f,j,f,b,b,a,i,e,i,h,c
d,j,b,c,a,d,j,e,a,d,i,f,h,h,a
c,h,i,f,e,j,b,c,c,b,a,h,b,f,g
a,j,c,b,e,g,g,i,c,d,i,h,i,f,g
j,b,e,f,d,a,i,b,i,i,a,g,j,e,g
g,i,h,h,g,c,j,a,d,h,d,f,a,g,a
d,b,g,g,h,e,g,h,i,c,i,d,i,c,h
j,f,e,e,e,h,a,f,f,c,d,e,a,d,b
b,b,g,a,g,g,j,j,d,h,j,e,g,c,a
i,i,b,j,f,g,g,c,c,e,g,g,g,a,a
e,i,d,f,b,e,a,d,c,h,i,j,j,h,a
f,f,j,e,j,e,h,i,d,d,j,c,d,e,e
a,e,e,g,b,c,c,c,a,f,a,i,c,j,a
d,a,g,f,i,f,g,h,e,b,j,d,a,e,a
f,g,d,a,d,h,b,d,d,h,c,e,j,e,e
d,e,e,a,a,c,g,d,c,c,h,d,g,a,a
i,h,a,d,h,e,e,e,j,j,g,a,c,c,j
j,i,e,b,a,d,j,c,b,d,b,i,i,e,c
j,j,d,g,d,f,a,g,h,f,j,c,a,a,c
d,i,d,b,d,a,i,e,a,c,b,b,h,b,h
g,a,c,d,j,e,g,a,f,i,g,b,c,f,c
