var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
c,a,f,b,c,f,g,h,d,e,b,j,f,j,f,b,a,h,j,f
b,d,g,f,j,i,g,h,j,g,d,c,h,f,f,b,f,c,a,f
j,i,g,b,h,a,b,b,i,g,d,b,g,c,h,b,g,g,d,b
e,c,b,c,j,b,j,h,i,a,a,a,f,g,d,j,h,i,h,f
i,c,e,g,d,h,h,f,j,g,b,a,e,c,a,d,e,b,a,h
e,e,j,b,e,j,c,g,b,d,d,a,g,j,b,c,h,c,b,g
c,h,i,j,h,i,f,d,f,h,a,d,e,h,i,b,f,b,a,a
a,e,d,h,d,c,e,g,e,f,f,e,i,g,j,d,e,f,g,i
h,a,c,d,a,d,b,j,e,h,a,e,j,d,f,h,i,d,c,b
e,h,a,e,g,h,d,b,b,f,h,e,d,e,f,d,i,f,h,b
j,a,f,a,e,b,i,i,i,e,c,c,h,i,b,h,j,g,i,g
d,a,b,h,e,c,h,c,h,j,d,d,f,i,d,a,b,e,i,f
a,d,j,h,h,a,h,g,d,c,e,g,f,i,h,d,h,h,c,i
f,d,d,b,b,d,b,a,i,i,f,g,j,e,b,h,f,g,d,c
b,c,d,i,e,a,a,i,d,j,h,h,a,g,b,d,c,a,e,a
e,j,d,g,c,j,c,d,e,j,d,a,a,b,j,b,g,b,j,j
d,c,a,c,f,e,f,d,f,e,a,j,a,a,a,a,a,b,f,i
e,h,a,j,c,b,d,j,j,a,f,i,i,g,j,f,g,d,g,h
d,a,d,a,a,e,d,j,g,b,d,b,h,f,j,c,h,d,a,f
e,j,c,g,h,h,a,d,c,h,c,b,i,a,b,b,h,e,i,f
h,h,c,b,h,g,c,i,j,h,j,f,j,g,d,g,d,a,e,a
g,h,g,g,c,g,h,d,g,i,i,f,h,e,c,e,d,h,j,b
h,b,d,a,h,e,c,i,f,c,f,j,e,b,h,c,c,g,d,d
c,j,h,h,c,c,g,b,i,b,b,i,h,e,a,i,d,h,a,f
c,c,e,e,g,f,a,c,a,d,f,c,b,d,g,a,a,h,h,d
b,f,j,d,h,h,j,h,a,g,i,d,g,c,j,a,h,d,a,i
f,c,a,g,i,c,c,i,e,b,c,d,b,f,i,i,c,j,a,f
f,i,g,a,f,j,g,e,e,f,g,e,j,j,d,c,f,c,b,g
c,f,f,e,a,b,h,j,i,e,c,j,f,c,c,f,h,i,c,j
f,h,h,b,e,i,g,c,a,e,b,h,e,a,j,g,g,e,c,j
j,a,g,h,j,c,e,a,b,c,a,i,c,f,a,h,j,j,h,d
g,f,d,c,c,g,a,j,h,g,d,b,h,f,g,c,c,e,e,d
h,c,b,a,j,b,i,i,d,a,b,d,e,h,c,f,i,a,h,g
c,i,a,i,b,c,b,i,a,d,e,i,f,b,d,j,e,h,e,f
c,h,d,g,d,d,d,e,e,j,e,e,a,e,f,h,i,d,b,c
i,b,i,i,f,d,f,d,h,g,f,h,g,b,g,b,g,c,g,e
b,f,f,a,d,c,f,a,c,j,j,e,g,g,i,b,g,f,i,i
i,g,i,c,h,g,h,a,g,f,a,i,g,i,f,h,a,c,f,e
