var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
k,o,i,r,r,t,r,r,k,r,p,p,r,h,f,k,g,l,r,h
d,b,g,k,g,i,l,r,h,g,a,q,t,m,k,q,j,o,f,i
m,a,e,p,b,m,q,r,n,r,k,d,k,o,f,m,q,m,s,j
o,e,j,i,k,g,e,s,p,q,f,h,g,r,l,m,g,l,e,q
a,n,c,k,c,j,l,r,s,n,s,j,j,f,t,f,d,i,h,f
h,m,o,n,e,s,l,j,q,n,b,s,p,j,p,i,i,m,p,g
m,o,j,d,i,n,r,o,l,k,t,j,k,o,e,l,h,j,b,d
i,i,k,r,a,j,f,l,r,c,f,b,d,d,b,i,a,r,c,g
o,l,j,b,h,o,c,f,n,p,i,d,j,p,h,h,r,t,s,n
h,g,n,n,a,k,n,e,k,m,o,n,j,f,c,n,o,h,o,j
e,j,a,a,t,c,m,m,h,b,a,s,e,s,g,t,g,p,p,p
i,s,k,h,r,p,t,h,t,p,a,j,b,k,s,p,i,k,h,p
l,f,c,k,o,g,g,k,r,k,q,o,i,g,o,b,k,l,n,j
b,j,s,g,n,g,l,k,o,o,k,s,r,o,j,a,o,s,h,m
k,t,a,a,r,i,f,c,b,p,e,q,e,t,r,f,r,b,r,i
t,d,r,l,s,d,p,t,h,h,t,g,t,k,s,j,q,b,e,f
t,k,j,p,f,e,p,b,l,h,f,c,p,r,e,l,b,a,h,s
t,i,e,g,h,n,k,f,k,h,q,f,b,d,i,k,b,q,s,q
m,c,p,s,j,s,o,a,p,j,i,m,a,c,b,f,p,p,b,m
m,j,c,l,c,g,q,i,l,n,b,p,n,e,o,e,d,r,r,b
a,d,f,a,l,c,e,e,r,m,p,q,d,m,n,a,t,t,s,m
c,t,e,p,l,d,e,j,q,p,g,l,p,n,e,o,p,p,b,h
o,j,j,i,s,g,f,a,i,r,o,m,g,l,i,s,a,j,b,a
a,k,m,d,t,g,i,k,m,p,q,k,e,q,q,f,t,p,s,l
a,l,n,c,k,r,f,i,q,t,p,l,h,p,h,s,o,c,r,k
h,r,m,f,i,j,e,j,j,c,t,b,k,m,m,i,l,m,e,d
p,f,i,s,k,j,s,k,k,d,j,s,t,b,k,j,e,d,t,p
i,b,q,o,a,a,k,l,t,g,b,j,n,e,g,b,e,s,r,o
c,f,r,n,j,j,k,g,t,o,l,i,o,t,i,s,j,k,k,r
g,l,r,s,h,l,q,n,b,s,e,r,s,i,f,c,h,i,m,m
s,s,o,p,d,o,f,d,f,p,a,i,f,b,b,e,c,f,d,a
k,f,j,m,i,n,e,n,f,p,f,l,e,c,m,q,a,p,t,b
j,i,f,m,m,h,g,d,a,n,c,r,m,f,t,i,h,j,k,b
s,q,s,f,c,a,p,p,s,t,p,t,q,g,p,j,e,l,d,p
t,h,d,h,c,f,i,s,p,h,t,p,c,g,k,a,q,a,r,q
p,o,f,p,e,l,q,j,q,l,o,h,a,j,p,i,f,m,i,a
e,m,d,o,t,q,r,g,o,a,a,q,b,s,b,l,b,m,p,f
c,p,e,q,f,a,p,d,b,k,m,r,k,c,o,s,g,m,h,p
a,m,m,p,j,c,b,c,e,k,p,k,e,n,h,p,i,s,k,c
h,e,k,b,c,s,e,g,b,i,o,j,j,b,d,t,t,n,a,b
b,e,f,a,p,c,f,o,a,c,g,s,d,d,o,t,k,h,f,t
n,r,i,j,g,p,r,j,o,g,f,i,i,r,c,t,m,j,s,d
