type,rows,cols,n,duration,epochs,batch_size
ctgan,200000,15,1,258.49687600135803,10,500.0
ctgan,200000,15,1,252.00785779953003,10,1000.0
ctgan,200000,15,1,229.81538105010986,10,5000.0
ctgan,200000,15,1,258.21407103538513,10,10000.0
ctgan,200000,15,1,428.0919609069824,20,500.0
ctgan,200000,15,1,358.52839970588684,20,1000.0
ctgan,200000,15,1,291.78279399871826,20,5000.0
ctgan,200000,15,1,281.64138102531433,20,10000.0
ctgan,200000,15,1,532.7214591503143,30,500.0
ctgan,200000,15,1,449.22107100486755,30,1000.0
ctgan,200000,15,1,363.408411026001,30,5000.0
ctgan,200000,15,1,351.46200585365295,30,10000.0
ctgan,200000,15,1,610.7670831680298,40,500.0
ctgan,200000,15,1,785.1002449989319,40,1000.0
ctgan,200000,15,1,736.5808029174805,40,5000.0
ctgan,200000,15,1,656.6992819309235,40,10000.0
ctgan,200000,15,1,1350.7790467739105,50,500.0
ctgan,200000,15,1,1001.2725780010223,50,1000.0
ctgan,200000,15,1,664.6711769104004,50,5000.0
ctgan,200000,15,1,626.3733110427856,50,10000.0
ctgan,200000,15,1,1677.459930896759,75,500.0
ctgan,200000,15,1,953.7380769252777,75,1000.0
ctgan,200000,15,1,696.1188991069794,75,5000.0
ctgan,200000,15,1,650.8230941295624,75,10000.0
ctgan,200000,15,1,1364.7665297985077,100,500.0
ctgan,200000,15,1,1194.8491010665894,100,1000.0
ctgan,200000,15,1,899.2741358280182,100,5000.0
ctgan,200000,15,1,837.5136518478394,100,10000.0
