type,rows,cols,n,duration,epochs,batch_size
ctgan,50000,20,1,1171.0852627754211,10,500.0
ctgan,50000,20,1,688.9056832790375,10,1000.0
ctgan,50000,20,1,812.7766830921173,10,5000.0
ctgan,50000,20,1,816.0904710292816,10,10000.0
ctgan,50000,20,1,562.3085172176361,20,500.0
ctgan,50000,20,1,1016.5529887676239,20,1000.0
ctgan,50000,20,1,936.1822969913483,20,5000.0
ctgan,50000,20,1,507.83812189102173,20,10000.0
ctgan,50000,20,1,1011.5465841293335,30,500.0
ctgan,50000,20,1,862.5420558452606,30,1000.0
ctgan,50000,20,1,853.9439899921417,30,5000.0
ctgan,50000,20,1,755.351026058197,30,10000.0
ctgan,50000,20,1,749.2227699756622,40,500.0
ctgan,50000,20,1,552.0309541225433,40,1000.0
ctgan,50000,20,1,705.9223568439484,40,5000.0
ctgan,50000,20,1,813.7653639316559,40,10000.0
ctgan,50000,20,1,898.4024550914764,50,500.0
ctgan,50000,20,1,527.1853361129761,50,1000.0
ctgan,50000,20,1,543.6989941596985,50,5000.0
ctgan,50000,20,1,433.7050750255585,50,10000.0
ctgan,50000,20,1,802.2865328788757,75,500.0
ctgan,50000,20,1,907.5525648593903,75,1000.0
ctgan,50000,20,1,761.997750043869,75,5000.0
ctgan,50000,20,1,425.81841683387756,75,10000.0
ctgan,50000,20,1,770.0603082180023,100,500.0
ctgan,50000,20,1,774.3394069671631,100,1000.0
ctgan,50000,20,1,509.89395809173584,100,5000.0
ctgan,50000,20,1,369.56890511512756,100,10000.0
