type,rows,cols,n,duration,epochs,batch_size
ctgan,100000,10,1,227.6328730583191,10,500.0
ctgan,100000,10,1,754.2165148258209,10,1000.0
ctgan,100000,10,1,734.869551897049,10,5000.0
ctgan,100000,10,1,499.6834759712219,10,10000.0
ctgan,100000,10,1,703.9676969051361,20,500.0
ctgan,100000,10,1,815.9620809555054,20,1000.0
ctgan,100000,10,1,669.0015559196472,20,5000.0
ctgan,100000,10,1,731.9331939220428,20,10000.0
ctgan,100000,10,1,489.6098930835724,30,500.0
ctgan,100000,10,1,530.2928059101105,30,1000.0
ctgan,100000,10,1,628.2677021026611,30,5000.0
ctgan,100000,10,1,286.621386051178,30,10000.0
ctgan,100000,10,1,877.4101812839508,40,500.0
ctgan,100000,10,1,789.3387539386749,40,1000.0
ctgan,100000,10,1,912.0139801502228,40,5000.0
ctgan,100000,10,1,345.65853905677795,40,10000.0
ctgan,100000,10,1,769.2999219894409,50,500.0
ctgan,100000,10,1,692.1927177906036,50,1000.0
ctgan,100000,10,1,580.1462893486023,50,5000.0
ctgan,100000,10,1,673.2967920303345,50,10000.0
ctgan,100000,10,1,1342.9013760089874,75,500.0
ctgan,100000,10,1,843.2124359607697,75,1000.0
ctgan,100000,10,1,1023.6751751899719,75,5000.0
ctgan,100000,10,1,430.4169979095459,75,10000.0
ctgan,100000,10,1,1438.996094942093,100,500.0
ctgan,100000,10,1,1394.444519996643,100,1000.0
ctgan,100000,10,1,878.9175989627838,100,5000.0
ctgan,100000,10,1,543.9767773151398,100,10000.0
