var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
j,e,e,d,j,h,j,b,c,d
a,b,i,f,f,e,c,g,a,j
c,h,b,d,j,f,h,a,g,d
b,g,c,e,a,d,a,b,i,b
b,h,i,h,g,g,a,h,c,g
c,g,b,g,f,i,d,d,h,h
j,i,j,h,b,c,e,a,h,g
a,h,c,g,c,c,c,j,j,f
g,b,a,h,b,d,j,d,g,g
a,d,h,e,a,j,e,g,g,c
g,j,i,f,e,a,h,g,d,d
d,e,g,c,j,c,g,a,e,i
f,c,j,d,f,h,c,i,j,d
f,i,b,j,i,h,j,i,i,g
f,d,e,a,h,b,b,g,e,f
a,f,b,d,j,g,b,a,i,f
i,d,j,g,d,a,a,i,j,c
j,f,j,j,h,b,a,g,i,d
c,b,j,e,e,f,f,i,e,g
j,j,c,j,j,a,a,c,a,f
e,h,d,g,j,g,j,d,h,d
i,c,g,e,j,i,g,i,g,h
j,f,f,c,i,f,b,e,f,d
g,b,c,h,a,d,f,f,b,h
c,h,f,h,h,d,g,b,h,e
a,j,a,a,j,e,e,i,i,i
e,f,c,f,g,e,h,b,i,f
f,f,d,a,c,d,b,e,d,b
g,g,g,b,c,b,h,a,c,h
e,d,h,f,e,b,h,c,d,i
a,g,b,g,c,i,j,d,d,e
e,a,h,a,e,c,f,g,i,d
h,f,c,f,h,f,h,e,d,a
i,g,e,j,i,j,c,d,j,d
e,d,j,d,f,c,d,c,b,e
j,e,b,i,a,g,c,e,j,d
i,g,g,f,d,c,a,f,g,c
b,j,h,d,c,e,h,a,f,f
h,a,e,c,d,j,a,d,e,h
f,c,i,a,g,c,e,j,d,b
h,g,e,j,j,f,j,h,a,e
j,b,e,f,d,d,b,g,a,b
i,h,f,d,i,h,g,e,c,j
d,i,g,e,i,i,c,j,g,g
c,f,d,j,a,j,j,e,e,i
j,d,a,e,f,f,b,j,b,i
g,i,c,j,e,b,i,d,i,b
d,c,g,c,h,c,f,i,b,a
b,h,b,j,e,f,h,b,b,f
j,i,e,h,c,f,a,b,a,b
h,i,a,j,b,h,e,d,d,e
b,a,i,e,e,d,d,d,h,j
a,j,i,i,c,i,i,c,b,e
d,g,b,b,a,f,b,i,i,b
i,h,j,i,i,h,d,g,c,h
g,h,g,i,a,a,i,h,c,f
f,f,b,j,j,b,a,d,i,j
j,h,b,j,f,g,j,j,f,b
f,g,j,i,a,h,i,h,e,a
j,g,a,c,d,e,a,d,h,b
h,h,f,f,j,b,f,j,b,i
c,i,a,d,i,j,f,f,h,h
e,b,a,b,i,b,i,e,j,f
f,i,d,b,j,d,g,a,b,a
b,h,b,d,b,f,e,c,a,g
a,b,j,j,a,d,f,d,d,i
b,j,g,g,b,d,g,f,a,i
c,d,j,d,g,g,i,g,d,f
a,b,b,c,d,a,j,b,a,f
g,f,j,i,d,g,c,d,e,c
a,j,g,g,i,i,b,c,d,a
h,d,h,a,d,f,i,b,d,d
f,a,i,b,f,f,h,b,i,c
f,a,h,g,h,j,h,g,h,c
d,h,b,e,i,h,j,j,f,g
a,a,h,f,j,f,b,c,i,h
h,d,i,g,f,h,i,h,h,e
h,j,c,b,e,j,e,i,c,i
a,j,j,g,e,g,b,i,c,b
d,i,b,a,h,h,i,g,c,h
b,j,b,h,i,j,f,c,c,f
c,f,h,a,a,f,g,a,b,a
b,f,d,j,i,b,j,j,g,d
d,b,c,e,g,h,h,f,h,b
d,d,h,g,c,c,c,i,d,i
f,g,a,g,d,d,d,c,j,e
i,f,a,j,g,c,b,c,f,c
c,g,b,j,i,e,a,g,a,f
