var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
f,k,b,d,g,f,e,l,b,f,a,d,i,j,o,o,n,b,j,j
e,e,e,f,f,m,k,h,k,d,o,d,f,m,g,b,i,a,l,c
k,o,a,m,e,j,h,b,l,d,g,i,n,a,g,f,n,a,h,g
d,a,f,o,g,f,j,n,h,b,l,d,f,l,g,j,a,j,h,l
d,i,b,g,b,n,g,k,i,c,f,f,a,a,i,h,m,j,l,e
k,d,a,e,f,j,a,b,c,k,g,k,e,d,d,e,i,k,g,g
m,c,c,k,i,h,e,n,j,f,o,h,n,c,j,n,m,d,e,i
a,e,j,f,o,c,b,c,b,d,o,i,k,a,j,c,e,j,m,g
g,c,d,n,h,e,h,k,b,d,m,j,k,a,b,g,j,l,b,j
k,f,k,e,j,f,a,f,h,b,c,f,d,n,i,b,j,f,h,m
m,b,i,m,l,o,e,o,d,m,c,e,i,l,m,b,e,k,j,f
b,j,o,n,o,k,a,f,c,b,h,e,b,k,d,n,h,e,j,c
n,h,m,m,g,b,f,k,o,n,l,m,h,d,b,f,d,m,e,j
i,d,n,b,b,a,n,e,l,f,f,h,f,m,i,k,n,n,n,l
e,b,f,f,b,b,n,l,h,b,l,i,o,d,d,b,e,i,e,m
o,l,e,i,d,c,h,e,a,g,n,a,k,k,j,d,g,o,o,l
e,m,a,f,h,a,c,i,a,g,h,m,l,a,j,a,m,d,i,j
b,i,m,d,o,g,f,g,b,h,n,n,b,g,e,o,c,b,k,o
n,a,o,j,m,a,h,m,i,h,o,m,a,o,b,e,b,b,g,f
h,b,n,g,j,m,n,f,j,j,h,i,h,l,n,c,a,d,n,g
i,d,h,d,h,h,j,n,h,a,n,g,k,f,b,l,n,m,h,j
g,a,a,a,l,o,o,h,l,l,i,c,b,d,h,m,a,f,l,d
o,h,g,n,g,f,n,n,b,k,h,d,f,k,n,e,o,h,g,e
n,d,a,k,i,o,a,l,m,f,j,g,f,o,i,e,n,b,o,a
b,n,d,e,c,f,e,k,c,i,l,i,h,d,i,k,f,h,l,m
i,l,c,b,i,d,k,b,c,c,n,k,j,h,i,d,d,g,l,e
n,i,a,g,a,a,j,i,b,i,e,m,o,i,o,k,a,i,k,f
c,c,a,n,a,h,n,h,i,n,c,j,c,a,n,i,m,d,o,f
e,m,j,c,j,l,a,m,h,c,c,e,j,b,g,l,c,g,l,a
e,n,f,n,k,h,b,k,m,e,l,c,k,n,g,i,n,c,e,o
n,e,j,a,h,a,i,m,e,i,c,l,a,i,i,k,b,g,b,m
i,h,g,f,j,d,n,g,n,f,i,a,f,n,g,i,g,f,o,g
n,o,m,b,n,o,n,b,o,h,g,a,k,c,e,c,m,c,f,l
