var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
f,j,j,b,f,b,c,e,j,g,g,g,j,e,d
h,e,d,i,h,h,a,a,e,e,f,f,g,h,g
a,j,g,i,e,a,g,g,f,j,c,j,a,c,h
c,f,i,f,e,a,g,g,g,f,h,c,f,b,i
c,h,b,j,g,h,b,e,a,d,d,b,e,b,j
h,a,b,i,a,h,g,i,c,g,f,f,c,i,f
a,i,a,b,h,d,f,g,g,j,e,d,a,e,g
a,b,d,g,f,e,e,g,h,b,c,h,d,a,b
c,f,c,g,e,h,i,a,i,e,f,i,b,a,i
i,d,j,c,a,f,e,h,b,j,d,g,g,f,a
i,c,c,b,e,f,f,a,i,h,j,h,c,c,f
j,g,a,i,i,b,d,a,a,c,b,c,e,i,a
a,i,h,c,j,d,d,d,h,c,g,h,h,h,f
f,a,j,d,e,b,g,c,a,g,e,c,a,f,c
b,h,e,h,e,c,j,g,e,a,i,h,g,j,g
h,h,a,h,j,e,a,i,c,c,f,j,e,e,a
j,c,f,g,e,f,c,h,g,b,e,a,g,j,h
e,d,f,a,g,a,j,i,c,i,i,b,g,i,j
d,c,b,f,d,b,c,f,c,c,e,c,h,a,a
i,i,c,d,h,i,b,d,c,h,b,e,i,d,j
g,j,d,j,f,g,d,f,c,c,a,e,e,h,b
g,e,e,f,c,i,h,j,a,a,c,f,i,e,e
a,h,g,b,h,c,c,b,c,g,h,d,d,d,j
d,i,g,c,j,j,h,i,e,e,f,e,b,f,e
c,f,j,g,c,e,i,h,h,a,j,h,f,a,c
c,j,h,j,a,h,c,f,d,f,a,e,h,i,b
g,f,e,h,e,j,h,a,g,b,c,h,j,h,c
h,h,i,e,d,f,b,h,h,i,i,e,c,e,b
h,f,i,f,c,b,f,d,d,c,f,d,f,b,d
f,g,a,b,d,b,c,e,b,e,g,d,g,b,j
e,g,d,f,d,a,g,i,g,c,c,e,d,g,g
a,c,f,i,e,i,c,f,g,f,i,h,d,f,j
c,b,f,d,c,g,e,b,j,g,e,e,b,j,g
a,i,a,h,g,f,i,f,d,c,h,c,e,i,d
h,b,f,g,g,j,i,f,f,j,j,j,j,g,g
h,b,j,f,i,e,e,j,b,e,c,i,j,i,h
b,g,i,b,d,d,c,d,f,i,h,j,j,i,a
j,i,d,b,d,a,b,f,h,h,j,h,j,g,a
f,j,h,e,i,e,a,c,h,e,a,c,f,b,d
i,i,h,i,c,i,i,i,g,c,d,c,e,j,j
b,d,i,h,j,c,a,e,g,d,h,a,e,g,h
b,c,i,d,a,i,b,a,e,d,j,a,c,i,a
d,f,j,g,f,e,a,f,e,e,c,d,d,d,a
b,j,a,d,i,j,j,g,b,e,j,g,f,i,g
c,i,a,c,h,i,f,a,f,c,f,j,f,d,g
e,c,d,a,j,c,c,j,e,h,c,f,c,e,g
d,a,e,b,j,c,b,a,b,g,g,j,h,h,e
g,a,i,i,c,g,g,g,f,g,e,a,i,i,f
j,i,d,h,i,g,c,b,d,b,i,f,a,e,g
j,g,a,f,g,f,h,i,a,i,i,a,c,d,j
b,b,c,e,c,j,a,d,h,f,b,b,a,f,h
h,a,e,i,d,f,e,h,f,j,e,c,b,c,h
i,b,f,h,e,f,j,d,b,e,f,c,g,d,c
j,a,j,i,d,j,f,g,j,a,g,a,b,j,h
a,i,b,b,d,i,b,b,c,i,h,a,g,h,j
c,f,d,g,h,a,e,h,i,j,d,e,f,c,f
d,c,c,a,b,d,h,b,a,i,j,e,j,e,g
b,j,g,j,c,d,f,e,d,a,a,e,i,f,h
d,j,d,d,e,c,j,b,a,c,d,d,d,d,g
b,i,f,g,j,b,a,b,g,j,g,i,a,f,a
f,i,i,h,h,a,f,d,f,e,b,g,b,c,c
g,j,c,c,j,d,d,h,f,g,f,e,i,a,d
c,b,f,b,c,i,a,e,a,i,b,d,f,h,a
i,d,g,i,b,j,d,b,c,a,j,i,d,a,f
i,b,e,f,i,f,f,f,f,a,j,e,g,c,g
h,a,e,h,h,j,g,i,d,b,h,i,a,e,h
g,h,a,h,a,d,h,i,h,f,h,d,i,c,f
a,c,i,b,a,e,d,b,d,a,i,g,a,h,b
h,i,e,f,b,a,d,g,j,a,b,e,e,j,i
g,a,h,c,b,e,j,b,j,a,d,g,b,c,g
a,f,h,c,h,d,j,h,b,h,b,e,h,g,c
f,e,i,b,h,j,j,e,j,c,d,a,h,d,h
i,i,i,e,j,f,f,e,d,a,c,c,b,g,e
c,j,e,g,b,e,f,j,d,h,j,g,g,g,j
f,i,h,b,h,i,b,c,h,a,a,i,i,b,d
i,e,b,a,g,b,f,j,c,a,a,a,e,e,b
c,b,a,j,f,f,i,j,g,j,h,g,j,a,f
c,g,e,e,e,d,c,h,c,h,h,f,e,j,i
c,c,c,e,f,e,c,e,h,c,i,i,j,b,d
i,j,b,a,c,b,f,g,h,c,j,a,c,j,h
c,f,e,e,i,b,e,c,i,j,g,c,e,j,b
e,c,i,i,e,g,i,i,f,a,h,i,f,c,b
b,g,g,i,h,f,h,i,f,b,b,g,h,i,h
d,h,i,c,b,j,i,e,e,d,d,a,d,e,a
