var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
b,l,c,h,b,e,g,c,h,i,n,k,b,d,g
i,m,a,o,d,b,c,k,l,a,f,n,l,f,h
m,n,b,n,f,l,h,i,d,e,d,d,g,l,o
o,j,b,m,k,l,a,i,i,l,l,m,d,j,f
d,e,i,j,n,b,j,i,f,k,b,g,g,k,a
m,g,h,h,l,e,k,l,m,f,a,n,k,o,c
n,i,j,c,n,o,j,k,c,m,n,b,g,g,j
e,a,d,g,g,f,j,m,a,b,k,g,a,k,c
j,b,n,g,d,j,b,k,b,e,c,f,k,e,l
f,g,j,k,a,o,d,k,g,d,e,k,g,d,m
c,k,j,d,j,b,g,k,f,m,h,e,h,d,e
h,f,a,n,e,d,h,h,k,n,h,i,f,g,h
l,i,b,j,j,g,g,h,h,g,k,n,f,i,m
b,h,f,i,f,h,c,o,j,f,a,a,d,j,i
c,k,k,i,h,m,c,f,c,m,o,i,n,h,b
m,j,j,d,a,b,e,n,c,h,a,m,l,k,c
h,n,m,d,e,b,o,j,a,b,d,d,i,a,i
b,b,f,n,l,f,o,d,a,a,o,h,g,m,h
l,i,c,c,o,n,a,h,k,e,m,l,a,c,h
a,k,n,g,j,c,k,k,g,i,c,g,c,h,n
b,o,k,b,n,f,i,f,e,g,e,l,i,d,g
m,a,e,h,e,e,f,b,b,h,h,i,b,h,e
n,d,m,k,h,b,b,k,j,j,j,k,c,i,n
f,k,k,k,l,a,g,j,l,o,n,h,a,b,b
f,d,d,g,j,c,h,l,k,o,f,a,g,j,c
n,j,a,l,i,b,c,o,l,l,h,m,c,g,b
a,l,m,l,d,o,n,g,b,a,m,l,i,c,o
j,c,m,c,f,o,a,d,m,d,f,k,f,a,d
a,d,h,o,i,k,n,c,m,g,j,k,i,l,i
g,b,h,g,m,d,h,e,i,d,f,e,e,b,e
n,b,l,g,e,j,g,d,f,i,h,c,k,d,j
g,g,j,l,n,h,e,f,m,e,b,a,e,n,b
o,i,k,n,g,i,g,l,m,o,g,n,k,g,h
l,i,d,i,a,e,l,b,b,f,d,e,m,a,i
o,a,c,b,h,i,g,n,m,l,f,i,c,d,a
f,g,i,k,m,b,h,e,i,m,h,o,h,d,j
l,e,i,i,h,b,d,i,j,m,g,o,d,e,b
c,m,m,g,n,h,l,b,k,b,o,l,m,d,j
c,a,k,j,g,a,l,n,n,j,h,i,o,l,l
e,l,b,f,a,b,b,n,m,n,j,n,i,c,d
c,o,a,b,h,l,k,e,i,f,n,h,g,n,g
j,h,d,d,l,j,h,b,e,l,n,d,h,o,i
l,l,d,f,i,l,l,l,f,i,k,i,c,d,k
g,j,i,c,o,e,e,i,o,f,h,k,m,a,l
e,l,i,c,i,o,o,b,e,m,h,o,h,d,c
m,f,j,j,c,m,n,m,m,m,n,i,m,b,c
a,a,i,b,a,o,d,l,j,m,n,f,g,d,i
j,h,m,b,m,i,j,e,c,b,h,e,i,i,k
g,d,f,i,i,l,c,l,d,c,m,j,b,c,e
j,o,n,g,h,e,i,c,i,h,l,d,b,m,d
l,o,i,m,e,f,j,m,j,e,g,o,g,l,l
b,k,n,e,l,f,l,j,k,i,k,k,g,b,i
c,i,e,b,k,j,b,f,n,h,a,g,d,b,n
i,i,f,h,n,l,l,c,g,e,n,i,i,e,h
l,m,g,g,n,e,g,c,d,d,o,a,d,e,g
j,a,k,b,l,m,h,d,l,n,f,i,o,b,l
m,n,e,m,o,o,n,b,l,b,n,h,e,b,n
k,a,i,a,o,l,j,o,f,n,h,k,l,e,f
g,n,k,f,c,o,n,j,i,m,i,d,e,g,d
h,d,i,f,l,l,e,k,l,m,g,b,d,b,d
j,c,a,o,c,a,i,h,d,e,h,j,d,l,i
f,i,d,f,b,h,e,f,b,f,k,i,m,m,a
