var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
l,e,l,c,o,c,c,a,h,n,e,l,c,l,o,l,l,b,j,n
g,h,k,b,o,c,k,e,m,i,k,f,o,g,g,h,d,h,a,c
l,n,o,b,n,l,e,m,f,i,e,h,l,b,j,j,d,b,i,a
h,j,m,i,n,c,d,o,n,c,c,b,i,e,b,b,h,d,d,m
o,b,j,e,j,c,g,k,b,i,j,m,e,k,i,n,k,n,m,c
a,b,j,e,k,i,h,d,c,k,n,l,e,a,l,n,n,d,g,i
b,d,m,a,b,d,c,h,c,m,j,c,h,c,b,i,n,a,a,d
h,c,k,f,g,b,j,k,l,b,k,c,i,g,h,d,b,i,g,f
h,m,e,m,e,m,e,m,b,a,e,c,k,k,g,h,n,o,a,n
e,h,n,g,m,h,n,l,n,b,l,k,a,a,c,e,l,d,h,g
a,d,b,f,d,j,g,d,h,f,f,o,c,j,o,f,l,k,f,o
i,j,l,e,e,j,o,l,d,i,n,g,h,h,d,d,f,o,g,g
f,l,k,i,g,f,d,b,k,o,e,i,m,n,d,l,f,c,c,h
f,j,g,b,a,g,f,i,c,n,i,m,f,n,c,h,a,n,l,m
b,a,d,k,j,m,h,c,o,a,d,n,a,i,k,l,j,c,c,e
b,a,e,j,o,m,m,a,d,f,h,a,c,a,m,b,e,j,b,d
l,a,n,n,b,h,j,a,c,h,d,n,g,d,a,h,d,m,c,d
f,d,l,h,e,e,d,m,n,o,k,i,o,j,b,c,l,m,a,i
e,h,m,n,a,k,i,i,n,f,j,k,o,f,e,c,o,f,h,e
b,c,m,b,h,f,k,b,b,d,i,b,j,j,g,n,a,e,g,b
n,m,b,h,o,b,o,d,d,i,b,l,j,a,d,n,a,a,m,k
n,c,h,l,i,d,j,i,n,m,c,n,b,o,n,m,a,k,b,f
e,k,f,i,j,n,d,a,l,k,a,k,o,h,o,n,j,n,o,c
d,k,d,a,d,m,m,j,h,g,c,d,d,l,k,g,f,i,d,d
f,j,n,h,c,d,f,f,j,c,a,d,f,k,a,l,j,n,e,f
j,c,e,i,b,n,b,k,d,g,m,h,o,l,i,i,n,b,n,g
h,i,j,b,k,c,m,h,e,n,h,c,c,a,a,g,j,m,e,k
i,i,k,e,f,o,n,c,b,j,m,o,a,k,a,d,e,d,m,d
n,l,c,j,e,e,f,j,c,a,d,a,l,h,j,l,h,i,g,h
k,l,d,i,d,a,e,a,o,a,h,i,g,o,k,a,o,k,f,m
