var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
j,h,a,m,e,q,b,m,o,h,t,f,b,b,b,o,k,a,c,s
s,n,g,c,l,p,q,d,a,o,g,q,f,f,o,i,o,j,n,o
m,f,c,o,c,n,q,k,a,c,e,d,r,a,m,h,l,f,k,l
l,f,m,b,b,s,r,d,l,s,g,l,q,r,d,i,k,t,l,p
b,j,o,s,l,s,r,r,s,s,f,j,p,t,b,o,i,r,c,j
l,e,s,d,r,d,l,c,e,e,t,i,l,k,h,n,m,r,d,l
i,o,o,r,d,g,h,h,t,n,p,n,m,d,c,n,i,c,n,a
n,o,s,s,g,o,g,l,r,k,d,n,s,q,f,f,r,c,n,g
q,l,d,l,g,q,m,t,s,f,r,c,h,o,n,k,t,m,b,d
g,r,o,k,c,t,l,h,d,o,c,o,k,q,s,j,h,d,s,k
h,q,g,k,b,j,n,a,r,r,l,k,a,a,o,o,p,k,g,i
a,g,p,q,g,i,a,s,g,j,l,n,h,e,c,j,k,q,a,i
e,o,i,c,o,t,t,e,j,i,k,m,e,j,q,s,l,b,i,m
q,m,f,l,q,o,l,j,b,k,q,b,c,s,i,s,s,d,i,c
i,a,p,s,c,e,b,i,h,a,b,c,m,j,e,r,b,e,j,s
r,h,o,i,d,n,g,d,s,n,c,e,d,n,t,f,b,d,b,h
d,e,k,c,i,r,m,l,j,n,c,h,k,p,o,g,a,l,i,h
j,k,r,g,h,f,t,c,i,l,o,o,l,q,l,i,q,t,m,l
j,f,h,c,e,h,m,a,d,p,b,n,t,q,f,l,p,c,a,q
f,l,i,m,f,o,j,q,t,g,q,j,e,l,j,c,r,e,e,s
n,i,k,j,e,j,t,r,i,c,j,p,r,c,l,b,t,o,m,b
a,t,p,n,k,j,m,p,b,e,h,d,l,f,f,d,p,a,t,c
j,g,a,i,f,d,j,t,q,k,o,j,j,q,c,a,j,p,n,a
h,j,i,t,m,j,d,s,n,s,c,d,l,p,g,n,p,p,r,f
q,b,d,h,f,q,b,e,m,k,f,c,k,s,o,r,c,a,a,i
q,j,l,r,e,b,o,k,g,l,s,e,s,n,q,h,m,f,r,o
o,n,g,r,a,m,e,i,o,c,p,t,m,q,j,i,d,n,r,o
i,c,b,o,o,r,f,o,c,o,r,q,o,l,o,r,s,n,s,q
r,n,o,r,p,a,i,o,d,m,m,l,s,h,c,k,k,k,j,a
h,l,g,e,q,s,f,p,n,a,g,h,e,b,f,p,i,b,s,t
g,o,t,c,q,l,n,d,s,l,d,e,s,s,o,e,f,h,n,k
l,e,h,k,d,s,f,a,c,i,l,k,n,i,l,m,p,t,i,p
j,f,h,p,r,k,n,d,g,q,a,t,f,p,e,j,j,n,c,d
r,o,h,f,f,g,c,r,b,b,p,f,d,p,b,o,l,m,r,k
m,h,i,a,g,t,r,k,d,s,m,s,f,i,b,m,a,f,l,a
d,p,r,e,j,b,p,g,l,g,e,a,g,b,g,t,m,k,r,m
d,l,c,q,p,r,c,j,e,c,e,r,t,k,c,c,m,t,c,t
l,q,h,h,q,c,a,p,c,t,b,j,p,q,s,m,m,e,p,r
p,j,s,k,j,j,h,g,i,q,i,o,q,j,n,e,s,s,p,q
p,i,d,f,d,s,o,q,t,n,h,e,s,i,k,h,n,g,k,m
q,p,r,a,t,a,c,k,h,t,h,t,e,i,s,b,h,c,h,o
h,a,o,o,t,q,n,s,b,m,a,k,l,n,s,s,i,c,d,r
p,d,a,a,a,o,h,a,a,e,e,h,n,i,a,c,n,m,t,a
m,l,r,b,s,o,o,m,f,g,a,e,h,c,r,a,b,k,e,a
g,m,c,k,b,j,q,e,g,f,t,e,b,h,r,n,n,r,j,n
d,o,e,h,a,l,q,g,n,s,i,h,i,a,d,m,n,c,p,n
a,g,q,c,d,t,s,j,e,f,g,n,e,n,i,t,e,t,h,t
