var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
a,g,p,t,c,e,f,t,c,p,d,k,f,c,o
r,e,d,r,q,n,n,m,p,d,i,o,n,s,o
p,g,p,j,h,a,i,o,e,f,h,m,k,d,c
l,g,l,h,k,i,m,i,a,f,n,k,j,a,b
h,m,b,d,e,e,b,b,j,o,e,i,j,f,n
n,b,j,n,q,f,c,a,m,m,d,m,j,t,o
k,q,m,j,o,o,t,d,h,a,r,i,n,o,h
c,r,b,r,m,b,b,k,r,o,p,r,a,m,g
p,q,n,a,p,r,m,i,s,j,d,t,l,b,o
b,l,r,s,d,o,p,i,p,g,p,h,b,p,t
h,h,r,b,s,g,q,q,b,k,g,p,l,a,s
h,i,f,c,c,p,c,p,a,g,o,k,m,h,t
o,f,p,p,f,i,b,n,o,g,t,l,j,a,f
r,e,g,s,n,a,s,c,b,h,e,s,s,a,a
n,a,g,o,m,r,d,e,c,p,o,b,f,j,g
j,c,r,e,m,l,t,p,a,k,g,b,r,c,d
g,l,f,n,c,h,n,p,c,n,h,a,r,g,m
h,h,s,t,g,i,g,h,r,c,k,q,h,e,r
i,b,c,c,s,f,g,c,e,e,q,p,c,e,o
k,k,j,b,q,h,s,f,a,m,l,r,h,d,d
t,m,f,o,m,r,k,b,m,f,k,t,p,b,l
s,t,r,a,b,a,o,l,p,c,s,p,p,h,t
t,t,j,a,d,k,g,b,b,f,j,j,d,o,l
q,r,d,g,j,d,p,i,n,m,o,p,o,i,h
f,d,n,p,l,i,j,i,n,n,g,c,a,o,e
i,r,r,g,q,s,j,b,o,o,g,m,q,k,c
j,b,s,t,h,a,s,t,o,r,f,d,s,b,s
t,a,d,r,m,a,g,d,a,h,r,s,t,h,j
f,a,s,f,f,n,p,m,b,e,c,k,e,n,l
q,h,a,f,r,s,j,j,o,b,t,i,q,c,d
f,h,s,g,l,f,c,o,t,j,k,f,k,l,p
l,m,h,r,d,e,a,f,a,c,t,p,e,j,s
k,l,t,q,f,g,t,b,g,t,i,j,s,b,o
f,b,s,m,b,f,i,g,c,q,t,l,d,n,h
f,d,e,o,g,g,n,d,j,i,b,a,g,o,d
f,n,i,f,s,b,q,r,c,h,o,m,o,o,e
l,j,r,h,k,f,k,a,s,a,g,m,t,g,a
m,a,p,h,n,k,l,h,f,j,r,m,i,j,f
a,k,n,c,l,t,p,j,c,i,r,s,l,t,d
a,c,l,c,m,c,f,n,k,m,b,n,f,q,f
i,t,g,i,h,h,k,p,e,p,e,h,p,m,s
g,k,s,c,h,c,t,g,b,d,r,i,d,g,f
j,s,d,l,a,i,d,t,o,t,k,o,i,p,k
h,m,a,b,p,o,g,s,k,o,h,b,b,a,s
l,i,j,a,i,h,i,m,b,j,c,n,a,c,k
b,r,r,l,i,g,h,p,m,n,h,n,h,c,q
r,g,t,e,p,j,b,c,r,k,q,e,t,i,d
a,i,g,f,m,q,n,s,o,r,p,c,r,c,a
t,h,k,d,q,i,e,t,k,s,e,g,p,m,t
