var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
a,j,m,m,k,i,d,a,o,m,j,f,i,o,g
n,i,h,a,d,k,i,b,h,c,k,g,k,d,i
l,e,f,f,e,d,k,m,o,d,n,o,i,n,b
m,a,l,f,i,m,k,h,b,f,l,o,h,g,f
o,h,d,k,h,i,b,n,g,h,n,m,g,d,d
g,e,h,c,g,i,j,k,f,o,n,e,j,g,m
m,f,m,c,i,a,k,h,j,a,f,e,g,k,m
a,c,m,o,o,a,l,a,i,f,i,f,n,a,g
a,b,g,o,d,m,o,k,f,g,c,o,o,h,c
a,b,i,b,a,h,e,i,h,g,a,h,f,k,k
b,c,d,c,k,m,l,d,j,o,o,c,l,m,f
e,k,o,k,h,l,m,n,k,o,d,n,h,e,m
c,e,i,c,d,o,l,f,n,b,a,a,i,d,n
f,d,c,k,m,c,g,i,h,h,k,d,n,m,a
n,n,a,g,i,b,l,l,e,c,a,n,b,d,b
a,j,n,m,e,m,e,g,n,j,k,c,b,d,f
m,a,n,l,l,j,m,e,f,f,a,i,a,m,h
n,h,j,b,j,b,b,m,k,h,m,j,m,j,b
i,h,c,i,l,i,h,o,m,g,f,l,l,j,e
o,m,a,m,e,o,i,f,o,k,k,c,m,g,m
j,j,n,f,d,j,b,a,b,i,c,d,o,h,g
h,d,f,e,b,b,m,l,i,f,k,e,l,j,a
f,j,h,h,d,m,l,l,k,m,l,a,g,m,d
l,j,e,o,o,m,b,j,b,c,d,n,l,n,o
f,f,d,h,k,l,l,l,f,m,e,m,b,i,a
b,o,a,f,i,e,k,j,f,d,b,b,j,f,d
f,i,f,o,l,h,h,h,o,h,i,e,c,k,j
g,m,n,b,c,f,o,g,c,a,j,i,o,a,n
f,e,i,b,o,f,a,k,c,o,b,d,h,e,h
n,m,g,g,n,h,k,h,h,n,g,l,g,k,c
o,h,k,e,o,f,j,e,c,d,h,h,d,h,l
