var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
f,f,f,h,b,g,d,d,j,i
f,h,g,a,j,d,b,c,e,h
h,f,j,e,d,i,a,i,j,h
b,f,j,d,h,b,g,c,i,f
j,e,f,c,j,i,i,c,d,h
a,g,g,b,h,h,a,b,c,e
f,e,h,h,d,i,g,c,a,h
g,i,i,j,d,b,e,j,i,d
d,j,d,j,i,f,h,a,c,e
a,d,a,b,g,j,a,g,e,j
d,h,c,h,d,b,i,g,e,c
a,f,e,b,a,g,j,j,a,d
f,f,d,b,c,h,a,h,b,c
a,j,e,j,j,i,c,a,i,j
e,a,f,h,b,a,f,h,f,h
d,a,e,f,c,b,c,c,a,e
a,a,j,d,h,a,h,g,a,f
i,i,j,a,b,i,g,c,b,h
c,h,c,f,j,d,d,c,i,d
f,i,i,a,i,g,h,j,b,g
g,j,d,e,h,g,c,a,b,b
f,h,a,g,j,f,a,f,a,h
c,e,b,b,j,d,a,g,a,c
f,h,f,e,e,i,f,e,f,c
d,b,j,f,a,c,e,j,i,j
j,g,f,h,j,a,a,c,f,b
i,b,h,b,e,j,h,g,h,h
c,j,i,g,a,i,f,c,i,j
b,f,h,g,a,g,a,a,i,c
a,e,g,a,i,j,b,a,j,d
d,c,b,c,c,e,e,d,h,a
d,h,h,c,c,j,a,i,e,i
c,e,e,a,f,d,j,g,f,f
f,f,e,f,d,e,h,i,i,i
e,a,b,e,g,d,g,j,a,b
c,g,e,d,c,f,c,i,a,f
f,g,d,a,g,b,f,d,b,d
e,g,b,a,e,j,i,c,j,d
b,j,i,g,d,i,a,g,b,b
f,g,b,i,e,j,a,g,b,j
d,d,j,e,b,d,i,d,i,b
g,e,j,h,i,b,e,c,j,b
g,g,e,c,j,c,f,c,j,j
c,a,a,a,c,e,e,g,h,e
i,g,h,j,b,i,b,b,h,g
f,g,f,f,h,e,h,g,d,f
c,c,b,h,g,j,h,i,e,b
i,b,c,a,g,a,c,j,g,i
e,d,i,b,b,j,b,i,b,i
h,d,e,i,h,f,g,d,c,g
a,f,j,h,j,e,a,h,b,d
c,e,g,g,h,i,c,d,j,c
i,j,i,j,j,d,i,b,h,i
e,b,d,c,i,e,f,e,f,a
e,c,b,d,a,b,b,c,i,f
d,b,f,b,a,e,a,j,f,h
d,g,i,b,h,j,f,g,c,c
c,c,e,b,c,f,b,j,c,e
f,e,c,c,b,d,g,c,e,d
d,c,d,e,d,f,i,g,f,b
a,b,j,b,c,i,e,e,h,d
h,b,g,j,a,c,i,b,a,h
b,g,e,f,a,b,e,f,d,c
g,b,i,g,i,a,b,f,c,c
e,b,a,e,c,b,b,d,d,d
c,d,j,a,h,f,g,j,g,b
f,i,j,g,g,d,j,h,i,j
h,a,a,e,h,i,a,e,a,c
b,i,f,d,c,a,h,f,g,a
b,a,g,d,i,c,g,e,e,a
f,j,c,d,b,c,i,j,f,h
c,e,c,e,f,c,e,b,j,i
e,j,i,d,b,e,g,h,g,c
e,f,e,a,a,c,g,f,g,i
g,h,f,i,b,h,e,e,f,d
b,a,b,i,a,h,e,b,h,j
e,c,f,i,b,i,f,h,i,j
e,b,d,e,d,j,a,f,g,a
i,c,i,c,i,a,c,g,e,c
i,b,e,e,b,f,f,j,d,j
h,d,j,d,d,h,g,a,b,a
h,d,j,a,a,c,g,j,a,e
d,a,h,b,a,f,c,h,a,a
g,g,f,f,e,e,g,d,a,d
d,f,g,b,f,j,a,j,e,i
j,c,j,e,g,d,e,b,c,e
b,f,i,g,e,j,f,b,h,a
d,a,f,e,a,b,i,f,d,d
e,f,j,i,a,g,f,e,a,e
h,j,f,i,f,d,d,e,c,c
a,d,i,h,b,f,a,i,f,f
b,g,b,e,c,j,i,c,a,f
i,b,d,b,h,b,c,a,c,f
h,h,i,f,d,e,j,c,f,j
i,c,i,c,g,f,h,d,c,d
b,b,i,e,j,f,j,g,f,i
e,f,a,h,g,f,c,b,d,f
i,a,e,i,f,g,f,a,d,j
j,i,b,g,e,e,i,a,d,e
i,a,a,b,a,h,i,i,g,d
i,g,c,j,g,j,j,i,d,a
e,c,h,f,e,a,j,c,h,d
h,h,b,d,h,e,i,c,g,h
e,j,f,g,h,g,d,e,e,d
g,c,g,a,f,e,d,d,b,j
a,f,g,h,c,g,a,i,f,d
g,f,h,b,a,j,f,b,g,f
j,f,i,d,i,c,b,b,d,f
d,c,g,e,d,c,a,f,e,g
g,j,c,f,h,b,c,a,i,j
a,e,j,g,h,i,h,j,a,g
b,i,f,c,c,g,b,c,b,i
a,g,e,c,h,h,e,d,f,g
e,c,a,g,a,b,g,d,f,c
e,i,i,h,a,f,d,j,f,i
b,d,c,j,c,c,e,g,g,j
c,i,g,b,a,e,g,j,i,h
f,f,a,g,e,a,f,i,j,f
c,i,f,f,i,c,a,g,g,i
i,g,d,e,h,f,g,g,e,i
b,h,d,f,d,d,h,h,i,e
