"data","copies","epochs","pmse"
"sd2011",5,"100",0.198387794358403
"sd2011",5,"1800",0.144564669658906
"sd2011",5,"300",0.171987911520376
"sd2011",5,"600",0.159740069456475
"sd2011",5,"900",0.15153817664504
"sd2011_clean",5,"100",0.213093691209836
"sd2011_clean",5,"1800",0.140050386689483
"sd2011_clean",5,"300",0.169109367251928
"sd2011_clean",5,"600",0.150765383632465
"sd2011_clean",5,"900",0.157148236970552
"sd2011_clean_small",5,"100",0.19483545708402
"sd2011_clean_small",5,"1800",0.15000426469213
"sd2011_clean_small",5,"300",0.164275691694337
"sd2011_clean_small",5,"600",0.145265336971324
"sd2011_clean_small",5,"900",0.143580241626493
