"age","unempdur","income","mmarr","ymarr","msepdiv","ysepdiv","depress","nofriend","nociga","height","weight"
62,NA,1000,8,1974,NA,NA,6,8,NA,176,87
57,NA,1130,7,1978,NA,NA,17,7,2,163,68
49,NA,604,7,1981,NA,NA,2,2,NA,165,74
61,24,400,10,1973,5,1985,5,0,NA,171,95
49,0,1200,9,1982,NA,NA,6,3,20,172,NA
60,NA,1160,7,1975,NA,NA,15,5,NA,165,78
61,0,1000,10,1973,NA,NA,9,4,NA,155,65
51,0,1200,8,1982,NA,NA,3,1,NA,165,72
17,NA,NA,NA,NA,NA,NA,0,4,NA,171,77
47,24,1700,12,1990,NA,NA,3,1,20,170,90
59,24,NA,8,1972,NA,NA,5,3,NA,160,65
52,0,1800,12,1988,2,1993,8,1,3,156,60
49,0,2000,4,1991,NA,NA,5,10,NA,176,100
20,0,NA,NA,NA,NA,NA,3,5,NA,173,60
48,0,1500,8,1993,NA,NA,6,6,10,175,83
70,NA,1200,10,1962,NA,NA,5,5,NA,174,90
44,0,680,10,1989,NA,NA,6,2,NA,178,97
29,NA,2000,7,2007,NA,NA,0,NA,NA,165,62
44,0,1500,6,1990,9,2005,6,1,NA,170,74
27,20,NA,12,2006,NA,NA,4,6,15,156,49
52,NA,1250,4,1983,NA,NA,0,2,NA,158,62
35,0,NA,9,1998,NA,NA,0,3,12,164,84
54,24,1368,4,1980,11,1994,7,6,10,164,70
60,13,300,2,1974,7,2000,14,2,NA,175,78
46,0,NA,9,1986,NA,NA,7,10,20,175,74
51,0,NA,6,1980,NA,NA,0,4,NA,152,63
82,NA,800,5,1946,9,1985,21,0,NA,158,66
46,12,520,8,1982,NA,NA,11,8,NA,154,60
47,NA,2000,6,1988,NA,NA,3,2,5,162,53
77,24,1998,6,1969,6,1982,8,10,NA,165,68
57,0,2200,11,1976,NA,NA,4,2,NA,160,65
43,16,580,12,1989,NA,NA,6,10,NA,170,90
31,0,1000,4,2007,NA,NA,0,10,NA,180,120
22,0,4800,NA,NA,NA,NA,NA,5,NA,182,70
32,NA,1000,9,2000,NA,NA,4,10,NA,171,71
21,NA,300,NA,NA,NA,NA,0,3,NA,178,74
45,0,NA,4,1985,2,2002,7,2,NA,158,56
36,NA,400,9,1996,NA,NA,0,6,NA,164,90
77,NA,902,9,1958,NA,NA,14,6,10,164,70
61,NA,1150,7,1980,NA,NA,5,4,20,183,100
61,NA,1000,7,1973,NA,NA,0,4,NA,168,75
51,0,800,9,1985,NA,NA,3,20,NA,157,62
59,0,NA,12,1972,NA,NA,4,6,NA,170,94
60,0,500,3,1986,NA,NA,7,1,NA,161,47
23,0,800,NA,NA,NA,NA,3,2,NA,155,46
85,24,1400,10,1970,NA,NA,18,10,NA,165,100
60,24,900,3,1971,2,2009,16,9,15,170,80
22,NA,600,NA,NA,NA,NA,0,10,NA,165,60
78,NA,2400,9,1969,NA,NA,9,NA,NA,176,70
26,0,NA,NA,NA,NA,NA,0,10,NA,171,80
46,0,NA,12,1988,NA,NA,6,6,15,160,58
55,NA,2000,2,1974,NA,NA,4,10,NA,160,62
68,24,1100,11,1964,NA,NA,11,10,20,155,56
33,NA,2500,7,1999,NA,NA,2,2,NA,168,70
52,8,500,NA,NA,NA,NA,9,0,21,165,75
64,NA,850,10,1981,NA,NA,9,4,NA,164,90
66,0,1600,6,1983,NA,NA,5,10,NA,170,85
38,24,2000,4,2008,NA,NA,3,6,10,174,75
54,0,400,8,1980,NA,NA,6,10,2,160,80
17,0,128,NA,NA,NA,NA,0,3,NA,169,60
23,0,1500,NA,NA,NA,NA,0,4,15,187,83
34,NA,1200,8,1993,NA,NA,0,15,NA,159,55
29,0,2800,NA,NA,NA,NA,1,6,15,167,60
55,NA,4000,2,1974,NA,NA,4,3,NA,170,80
65,NA,1860,8,1975,NA,NA,4,4,NA,158,63
63,0,1300,8,1972,12,1991,3,10,NA,160,80
33,0,NA,NA,NA,NA,NA,1,4,NA,170,60
59,24,NA,3,1985,NA,NA,19,0,NA,176,72
38,0,6500,4,1994,NA,NA,0,10,NA,170,70
26,NA,1500,NA,NA,NA,NA,0,3,NA,164,56
46,0,1000,1,1985,NA,NA,8,2,20,170,69
37,0,1350,12,1992,NA,NA,0,10,20,160,52
77,24,1400,3,1959,NA,NA,12,20,NA,172,90
43,0,2000,8,1992,NA,NA,0,10,NA,180,95
31,NA,500,NA,NA,NA,NA,2,10,10,176,82
48,0,NA,NA,NA,NA,NA,4,3,NA,169,70
29,24,NA,6,2007,NA,NA,0,2,15,150,60
56,NA,2300,4,1979,NA,NA,8,2,NA,163,72
27,NA,2400,NA,NA,NA,NA,0,2,NA,170,98
83,0,1600,7,1958,NA,NA,11,4,NA,167,82
19,NA,NA,NA,NA,NA,NA,0,15,NA,164,60
33,NA,1400,3,1996,NA,NA,4,0,10,165,70
32,22,NA,8,2009,NA,NA,3,2,20,164,63
45,0,1800,9,1988,NA,NA,6,4,5,168,95
53,0,2500,NA,NA,NA,NA,5,4,NA,158,70
33,0,2000,9,2005,NA,NA,1,5,NA,175,70
26,5,1000,11,2010,NA,NA,0,10,NA,156,56
90,0,1400,10,1947,8,1979,10,5,NA,165,96
60,0,1300,8,1972,NA,NA,8,6,NA,164,72
75,NA,NA,9,1963,NA,NA,15,7,40,176,78
53,6,1800,10,1981,NA,NA,4,6,30,182,100
25,0,NA,NA,NA,NA,NA,0,10,15,162,58
41,NA,3500,7,1995,12,2008,0,7,NA,160,70
78,0,1000,6,1951,4,2006,9,5,NA,156,63
48,0,1900,11,1985,NA,NA,2,NA,NA,150,50
60,NA,1800,NA,NA,NA,NA,9,1,NA,164,60
38,0,5000,6,2003,NA,NA,1,10,NA,182,80
52,NA,4200,10,2009,NA,NA,3,5,40,182,94
57,0,1500,7,1979,NA,NA,7,7,NA,164,90
51,0,2800,1,1981,NA,NA,4,10,NA,164,70
24,0,NA,NA,NA,NA,NA,3,17,NA,190,92
18,NA,NA,NA,NA,NA,NA,3,4,NA,167,65
18,NA,NA,11,2009,NA,NA,4,4,NA,185,78
52,0,NA,4,1981,NA,NA,0,4,NA,156,78
50,0,NA,NA,NA,NA,NA,10,3,NA,182,83
62,15,300,8,1969,NA,NA,4,5,NA,172,86
71,24,700,4,1965,NA,NA,10,15,NA,174,75
28,NA,2000,9,2008,NA,NA,2,6,NA,176,90
47,0,1250,9,1982,NA,NA,NA,6,NA,158,60
19,24,NA,NA,NA,NA,NA,0,10,NA,180,68
