"age","unempdur","income","mmarr","ymarr","msepdiv","ysepdiv","depress","nofriend","nociga","height","weight"
22,0,1600,NA,NA,NA,NA,3,20,1,179,102
53,12,NA,10,1987,NA,NA,2,1,NA,162,94
57,0,3300,9,1975,NA,NA,2,55,15,182,110
25,0,600,7,2006,NA,NA,9,25,NA,163,98
21,NA,1500,NA,NA,NA,NA,3,10,15,178,82
33,0,900,7,1998,NA,NA,1,20,NA,170,60
55,0,1300,10,1973,5,2010,10,5,NA,164,105
35,12,100,8,1997,NA,NA,4,10,10,143,50
31,NA,NA,8,1999,NA,NA,0,2,NA,155,52
65,NA,2400,11,1969,NA,NA,5,10,NA,160,68
60,0,3600,1,1975,NA,NA,2,10,NA,182,120
35,0,2000,9,1996,NA,NA,6,1,5,172,75
29,0,2300,NA,NA,NA,NA,0,4,NA,188,86
24,NA,NA,NA,NA,NA,NA,8,1,NA,150,60
34,0,1818,1,2003,NA,NA,1,4,NA,164,60
81,0,1450,2,1963,1,1988,4,NA,NA,172,80
23,NA,460,NA,NA,NA,NA,0,2,NA,163,48
48,0,5000,6,1989,3,1998,4,10,NA,160,75
48,NA,600,NA,NA,NA,NA,4,3,6,164,53
22,24,NA,NA,NA,NA,NA,0,2,10,173,60
37,NA,3000,7,2003,NA,NA,5,10,NA,180,90
56,NA,770,4,1977,NA,NA,6,4,NA,176,104
49,NA,800,9,1981,NA,NA,8,20,30,167,65
48,0,1800,NA,NA,NA,NA,4,3,NA,170,50
21,0,NA,NA,NA,NA,NA,3,10,NA,182,82
60,NA,NA,2,1976,NA,NA,9,1,NA,165,75
55,0,5000,6,1981,NA,NA,7,10,NA,171,85
73,24,1150,11,1957,9,1980,9,10,NA,152,80
27,NA,NA,NA,NA,NA,NA,0,10,20,180,84
27,0,3200,8,2008,NA,NA,0,5,30,165,55
50,0,1800,1,1989,3,2000,2,0,20,158,49
18,NA,NA,NA,NA,NA,NA,0,10,NA,195,72
56,24,100,4,1976,8,2002,6,10,NA,153,58
81,24,826,3,1952,NA,NA,7,15,NA,168,67
58,0,1500,8,1976,NA,NA,NA,NA,NA,NA,NA
65,NA,800,7,1966,NA,NA,6,10,NA,169,72
23,0,1200,NA,NA,NA,NA,0,7,NA,176,86
31,0,1000,10,2007,NA,NA,NA,2,NA,160,60
81,22,1200,6,1951,4,2004,9,3,NA,160,80
69,NA,720,NA,NA,7,1968,7,4,NA,158,58
24,0,1500,NA,NA,NA,NA,0,5,NA,160,50
32,0,1800,NA,NA,NA,NA,NA,12,NA,156,60
35,12,100,NA,NA,NA,NA,7,5,5,157,80
83,NA,NA,4,1946,NA,NA,14,1,NA,162,60
60,0,1466,11,1970,NA,NA,5,2,NA,180,85
26,0,2000,NA,NA,NA,NA,1,4,NA,164,56
57,0,NA,12,1972,NA,NA,5,3,40,170,60
25,0,NA,NA,NA,NA,NA,0,30,NA,176,75
50,2,NA,5,1980,NA,NA,4,6,25,174,80
48,0,2000,12,1984,NA,NA,2,4,NA,165,64
20,0,300,NA,NA,NA,NA,2,6,NA,166,52
72,0,1100,5,1971,5,1994,9,2,10,159,52
20,NA,NA,NA,NA,NA,NA,0,10,NA,176,60
66,24,NA,7,1968,NA,NA,10,25,NA,176,80
63,0,440,6,1968,3,2009,5,2,NA,172,92
