var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
i,a,a,h,e,i,d,b,f,e
c,c,a,c,a,h,g,g,g,c
b,h,h,h,a,g,e,j,e,g
j,h,c,f,c,d,i,a,e,j
j,d,i,i,h,e,b,a,d,h
c,d,e,h,f,g,b,a,h,d
e,i,j,g,j,c,j,c,c,c
b,c,c,d,j,c,h,i,e,h
g,d,b,b,j,a,a,d,j,h
a,i,c,d,j,d,c,a,i,g
g,i,h,e,f,c,d,h,e,f
c,c,f,d,g,a,b,i,c,g
g,i,b,b,i,h,b,a,g,f
i,b,j,e,a,i,h,g,g,d
h,h,d,d,g,i,f,f,a,d
g,c,a,b,a,c,a,e,d,f
c,h,f,g,e,b,j,i,g,b
d,c,j,a,g,d,b,c,g,d
c,i,f,f,g,d,e,g,g,e
i,a,j,c,g,i,g,a,i,c
b,a,j,h,g,e,c,h,f,c
j,j,c,e,g,d,i,f,b,i
g,c,f,g,e,j,g,a,i,j
i,d,h,h,d,h,d,h,i,g
i,j,j,g,g,a,d,a,e,f
c,d,d,i,i,i,i,e,f,f
i,h,b,i,g,h,j,i,c,b
c,b,j,a,a,h,a,h,e,h
a,h,a,h,h,e,h,e,c,e
c,g,h,h,d,i,e,g,c,f
i,i,j,d,f,c,d,e,e,c
h,j,c,h,h,e,a,e,d,h
f,i,a,f,b,i,j,a,d,f
c,b,c,d,j,a,b,a,b,b
c,c,b,h,a,i,g,c,g,b
c,a,j,a,j,f,c,c,h,j
f,a,a,d,h,d,a,i,h,e
f,e,f,d,b,d,d,j,d,f
h,i,e,i,f,d,i,i,j,c
d,h,i,a,g,d,i,e,d,j
g,d,b,e,f,h,h,e,e,c
e,h,b,c,e,b,a,h,h,h
b,f,i,i,h,d,h,c,h,b
i,g,c,c,a,c,f,c,j,d
j,i,e,g,j,d,h,h,e,f
g,g,c,c,a,f,f,b,g,j
d,b,d,j,b,f,h,e,e,i
c,e,h,g,d,c,a,h,j,f
e,f,a,f,f,j,b,c,e,h
f,g,a,i,g,d,j,h,e,b
j,i,d,j,i,c,g,e,a,a
c,g,j,c,c,i,j,e,i,e
c,c,g,d,c,c,h,c,d,h
g,a,i,h,j,g,b,j,f,b
c,g,d,i,a,b,e,c,j,f
c,i,d,i,g,f,h,b,j,b
c,c,a,e,d,i,i,j,d,f
c,b,c,c,a,e,e,a,d,b
a,a,j,i,g,g,i,a,h,c
g,a,h,c,f,j,i,h,f,b
g,i,a,a,h,a,a,g,d,e
i,b,g,e,j,h,b,e,h,g
b,g,a,g,b,f,i,f,a,a
h,j,b,f,f,i,i,j,b,a
i,i,d,j,b,d,h,f,g,g
i,h,c,h,h,g,g,a,b,f
b,a,g,f,d,i,c,d,f,a
i,d,h,i,f,e,a,d,d,d
h,j,e,c,i,b,e,i,j,i
d,d,c,e,j,b,c,b,d,a
i,c,d,g,b,d,e,j,j,c
j,d,b,d,h,c,b,d,j,h
d,a,c,e,b,i,e,g,d,g
c,d,i,g,b,c,d,j,i,a
f,i,b,h,h,d,f,a,h,c
a,a,d,g,a,b,h,d,f,e
c,b,i,b,b,j,h,h,f,f
f,d,e,i,g,e,a,a,b,i
h,c,b,e,i,e,e,d,d,b
c,i,j,e,f,a,g,b,i,i
c,h,f,e,a,h,e,c,e,f
h,f,h,c,h,e,j,e,h,j
d,j,d,a,e,a,a,h,i,b
g,b,f,d,h,j,c,i,a,e
a,f,g,f,h,h,d,c,j,g
i,b,g,i,j,h,a,j,i,c
h,a,d,c,j,f,j,i,b,f
c,c,b,i,d,g,g,b,g,i
f,c,g,e,d,i,h,f,c,c
h,g,j,h,a,a,g,i,i,d
c,d,b,b,j,e,a,j,f,d
i,a,d,g,j,i,c,i,h,c
c,h,e,h,i,f,e,e,d,i
c,e,b,g,g,j,c,j,i,e
a,f,j,e,a,d,i,j,g,c
b,c,j,b,i,b,j,e,g,e
c,h,d,a,c,i,i,f,b,e
i,e,h,j,i,i,b,a,g,h
d,i,j,f,j,i,b,h,g,j
a,c,d,b,e,h,h,a,a,h
