var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
e,b,d,i,b,b,e,d,e,g,a,g,g,j,c,e,f,j,j,e
b,f,d,i,h,j,c,c,h,b,g,b,b,e,i,i,e,e,e,e
i,c,c,j,h,h,i,d,a,b,j,g,d,a,g,c,g,c,a,h
d,a,c,b,h,j,j,a,b,j,h,b,d,i,a,c,i,c,f,g
i,f,d,h,j,a,i,c,f,f,g,c,e,c,b,h,b,j,f,d
e,f,b,b,i,h,i,g,a,f,d,g,e,f,d,f,d,g,j,f
b,a,h,j,e,a,g,g,b,e,a,e,j,h,e,j,j,b,c,e
g,e,b,j,j,d,c,g,i,c,i,b,h,h,f,h,h,a,f,a
j,f,f,d,e,d,c,j,j,c,g,b,a,i,j,j,h,b,c,b
h,a,j,h,e,d,e,e,a,b,d,h,d,f,e,g,e,e,d,e
b,f,j,f,i,g,e,f,i,j,c,j,g,h,b,d,d,j,i,j
c,e,g,b,c,d,i,g,g,b,a,a,g,j,j,a,b,b,d,e
h,a,f,g,d,e,e,d,h,j,b,h,j,i,e,g,f,g,d,j
e,i,b,f,c,e,h,c,h,f,d,h,i,e,e,a,h,i,c,b
i,c,i,h,c,b,f,h,b,f,a,b,h,d,f,a,g,f,a,e
d,f,c,g,i,g,j,i,e,h,a,j,g,e,c,a,h,f,e,c
e,c,d,h,e,i,g,g,h,b,g,h,a,b,c,j,e,h,h,d
j,e,c,c,i,j,j,g,h,j,i,j,c,h,g,f,j,g,e,j
i,a,i,i,c,j,a,c,h,b,b,e,e,f,g,g,h,e,c,g
d,f,a,i,d,b,d,g,a,e,c,a,j,j,j,h,f,b,e,b
g,j,j,c,i,a,b,f,e,b,j,f,g,i,h,i,d,i,e,c
b,i,j,j,c,j,j,j,d,i,h,j,i,d,f,j,e,c,b,e
j,e,i,j,b,i,j,e,a,a,e,h,b,h,f,j,h,h,d,h
e,g,h,g,a,e,j,d,a,b,f,a,g,g,e,h,d,g,a,e
c,h,g,e,c,d,j,e,i,a,j,c,c,f,d,d,h,j,h,g
h,f,b,e,j,d,e,d,c,a,e,c,h,h,a,a,h,b,h,e
e,c,h,e,g,a,g,f,g,h,i,h,e,d,d,j,g,h,f,g
f,i,g,c,h,a,e,i,c,d,g,a,f,j,j,a,b,g,i,f
a,e,a,c,f,h,c,i,g,g,c,e,g,a,e,a,b,d,j,h
h,g,f,h,g,g,j,c,a,a,c,e,j,f,c,h,a,e,g,a
e,a,a,h,i,g,b,h,i,j,j,e,c,j,d,e,j,j,g,d
h,c,c,i,f,f,h,i,g,d,e,j,i,g,e,b,e,j,a,e
h,j,i,a,g,f,g,a,c,a,g,g,c,e,f,a,h,i,f,f
a,f,c,h,i,b,i,a,f,h,j,a,i,d,g,d,h,d,d,j
g,f,f,b,h,f,i,g,h,h,e,g,c,f,c,g,d,d,e,c
a,j,f,e,e,b,c,g,d,j,f,g,i,b,f,i,f,d,i,e
h,g,d,g,f,d,h,f,d,g,g,g,e,a,a,h,h,b,i,i
b,a,d,h,g,j,e,d,a,b,f,g,b,a,a,e,d,e,a,i
b,e,b,i,b,j,j,g,j,h,h,f,c,d,f,c,h,c,e,b
d,i,i,c,i,j,j,i,c,j,a,g,e,g,d,e,f,h,f,g
c,f,i,g,i,g,h,i,i,e,f,e,b,a,c,b,i,h,j,e
c,c,h,e,b,g,h,a,d,c,b,f,d,a,h,c,f,g,h,i
c,b,b,e,j,j,i,g,a,b,d,j,b,f,e,g,g,e,h,e
h,d,j,i,d,g,f,f,j,f,h,d,c,b,a,b,d,h,f,e
c,f,b,f,e,f,c,f,i,a,b,c,i,j,i,b,g,c,f,e
d,d,d,a,e,b,f,b,h,b,c,i,c,j,h,f,b,d,i,j
d,i,e,d,h,b,c,e,i,i,d,g,c,f,f,h,b,b,b,d
i,g,j,j,a,g,h,a,j,a,b,a,h,c,h,c,d,b,d,g
d,b,d,a,i,f,i,g,h,h,j,h,e,e,g,h,b,b,f,h
h,f,e,i,c,g,d,a,i,d,a,f,a,c,g,h,h,j,c,f
e,g,e,d,b,a,d,j,a,d,g,f,c,c,d,f,i,d,d,i
e,c,a,i,h,d,f,d,a,a,e,e,h,c,e,e,h,a,g,i
a,e,g,i,j,g,c,g,h,c,g,h,g,h,h,g,i,e,c,j
i,e,h,b,e,h,i,d,f,e,j,b,a,a,h,e,i,d,g,a
f,f,h,e,j,i,a,g,j,a,b,e,i,d,c,i,g,d,g,e
g,f,b,i,c,b,c,a,i,c,g,h,g,e,c,i,d,a,b,a
g,e,h,e,i,i,j,g,c,a,f,b,g,a,c,i,c,h,g,h
a,i,e,i,i,a,j,c,c,j,i,a,d,e,c,g,h,h,e,h
c,j,j,e,i,h,j,c,d,e,i,g,d,c,a,b,j,g,i,e
j,f,j,i,a,g,j,i,e,h,f,a,b,a,c,h,b,f,a,i
d,a,h,i,b,d,c,c,c,b,a,b,d,b,h,a,e,j,g,e
h,b,g,f,e,c,i,a,g,b,f,a,c,g,f,d,i,e,h,a
i,c,c,j,i,b,j,h,g,b,e,c,j,g,c,a,j,h,e,a
i,j,f,f,b,f,j,d,c,j,c,c,e,a,b,c,f,g,g,a
f,a,c,f,g,j,c,h,h,b,i,e,j,a,d,a,b,c,a,g
d,c,c,h,f,d,j,f,f,g,i,i,c,a,e,e,d,a,e,c
g,g,c,a,c,c,b,a,e,d,c,c,a,j,h,f,e,b,d,j
