var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
d,e,n,l,k,j,e,d,r,g,f,d,j,k,q
i,g,m,t,f,b,i,c,n,c,f,a,h,g,l
g,h,n,t,b,d,i,o,f,g,n,b,k,l,l
t,t,f,p,e,l,h,t,o,c,a,p,h,i,k
f,c,f,m,m,j,j,l,d,g,h,n,j,m,e
c,l,r,e,j,j,e,g,a,n,a,g,c,s,e
r,s,o,o,c,d,s,s,r,o,g,m,p,l,t
q,t,k,q,e,s,h,h,a,b,c,d,a,b,d
l,c,f,m,c,j,q,d,t,e,q,p,q,j,c
h,a,o,t,q,q,s,c,l,b,b,o,q,g,r
i,o,r,l,a,b,s,s,h,e,h,j,i,o,i
a,c,b,f,e,a,o,f,a,h,d,t,l,t,r
d,h,h,g,k,j,c,d,m,o,g,m,a,g,j
d,a,n,h,h,h,b,g,a,o,n,h,i,g,n
s,b,c,r,h,j,l,i,q,l,c,n,b,g,n
d,n,c,c,j,j,t,n,p,g,a,d,p,d,e
f,t,m,h,r,d,s,f,o,o,j,g,j,n,f
p,o,i,p,a,t,k,g,p,e,e,i,j,h,k
f,o,c,k,b,d,e,t,q,s,f,j,r,s,o
h,t,g,l,m,o,d,h,p,p,d,n,a,f,t
i,e,p,o,b,h,j,f,j,e,c,n,i,d,t
f,k,d,t,b,c,k,g,b,s,h,k,n,i,n
g,k,k,r,e,b,t,j,a,o,a,i,o,l,d
r,b,p,r,c,j,s,n,q,a,o,i,g,h,h
d,p,m,n,i,b,p,c,i,h,i,f,c,g,n
d,t,h,f,q,p,i,c,o,h,g,n,d,n,e
r,e,p,e,d,d,t,p,c,e,h,j,e,k,k
r,c,t,q,d,e,k,b,s,h,h,a,n,d,k
i,c,d,g,a,j,e,i,e,n,p,q,m,b,o
s,e,n,l,q,h,i,t,t,g,a,e,j,o,b
c,l,b,e,b,l,i,p,j,g,q,j,g,q,e
r,b,p,g,h,j,n,i,p,e,a,p,k,l,e
p,g,j,l,r,h,m,g,q,b,c,j,p,c,k
f,j,q,a,f,c,s,h,q,h,g,g,c,t,l
m,h,j,l,g,h,l,g,q,g,p,t,p,d,n
i,n,m,e,c,j,l,e,m,l,l,m,i,g,l
f,m,g,s,q,j,d,q,q,e,b,c,e,b,o
r,d,g,p,b,h,t,m,i,c,r,n,l,h,g
g,c,r,k,m,g,q,i,j,o,l,a,l,e,l
k,e,o,b,e,d,o,k,k,m,c,j,d,a,o
b,c,l,m,a,d,e,k,g,e,t,e,d,d,o
m,r,j,s,i,m,k,b,t,i,a,b,n,d,d
h,p,s,g,q,h,l,s,f,t,b,n,q,f,e
k,c,n,e,q,m,g,c,d,g,p,j,j,r,l
m,t,n,a,o,p,r,s,f,o,q,n,n,d,l
m,o,f,k,n,h,n,n,d,a,n,e,k,h,g
k,b,g,q,q,d,s,g,a,d,n,f,j,b,k
j,a,n,m,c,t,i,f,f,e,f,t,b,s,e
c,e,d,l,j,h,q,p,r,b,a,b,o,c,b
e,s,f,i,s,q,i,l,r,e,n,n,k,d,n
n,e,o,l,t,g,q,i,r,t,d,k,r,s,b
i,s,h,b,b,b,l,i,d,o,a,n,p,f,b
i,h,g,a,b,o,h,d,r,f,g,l,j,d,c
i,k,j,d,m,e,n,i,k,t,e,j,g,h,a
k,l,l,a,b,e,t,i,d,c,g,d,d,h,b
g,j,n,a,b,k,i,c,k,n,g,b,r,o,o
r,g,n,b,e,l,n,p,r,d,g,b,g,g,g
f,l,f,s,e,h,k,g,n,q,g,p,r,l,l
b,o,p,h,o,p,n,b,e,f,e,a,h,c,n
k,k,c,l,d,h,t,l,s,o,g,n,f,f,f
m,c,h,m,h,g,i,i,r,e,a,i,p,b,l
a,e,h,j,i,l,k,i,d,e,g,d,g,h,d
m,g,k,n,q,a,q,i,d,h,i,g,h,p,s
d,g,k,d,e,n,d,q,p,g,h,l,g,h,e
