var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
a,b,c,c,f,a,b,i,d,i,i,a,i,f,g
h,b,f,j,j,h,d,g,a,e,j,i,c,a,e
d,f,e,d,f,h,e,i,a,g,g,a,a,f,e
f,f,c,b,g,g,a,h,e,b,c,h,b,e,j
g,j,b,i,e,e,e,f,f,b,a,h,f,c,f
d,d,b,i,d,h,e,f,g,f,h,a,e,b,j
h,g,b,d,b,e,c,e,j,e,a,d,f,d,b
b,e,b,d,e,j,d,c,j,b,h,i,g,h,a
e,d,f,h,b,f,i,i,c,b,c,i,g,e,h
b,b,d,i,b,j,g,i,b,g,h,c,a,b,d
d,d,d,i,c,e,j,h,e,j,a,a,i,h,i
a,h,i,e,g,a,j,a,h,g,i,d,i,h,h
h,i,c,c,h,c,i,j,e,h,f,c,f,e,i
d,c,f,b,j,b,d,g,a,f,i,c,j,c,b
g,f,i,i,i,g,e,a,j,f,i,i,c,g,c
d,d,c,h,c,j,i,j,d,h,h,b,i,a,c
d,f,e,d,f,a,c,c,a,g,h,c,f,h,j
j,h,j,h,f,e,a,a,a,j,b,b,g,i,e
g,g,j,j,h,g,e,g,a,g,f,d,f,b,j
b,e,j,j,e,b,g,a,g,e,a,f,f,i,h
b,e,d,h,c,e,h,h,a,g,j,b,i,e,j
j,i,d,d,g,d,a,a,b,c,b,e,j,h,a
e,h,i,b,f,j,g,e,g,j,c,j,b,a,h
a,e,j,j,g,c,j,d,g,g,d,j,i,j,b
f,f,c,c,i,f,a,e,e,h,g,i,g,b,j
c,d,f,d,f,a,j,i,i,h,c,h,c,f,j
a,g,f,j,a,e,c,d,h,a,b,b,h,g,j
g,c,j,h,j,e,j,h,c,d,a,f,d,h,h
i,f,g,h,a,e,d,h,h,i,a,d,b,i,b
e,j,f,e,d,j,g,g,h,h,i,d,f,a,g
a,g,j,i,c,j,i,j,e,e,h,c,g,i,j
e,c,g,e,a,b,i,g,d,d,c,e,e,j,b
e,e,i,b,d,f,c,h,g,j,b,a,g,a,j
b,b,h,f,g,f,e,e,a,a,g,f,g,g,e
b,d,f,e,j,i,a,b,a,a,c,a,g,b,g
i,e,j,g,b,f,d,f,f,d,d,a,j,c,h
e,e,j,i,d,g,i,f,g,i,j,f,h,f,d
h,g,e,i,d,j,j,i,b,b,d,c,i,f,g
g,g,f,g,c,i,d,f,c,e,h,g,g,j,e
g,c,d,h,c,g,a,f,i,j,i,a,h,d,j
f,d,f,c,j,j,b,f,f,e,d,d,e,f,g
h,f,h,b,f,a,i,h,j,b,i,b,a,f,i
f,b,b,b,g,i,e,b,d,j,h,b,b,b,b
e,a,d,j,h,j,h,f,c,f,h,j,g,h,d
a,i,b,d,f,b,d,a,f,f,f,c,g,i,i
d,a,c,b,j,d,h,d,a,j,a,j,g,i,e
e,c,e,a,i,h,d,e,e,c,h,a,g,b,a
g,f,e,d,g,j,e,h,a,f,b,f,c,h,i
j,j,g,f,c,i,i,h,a,a,g,c,g,a,e
e,d,a,g,a,j,b,h,g,d,g,b,d,c,e
