"age","height","weight","income","MALE","SMOKE","PRIMARY/NO EDUCATION","VOCATIONAL/GRAMMAR","SECONDARY","POST-SECONDARY OR HIGHER"
1,-0.295310322975365,0.145740655870185,-0.127053444920777,-0.0573389163508863,-0.0473683870584497,0.397137003967315,-0.167598246704314,-0.0802942583301485,-0.106692099922289
-0.295310322975365,1,0.49195939860399,0.217745477165644,0.664653029269353,0.0930688842259938,-0.178633809926198,0.104395203786669,0.019767512799335,0.0319821615570686
0.145740655870185,0.49195939860399,1,0.146190798339927,0.494880178680224,0.0121033702543781,-0.0195661369168444,0.0600709020768912,-0.00849168589749338,-0.0422531161457556
-0.127053444920777,0.217745477165644,0.146190798339927,1,0.179578301842214,-0.0135584602885677,-0.229615199452363,-0.108497082325804,0.0148582011166805,0.341965041869447
-0.0573389163508863,0.664653029269353,0.494880178680224,0.179578301842214,1,0.143305917827012,-0.0626457855112656,0.159545248181539,-0.0292019425387741,-0.0936384412030957
-0.0473683870584497,0.0930688842259938,0.0121033702543781,-0.0135584602885677,0.143305917827012,1,0.0115561474769448,0.114050071590668,-0.0490423144274881,-0.0909191373581342
0.397137003967315,-0.178633809926198,-0.0195661369168444,-0.229615199452363,-0.0626457855112656,0.0115561474769448,1,-0.337556242287605,-0.317572361826109,-0.234768708280698
-0.167598246704314,0.104395203786669,0.0600709020768912,-0.108497082325804,0.159545248181539,0.114050071590668,-0.337556242287605,1,-0.448649844097991,-0.331669115547566
-0.0802942583301485,0.019767512799335,-0.00849168589749338,0.0148582011166805,-0.0292019425387741,-0.0490423144274881,-0.317572361826109,-0.448649844097991,1,-0.312033762597351
-0.106692099922289,0.0319821615570686,-0.0422531161457556,0.341965041869447,-0.0936384412030957,-0.0909191373581342,-0.234768708280698,-0.331669115547566,-0.312033762597351,1
