age,income,wealth
45,16008.0,159203.0
68,78182.0,72431.0
73,128781.0,364164.0
16,14723.0,145079.0
49,6106.0,110167.0
16,11021.0,2646906.0
30,15447.0,136737.0
34,23800.0,340927.0
81,12206.0,-19560.0
16,33160.0,4204.0
16,21121.0,428222.0
59,20282.0,444463.0
18,15362.0,2845622.0
35,15296.0,1521390.0
78,49431.0,-19560.0
88,21258.0,1541126.0
46,114830.0,311085.0
73,302949.0,-19560.0
16,20862.0,335022.0
48,44462.0,611465.0
27,14043.0,319972.0
16,42422.0,1825144.0
91,55968.0,452867.0
41,22336.0,3777012.0
80,22984.0,116333.0
37,15838.0,37807.0
28,17192.0,76087.0
44,7468.0,1871395.0
82,32454.0,299669.0
38,93185.0,166768.0
16,16919.0,625537.0
16,20913.0,2233856.0
67,60405.0,-19560.0
28,160224.0,-19560.0
25,7278.0,582012.0
17,19503.0,241718.0
50,71872.0,677594.0
16,18852.0,43271.0
94,5384.0,609889.0
79,62566.0,360647.0
69,12922.0,1154471.0
42,68276.0,89048.0
76,43842.0,218750.0
94,26846.0,-19560.0
25,63202.0,3559974.0
26,17978.0,204635.0
72,42399.0,82806.0
76,59518.0,716618.0
46,17500.0,296728.0
27,49587.0,76118.0
53,13878.0,-19560.0
80,20114.0,211192.0
35,17371.0,-7619.0
68,120043.0,307739.0
39,39082.0,-19560.0
53,36403.0,250717.0
62,58082.0,-19560.0
35,18046.0,-19560.0
63,12653.0,-19560.0
52,21329.0,771417.0
33,13806.0,5079627.0
86,5047.0,2060494.0
89,3987.0,696225.0
47,12943.0,529428.0
16,50546.0,984707.0
20,10582.0,-19560.0
20,18515.0,2546336.0
25,107392.0,20568.0
60,46593.0,160643.0
78,15820.0,264007.0
21,10324.0,-19560.0
36,32693.0,151260.0
83,17992.0,-19560.0
48,13157.0,798015.0
84,50490.0,-19560.0
35,10938.0,1929776.0
81,15522.0,333631.0
16,15261.0,261046.0
28,14200.0,1304530.0
56,52344.0,255901.0
93,61102.0,244795.0
49,33846.0,249379.0
16,12492.0,79677.0
23,16643.0,667794.0
59,2767.0,178326.0
78,25621.0,212834.0
68,811.0,1908576.0
82,100285.0,-19560.0
36,48437.0,1680098.0
86,31719.0,77140.0
41,624.0,818472.0
71,31744.0,144913.0
29,16725.0,2983067.0
25,17414.0,-19560.0
61,25183.0,94749.0
28,24438.0,-19560.0
87,22577.0,-19560.0
82,152751.0,324401.0
54,3046.0,148557.0
48,18234.0,143654.0
27,31925.0,389140.0
71,12176.0,274534.0
45,33493.0,175945.0
60,27623.0,167362.0
26,20886.0,-19560.0
73,56175.0,26991.0
19,30107.0,3061533.0
58,77798.0,141410.0
48,24526.0,154367.0
46,51101.0,181314.0
67,21871.0,127341.0
76,13645.0,388923.0
19,3042.0,-19560.0
86,19340.0,-19560.0
81,5576.0,-19560.0
