"var_1","var_2","var_3","var_4","var_5","var_6","var_7","var_8","var_9","var_10","var_11","var_12","var_13","var_14","var_15","var_16","var_17","var_18","var_19","var_20"
"g","g","g","d","a","a","a","h","b","d","h","b","h","b","a","e","c","h","b","d"
"d","a","c","c","f","h","i","d","e","b","a","g","d","e","i","h","b","d","a","d"
"g","e","i","c","i","c","e","b","f","j","f","b","d","c","i","j","g","b","a","c"
"f","h","b","j","e","h","f","f","f","a","d","i","c","i","h","c","b","c","c","d"
"d","g","j","j","h","g","e","a","b","h","d","e","a","d","e","h","i","i","h","h"
"j","a","g","f","e","d","e","h","i","c","h","h","g","c","b","h","b","j","b","h"
"f","h","e","g","c","i","g","b","c","f","j","j","g","h","a","h","g","d","e","f"
"j","b","f","j","a","i","i","g","b","j","b","i","d","b","b","c","g","j","j","e"
"h","f","b","e","g","f","i","j","c","b","a","b","a","f","f","e","j","e","g","f"
"d","g","c","h","a","i","b","c","e","i","a","f","c","f","e","f","a","d","d","c"
"d","c","f","e","d","c","g","c","e","i","c","h","a","h","d","j","i","f","b","c"
"f","b","h","a","d","c","j","j","i","j","i","d","j","d","a","h","c","d","h","h"
"g","g","j","c","i","h","c","f","b","j","d","b","g","i","i","d","a","h","g","a"
"i","e","d","j","h","j","e","h","i","a","f","g","g","d","d","b","g","g","g","c"
"h","h","e","c","i","e","a","f","j","e","c","h","j","c","b","f","j","d","g","a"
"e","f","h","f","b","f","c","e","f","e","i","a","e","g","b","a","b","e","h","b"
"a","c","c","g","e","b","g","h","h","i","e","g","a","c","a","i","b","h","b","e"
"j","h","b","c","b","g","f","g","e","h","c","i","d","c","a","j","d","f","a","i"
"c","f","g","h","j","e","h","g","i","j","g","g","j","h","d","h","d","d","f","a"
"f","e","c","h","d","j","g","h","g","e","i","e","i","d","e","d","a","f","c","a"
"f","g","d","j","h","d","h","d","j","g","j","h","d","e","e","h","i","e","e","d"
"a","d","i","i","e","c","e","i","a","d","i","a","e","h","i","b","i","d","a","a"
"c","i","b","j","h","f","b","d","g","b","b","h","i","d","d","a","a","e","a","f"
"f","e","e","b","g","e","h","e","g","f","d","i","e","e","j","c","a","e","g","d"
"f","h","a","e","d","e","c","b","j","j","g","j","i","j","e","i","f","c","d","g"
"e","g","a","a","g","e","j","b","c","f","h","i","j","a","f","e","e","c","h","g"
"b","e","c","i","g","f","e","g","e","d","a","e","j","d","e","i","h","e","j","b"
"h","f","h","b","i","i","d","g","f","c","c","a","h","g","j","d","b","j","j","f"
"a","d","j","e","b","e","a","j","g","b","b","i","b","g","e","e","h","a","j","h"
"g","d","d","j","d","b","d","a","c","a","j","a","g","c","h","a","i","b","j","d"
"a","j","d","c","c","g","c","h","h","e","d","b","c","a","b","b","d","e","a","j"
"b","f","f","i","d","e","i","i","i","c","e","d","d","j","h","a","a","a","b","b"
"e","a","h","c","g","a","c","b","d","c","b","g","c","c","c","i","h","i","f","j"
"a","a","e","g","a","e","c","b","d","i","j","e","i","e","h","f","a","h","a","b"
"b","j","f","a","d","b","c","b","c","a","f","j","f","j","c","d","j","j","a","j"
"e","h","d","i","a","h","g","h","d","j","f","h","i","c","h","d","a","d","b","h"
"f","b","b","d","c","f","f","e","a","d","a","g","i","g","h","b","j","g","b","a"
"h","d","e","e","d","g","b","c","j","g","h","b","b","e","h","d","b","g","e","g"
"b","g","d","c","f","j","h","g","i","c","b","h","e","c","d","d","d","b","i","j"
"b","f","b","e","f","g","c","h","j","f","e","d","g","a","a","d","d","g","j","j"
"d","g","b","j","h","j","j","e","b","i","h","d","a","g","e","i","d","f","j","b"
"e","i","c","j","c","f","c","e","f","g","d","j","c","d","i","g","h","g","f","a"
"d","c","f","c","f","b","d","f","g","h","h","f","a","i","i","a","e","h","h","f"
"i","a","a","e","d","a","j","h","c","f","h","b","e","c","b","h","a","f","h","j"
"j","d","c","f","i","d","c","g","d","h","c","a","g","g","a","d","h","g","h","g"
"f","e","d","c","j","j","b","b","f","j","b","i","b","e","j","i","d","d","j","j"
"b","c","c","c","e","i","c","e","d","e","e","g","i","g","f","a","j","c","d","j"
"h","h","a","g","j","h","j","j","e","e","g","g","f","g","i","i","f","b","j","i"
"f","i","h","e","a","e","f","h","f","g","h","c","i","b","g","b","i","h","g","a"
"f","d","h","i","g","d","g","h","a","b","b","f","g","a","a","b","c","g","g","i"
"i","a","b","g","a","e","a","d","c","d","j","c","h","j","b","g","c","j","h","d"
"f","c","e","g","f","f","b","e","b","e","a","b","f","a","b","h","g","d","d","j"
"i","c","b","h","h","c","j","d","d","j","g","g","i","c","e","i","d","f","h","j"
"d","d","g","j","d","j","j","g","g","e","h","g","j","d","a","b","f","d","e","a"
"f","i","e","b","j","h","d","f","d","h","d","c","a","i","e","j","c","b","f","c"
"g","f","a","a","g","c","f","c","b","c","i","g","e","g","e","b","g","g","e","a"
"b","b","i","j","g","h","g","f","e","f","b","d","d","b","d","b","a","i","a","g"
"f","g","d","e","a","f","d","h","b","f","j","a","a","b","f","f","d","e","f","g"
"j","j","g","f","b","j","c","b","h","a","a","h","e","h","a","h","i","c","a","i"
"c","i","c","h","g","a","g","f","e","c","d","h","g","e","i","d","j","d","h","a"
"j","h","h","b","c","e","j","j","g","h","f","e","e","e","b","h","f","g","j","j"
"e","e","f","e","c","g","i","b","j","d","f","b","i","d","e","b","f","c","d","f"
"i","g","a","a","d","c","d","c","d","c","a","e","a","h","h","b","d","i","a","i"
"i","b","i","f","i","j","d","b","j","g","g","f","g","c","g","d","c","d","g","e"
"j","g","j","g","g","c","j","a","j","c","d","c","d","a","g","e","i","b","f","f"
"i","h","d","i","a","b","c","d","c","b","b","g","g","f","h","d","i","d","i","e"
"g","i","g","f","b","g","j","h","c","c","j","e","a","c","g","j","d","a","j","j"
"f","d","f","i","j","e","h","h","c","e","g","e","d","h","a","g","i","g","c","c"
"e","a","d","b","a","i","h","g","f","c","d","j","a","j","b","c","d","e","c","b"
"g","f","f","a","j","j","a","f","f","h","h","i","f","a","b","i","c","a","i","i"
"j","c","c","a","b","d","h","i","b","h","e","i","a","b","e","a","i","b","e","f"
"f","g","j","j","i","j","i","e","h","b","j","b","b","b","d","e","e","j","e","c"
"g","d","h","h","a","h","d","e","g","b","c","b","i","d","j","f","d","b","e","d"
