"var_1","var_2","var_3","var_4","var_5","var_6","var_7","var_8","var_9","var_10","var_11","var_12","var_13","var_14","var_15","var_16","var_17","var_18","var_19","var_20"
"a","a","b","c","d","c","i","d","i","f","c","c","j","f","a","c","i","b","c","a"
"i","f","g","i","e","f","b","g","f","e","e","g","j","g","j","e","f","d","b","j"
"g","d","j","j","e","c","g","c","e","f","g","g","a","h","a","c","j","a","e","h"
"e","j","c","j","c","c","c","i","h","b","c","h","c","e","i","c","i","d","b","c"
"h","c","i","e","f","g","j","j","d","j","j","g","i","a","j","a","j","c","b","i"
"g","i","g","e","a","e","a","h","i","g","g","c","i","j","e","f","i","h","d","b"
"h","e","a","a","j","c","i","i","a","f","c","c","d","g","j","h","c","e","e","b"
"g","e","c","h","c","f","d","f","f","g","a","h","a","i","h","f","a","c","e","g"
"d","b","f","e","j","e","h","g","h","f","f","a","h","c","h","i","d","d","h","i"
"d","i","h","b","i","b","h","b","d","c","h","i","g","e","h","d","h","d","c","f"
"g","h","f","d","a","d","a","b","b","g","c","g","d","f","j","d","h","b","h","b"
"h","j","g","i","h","d","a","b","c","d","a","e","c","j","b","g","h","a","b","b"
"d","j","j","h","i","d","h","e","c","c","a","i","c","c","f","g","b","g","d","h"
"d","j","g","f","h","b","e","a","d","i","j","i","f","a","h","i","f","d","i","a"
"c","a","e","b","f","g","a","a","i","a","b","d","j","b","h","h","e","c","f","b"
"g","c","c","f","i","b","d","j","c","d","f","a","e","d","i","c","g","g","h","i"
"g","e","b","i","j","h","b","d","h","h","e","h","c","j","g","h","j","g","e","c"
"e","d","i","h","h","d","h","i","c","f","j","a","h","e","a","i","g","h","d","j"
"e","j","f","e","e","f","a","d","b","a","f","g","d","d","e","f","h","j","b","f"
"j","h","f","h","f","e","g","i","f","j","d","h","i","c","i","j","d","c","f","a"
"a","c","j","f","e","j","e","i","f","d","i","e","f","c","d","f","c","g","i","h"
"d","e","b","d","h","h","f","f","i","d","b","e","i","j","b","a","g","h","f","d"
"g","e","b","e","g","f","h","d","h","f","f","b","c","f","h","c","j","f","d","e"
"c","c","j","i","b","e","d","a","a","d","e","d","b","b","b","e","g","b","i","h"
"d","j","i","h","e","e","g","f","c","e","g","h","g","c","f","e","c","b","c","i"
"h","g","i","b","d","b","c","b","g","e","h","i","b","j","f","i","e","f","f","d"
"a","b","d","f","c","b","h","i","e","j","f","b","b","i","a","g","a","b","i","d"
"e","f","j","c","e","i","b","i","c","c","e","g","a","e","c","e","d","d","g","h"
"j","i","a","e","j","a","b","f","f","f","i","e","h","g","b","h","d","j","f","j"
