"var_1","var_2","var_3","var_4","var_5","var_6","var_7","var_8","var_9","var_10"
"p","r","o","k","s","d","t","b","h","o"
"b","e","s","r","k","p","l","n","m","b"
"n","f","s","h","f","i","t","o","g","k"
"o","o","s","r","t","a","n","r","s","a"
"b","i","p","j","g","b","q","b","a","t"
"o","k","f","p","d","e","l","g","h","m"
"q","s","p","j","r","o","k","g","o","t"
"r","h","g","j","a","p","a","b","f","l"
"a","p","r","b","e","j","m","p","b","t"
"b","d","s","m","r","t","l","o","a","n"
"s","d","i","d","f","b","a","b","m","l"
"m","n","r","l","d","f","t","n","b","j"
"f","i","s","s","d","q","a","a","e","l"
"p","f","g","e","p","g","f","s","b","o"
"s","f","i","n","n","p","d","g","f","i"
"r","a","h","t","l","r","m","q","n","b"
"t","d","p","t","r","i","s","e","i","a"
"g","k","m","s","q","m","j","a","j","e"
"l","n","f","i","g","r","d","q","e","h"
"p","r","t","s","p","b","r","n","e","m"
"t","f","q","d","p","q","o","a","r","l"
"e","k","h","r","s","s","k","j","p","l"
"s","e","g","t","p","h","a","g","d","e"
"s","b","m","l","a","p","g","d","c","d"
"p","d","t","j","d","h","g","d","n","t"
"e","l","m","j","r","a","h","m","a","q"
"n","j","h","c","p","p","a","p","b","e"
"c","g","d","l","b","q","m","b","q","p"
"a","s","m","i","n","f","i","q","h","l"
"s","p","k","q","c","l","s","s","t","l"
"n","o","l","f","n","m","e","s","o","a"
"b","j","k","h","f","a","r","k","s","a"
"g","g","i","j","l","a","t","c","e","c"
"k","i","s","d","k","d","c","a","n","d"
"n","o","l","g","e","c","t","f","f","i"
"f","g","c","b","o","r","i","e","f","k"
"b","g","i","p","q","b","b","i","p","k"
"p","q","o","t","m","a","o","a","f","o"
"g","r","f","j","q","m","a","h","m","i"
"b","f","e","g","t","a","l","l","n","a"
"a","n","e","i","d","f","i","j","h","g"
"b","i","c","j","j","r","j","q","r","n"
"g","i","m","l","h","h","t","r","k","f"
"p","h","j","j","d","l","k","a","g","t"
"e","c","t","r","f","h","k","r","e","p"
"g","b","e","b","k","m","o","a","s","d"
"l","e","k","n","e","k","j","j","k","l"
"g","p","i","n","p","f","e","m","f","i"
"p","b","r","l","d","i","n","p","n","r"
"e","s","j","a","n","t","i","d","j","m"
"c","k","m","d","k","t","q","e","e","s"
"o","n","b","m","t","f","g","n","b","j"
"j","m","t","n","t","b","o","i","o","s"
"a","s","t","i","k","c","k","m","a","e"
"t","q","s","q","p","g","c","e","h","a"
"k","i","r","j","f","i","e","p","h","e"
"p","f","g","t","o","f","f","f","j","r"
"j","o","i","c","g","e","e","p","m","f"
"d","o","m","i","c","c","l","c","i","l"
"f","j","t","o","h","t","r","n","o","g"
"t","f","g","e","p","c","h","k","b","p"
"p","o","p","q","r","g","s","q","g","n"
"k","l","m","e","s","p","t","t","l","f"
"j","l","m","d","c","n","f","e","s","k"
"o","g","c","a","g","r","d","j","d","m"
"n","h","o","q","m","l","b","t","j","h"
"i","c","l","b","e","t","i","o","l","p"
"d","k","e","j","j","s","c","c","e","d"
"s","c","q","l","b","o","j","d","i","p"
"l","f","q","m","a","s","l","r","n","n"
"b","c","e","t","s","p","p","n","o","p"
"p","e","g","e","r","p","c","b","e","s"
"f","r","h","i","o","f","p","l","p","h"
"j","b","j","e","b","h","t","d","h","q"
"i","h","k","f","m","k","p","o","k","h"
"s","p","o","b","l","h","s","r","b","j"
"g","o","k","m","e","t","m","d","q","q"
"h","p","q","h","q","d","t","a","k","s"
"k","e","n","i","e","e","o","s","b","o"
"k","m","f","r","p","i","c","h","t","d"
"k","o","s","m","g","n","g","r","g","q"
"k","m","q","a","s","n","l","g","a","f"
"k","d","l","l","l","s","k","l","c","k"
"i","m","q","t","t","a","t","r","s","p"
"t","a","t","q","b","f","o","f","e","g"
"b","j","a","b","r","m","i","p","q","e"
"e","d","a","k","o","e","h","i","i","p"
"e","m","d","l","k","o","c","g","e","d"
"m","m","e","p","j","m","b","j","i","o"
"n","o","q","h","q","d","s","s","l","b"
"n","g","e","t","m","n","q","q","k","m"
"n","b","j","j","e","c","h","b","h","n"
"d","c","f","e","o","f","b","h","j","l"
"i","r","q","h","i","k","m","l","d","s"
"f","f","g","r","f","c","c","n","e","t"
"h","g","q","m","r","m","l","b","i","c"
"b","g","c","o","o","l","i","c","s","b"
"i","m","e","t","k","f","j","a","j","p"
"j","p","n","q","a","i","c","r","i","h"
"l","b","d","c","b","d","c","h","b","h"
"f","f","l","g","i","i","t","t","d","e"
"s","j","e","l","o","m","q","h","k","b"
"a","f","l","f","o","n","j","d","j","l"
"q","f","d","m","n","d","c","n","b","j"
"h","f","h","b","l","h","e","j","n","e"
"t","m","s","t","r","e","h","s","i","l"
"a","j","m","c","b","b","p","q","l","i"
"m","j","s","k","i","q","q","r","o","s"
"d","f","a","o","g","n","o","e","a","r"
"s","q","k","d","i","t","i","p","e","o"
"b","j","d","c","b","h","j","e","m","j"
"k","d","r","h","s","m","t","g","n","i"
"s","m","b","k","n","q","b","t","o","m"
"a","e","k","i","a","t","g","b","p","c"
"i","k","i","t","e","g","n","e","g","l"
"h","k","i","t","d","q","p","p","q","d"
"l","d","r","e","l","d","p","p","p","s"
"c","g","d","d","g","j","o","n","t","s"
"h","e","p","p","a","t","p","s","k","i"
"h","k","t","p","p","g","s","l","n","i"
"h","q","k","q","h","j","b","r","s","s"
"p","n","r","j","c","a","h","e","i","m"
"q","l","e","i","c","i","r","h","f","h"
"l","k","g","q","d","e","s","t","k","r"
"m","b","a","a","n","p","m","i","k","n"
"h","o","c","p","o","n","t","c","k","t"
"h","g","n","g","b","f","o","l","l","c"
"m","l","g","t","m","l","h","g","f","q"
"l","d","r","c","e","a","p","n","j","q"
"j","d","r","c","n","d","m","r","a","t"
"r","t","c","t","t","s","t","r","i","p"
"g","h","e","n","g","f","p","n","i","e"
"t","q","n","c","g","d","e","r","i","q"
"p","n","t","r","t","a","e","t","n","k"
"d","r","f","k","s","p","b","i","l","f"
"n","b","q","q","d","b","s","n","j","o"
"s","r","c","r","o","j","e","q","d","j"
"p","j","f","n","i","q","d","b","t","t"
"n","s","p","i","b","d","n","r","n","h"
"j","j","o","j","p","d","o","j","j","m"
"q","e","g","e","a","f","q","j","l","j"
"a","h","c","e","a","c","i","o","c","k"
"j","g","f","j","n","l","p","q","k","o"
"c","a","d","h","e","o","c","r","j","q"
"o","b","d","o","r","k","i","t","s","j"
"p","n","s","q","k","a","b","b","c","f"
"t","k","k","q","c","h","f","m","g","q"
"h","q","r","b","p","f","k","n","k","m"
