"var_1","var_2","var_3","var_4","var_5","var_6","var_7","var_8","var_9","var_10"
"i","s","e","p","l","j","j","t","f","o"
"f","a","d","r","m","t","g","e","f","g"
"t","h","s","n","c","k","j","i","o","i"
"a","h","q","k","h","l","k","d","b","s"
"a","l","d","i","k","f","j","i","c","n"
"r","i","e","f","d","f","f","o","m","t"
"f","e","l","p","e","d","a","b","i","o"
"l","k","p","h","g","c","h","d","a","o"
"n","p","m","s","n","l","p","p","s","e"
"c","m","h","t","i","c","h","k","t","t"
"j","g","s","j","s","e","c","b","g","c"
"k","d","j","r","i","i","n","g","j","a"
"p","p","n","b","l","d","o","m","b","o"
"q","i","k","h","t","o","m","h","f","c"
"j","d","i","d","r","d","s","t","f","i"
"a","g","e","r","d","s","c","b","b","c"
"f","d","s","m","h","r","j","f","e","m"
"b","f","a","g","h","e","l","b","a","h"
"e","g","o","m","g","c","a","c","j","i"
"q","i","o","k","p","e","f","j","e","s"
"c","m","g","c","m","n","f","k","g","k"
"e","s","l","j","p","t","t","f","j","a"
"c","d","r","i","n","k","p","d","m","i"
"c","h","e","l","p","m","i","s","j","o"
"i","f","a","c","n","j","j","g","f","n"
"t","e","l","c","p","i","m","m","p","n"
"k","l","h","p","c","i","h","b","f","d"
"r","a","m","r","m","o","t","f","b","o"
"a","h","p","e","k","e","o","j","h","t"
"h","g","o","b","q","r","a","f","g","p"
"e","s","q","j","t","e","e","h","p","q"
"j","g","t","f","n","e","g","a","f","i"
"e","h","h","j","m","r","k","i","h","s"
"b","r","m","a","a","r","g","d","d","l"
"k","h","d","f","t","m","d","m","p","k"
"e","k","h","t","s","g","g","d","h","m"
"f","n","l","e","n","f","t","b","l","s"
"h","r","n","r","q","r","d","a","r","d"
"l","n","g","q","t","l","o","a","p","e"
"a","m","a","j","p","l","t","h","a","h"
"h","n","f","d","c","m","n","r","j","d"
"p","b","b","j","m","o","s","n","m","h"
"b","i","q","a","r","j","i","g","h","e"
"g","i","m","q","a","g","l","i","d","f"
"k","a","b","e","j","i","h","l","e","m"
"o","p","d","k","h","f","j","s","l","m"
"m","e","k","k","t","h","h","l","b","p"
"f","d","t","f","f","f","g","t","s","a"
"f","a","d","e","k","l","l","f","p","n"
"i","l","c","o","g","b","g","d","d","b"
"h","f","g","m","g","d","f","f","p","i"
"a","k","n","t","d","r","o","n","q","d"
"s","d","n","d","l","r","r","n","k","f"
"e","p","g","t","t","d","h","m","t","j"
