"epoch","discriminator","batch","frequency","copies","roc"
"30","1","500","False","1",0.955520161820637
"30","1","500","False","5",0.974843538287978
"30","1","500","True","1",0.937542336018349
"30","1","500","True","5",0.970023758677217
"30","1","1000","False","1",0.888258939254821
"30","1","1000","False","5",0.863715310191328
"30","1","1000","True","1",0.790850011538547
"30","1","1000","True","5",0.967056316409772
"30","5","500","False","1",0.918934326732625
"30","5","500","False","5",0.965385190003772
"30","5","500","True","1",0.887484378898164
"30","5","500","True","5",0.948294652177031
"30","5","1000","False","1",0.934424781254633
"30","5","1000","False","5",0.955389511145544
"30","5","1000","True","1",0.896809394375082
"30","5","1000","True","5",0.948539398464866
"60","1","500","False","1",0.951839509296247
"60","1","500","False","5",0.970986596053714
"60","1","500","True","1",0.937189650175924
"60","1","500","True","5",0.9871160630837
"60","1","1000","False","1",0.949375590547457
"60","1","1000","False","5",0.983992680810607
"60","1","1000","True","1",0.974999804300103
"60","1","1000","True","5",0.974742216358684
"60","5","500","False","1",0.911759901824766
"60","5","500","False","5",0.960054682784349
"60","5","500","True","1",0.887884097403098
"60","5","500","True","5",0.958616017412986
"60","5","1000","False","1",0.877656939071337
"60","5","1000","False","5",0.975769807328859
"60","5","1000","True","1",0.873621784232538
"60","5","1000","True","5",0.95084010305293
