"epochs","rows","cols","batch","specks"
10,"100000",10,"500",0.287690000000147
10,"100000",10,"1000",0.422040000000281
10,"100000",10,"5000",0.427790000000287
10,"100000",10,"10000",0.442920000000302
20,"100000",10,"500",0.40079000000026
20,"100000",10,"1000",0.362690000000222
20,"100000",10,"5000",0.373190000000232
20,"100000",10,"10000",0.447710000000307
30,"100000",10,"500",0.40082000000026
30,"100000",10,"1000",0.369910000000229
30,"100000",10,"5000",0.384730000000244
30,"100000",10,"10000",0.287130000000146
40,"100000",10,"500",0.472520000000332
40,"100000",10,"1000",0.358680000000218
40,"100000",10,"5000",0.32125000000018
40,"100000",10,"10000",0.35092000000021
50,"100000",10,"500",0.524660000000247
50,"100000",10,"1000",0.366110000000225
50,"100000",10,"5000",0.346660000000206
50,"100000",10,"10000",0.339130000000198
75,"100000",10,"500",0.315840000000175
75,"100000",10,"1000",0.41107000000027
75,"100000",10,"5000",0.322960000000182
75,"100000",10,"10000",0.366290000000225
100,"100000",10,"500",0.435450000000295
100,"100000",10,"1000",0.387230000000246
100,"100000",10,"5000",0.332850000000192
100,"100000",10,"10000",0.283530000000143
