"epochs","rows","cols","batch","specks"
10,"200000",15,"500",0.439584999999317
10,"200000",15,"1000",0.351829999999716
10,"200000",15,"5000",0.388524999999549
10,"200000",15,"10000",0.380394999999586
20,"200000",15,"500",0.438614999999321
20,"200000",15,"1000",0.37957499999959
20,"200000",15,"5000",0.448729999999275
20,"200000",15,"10000",0.375829999999607
30,"200000",15,"500",0.468669999999184
30,"200000",15,"1000",0.372159999999624
30,"200000",15,"5000",0.365764999999653
30,"200000",15,"10000",0.399679999999498
40,"200000",15,"500",0.445929999999288
40,"200000",15,"1000",0.418639999999412
40,"200000",15,"5000",0.399969999999497
40,"200000",15,"10000",0.411394999999445
50,"200000",15,"500",0.412129999999442
50,"200000",15,"1000",0.469924999999179
50,"200000",15,"5000",0.323094999999847
50,"200000",15,"10000",0.345469999999745
75,"200000",15,"500",0.410699999999448
75,"200000",15,"1000",0.365914999999652
75,"200000",15,"5000",0.37527999999961
75,"200000",15,"10000",0.415484999999427
100,"200000",15,"500",0.420529999999403
100,"200000",15,"1000",0.364524999999658
100,"200000",15,"5000",0.398239999999505
100,"200000",15,"10000",0.407579999999462
