"epochs","rows","cols","batch","specks"
10,"200000",10,"500",0.322759999999849
10,"200000",10,"1000",0.244860000000174
10,"200000",10,"5000",0.334169999999797
10,"200000",10,"10000",0.358684999999685
20,"200000",10,"500",0.379764999999589
20,"200000",10,"1000",0.35750499999969
20,"200000",10,"5000",0.364644999999658
20,"200000",10,"10000",0.439779999999316
30,"200000",10,"500",0.415054999999428
30,"200000",10,"1000",0.385079999999565
30,"200000",10,"5000",0.354204999999705
30,"200000",10,"10000",0.354364999999705
40,"200000",10,"500",0.435104999999337
40,"200000",10,"1000",0.380864999999584
40,"200000",10,"5000",0.373399999999618
40,"200000",10,"10000",0.348514999999731
50,"200000",10,"500",0.456074999999242
50,"200000",10,"1000",0.473509999999162
50,"200000",10,"5000",0.354604999999704
50,"200000",10,"10000",0.322754999999848
75,"200000",10,"500",0.361844999999671
75,"200000",10,"1000",0.344224999999751
75,"200000",10,"5000",0.358999999999684
75,"200000",10,"10000",0.365214999999655
100,"200000",10,"500",0.426584999999376
100,"200000",10,"1000",0.305724999999926
100,"200000",10,"5000",0.360689999999676
100,"200000",10,"10000",0.328629999999822
